"(128.98040702008862,95.30273783657134)","(128.9806339894751,95.30240413097032)","(128.98086072484728,95.3020697617844)","(128.9810872413902,95.30173477226988)","(128.98131359285804,95.30139931499289)","(128.98153976096356,95.30106333832404)","(129.02578178592574,95.2992140865702)","(129.15797698193637,95.2944961252324)","(129.37813593028574,95.287260016067)","(129.68627212707773,95.27803907246387)","(130.08239761792944,95.26747318452239)","(130.56652010885531,95.2562343334443)","(131.13864229810756,95.244919162337)","(131.79876334906749,95.23401133234043)","(132.54688049535375,95.22391872856454)","(133.38299008718778,95.21497222330134)","(134.30708810070027,95.20744921659724)","(135.3191703630738,95.2015887922091)","(136.41761360930812,95.19755217902679)","(137.59048830853135,95.19523518898838)","(138.82390192094124,95.19442009838801)","(140.1066027491581,95.19490374843976)","(141.42945218148446,95.19648848146312)","(142.7850240425386,95.1989945334367)","(144.16728470322647,95.20227296786075)","(145.5713312008209,95.20620400879281)","(146.99314640642297,95.21067170979413)","(148.4294619190703,95.21558294102931)","(149.87762108187317,95.22086669178385)","(151.3354501966651,95.2264626076584)","(152.80116330535176,95.23230986202455)","(154.27331331021287,95.23836682102575)","(155.75072861274495,95.24460599683307)","(157.23243115952658,95.25098804599276)","(158.71763091207046,95.257486768956)","(160.20569411399157,95.26408985819606)","(161.69609162775038,95.27077754919895)","(163.18838624310243,95.27752977501017)","(164.6822323092549,95.28433915592892)","(166.17735116607014,95.2912020089844)","(167.67349627157097,95.29810033743095)","(169.1704774601751,95.30502874139769)","(170.6681519472993,95.3119912553914)","(172.16638151142217,95.31897480715806)","(173.6650582032755,95.32597368931943)","(175.1641082764187,95.3329931091416)","(176.66345906328317,95.3400278254833)","(178.16304625134347,95.34706978907607)","(179.66282880870943,95.35412154303592)","(181.16277695022544,95.3611876388716)","(182.66284750134702,95.3682568202509)","(184.16301582824886,95.37532933643577)","(185.66327473723305,95.38241388547009)","(187.16359640834827,95.38950121307207)","(188.66396483916756,95.39658853986467)","(190.16437837894,95.40368389662069)","(191.66482585373524,95.41078401181208)","(193.16529180712521,95.4178827337722)","(194.66577596514782,95.42498396163975)","(196.166280983537,95.43209348840767)","(197.66679038664844,95.43920112973214)","(199.1673030624317,95.44630805263992)","(200.66782823590808,95.45342398435396)","(202.16835317640619,95.4605395848313)","(203.66887251568497,95.46765272100237)","(205.16939629180325,95.4747715952307)","(206.66991976273155,95.48189347890104)","(208.17043479384128,95.48901232183584)","(209.67094555591905,95.49613250201247)","(211.1714596407185,95.50326011661099)","(212.67196422774876,95.51038472891001)","(214.17245989381715,95.51750788158408)","(215.6729604450433,95.52463981508896)","(217.17345256959914,95.53177089087797)","(218.6739337625511,95.53889867663032)","(220.17441496620597,95.54603204011704)","(221.67488912828583,95.5531685972779)","(223.17535294391143,95.56030135297767)","(224.67581146937056,95.56743550877596)","(226.17627041329803,95.57457725238433)","(227.67671809429015,95.58171546747202)","(229.17715706924824,95.58885153078657)","(230.67759662416702,95.59599599650383)","(232.1780214839821,95.60313954108946)","(233.67843805960274,95.61027926828002)","(235.1788576586144,95.61742486216744)","(236.679265170159,95.62457396853179)","(238.17966523656952,95.63171861220694)","(239.68006264710607,95.63886406221476)","(241.18045870827498,95.64601707808379)","(242.6808440941674,95.65316631893396)","(244.18122343474448,95.66031292876183)","(245.68160569011812,95.66746774963924)","(247.1819742152806,95.6746214434832)","(248.68233620893426,95.6817709450656)","(250.1827042177825,95.68892645999176)","(251.68306084854174,95.69608556491033)","(253.18341075199143,95.70323983388947)","(254.68376045674117,95.71039469243473)","(256.18410937408214,95.71755750949364)","(257.6844479026073,95.72471616744309)","(259.1847825565286,95.7318721107469)","(260.6851214800738,95.73903681997956)","(262.1854466264076,95.74619992869671)","(263.6857660036402,95.75335832824528)","(265.18609172735376,95.76052225789466)","(266.6864062424156,95.7676893971577)","(268.18671427658467,95.7748514415589)","(269.6870237567024,95.7820143900799)","(271.18733335837356,95.7891850304658)","(272.6876318888749,95.79635129947876)","(274.18792752818047,95.80351448189356)","(275.688228565724,95.81068597732843)","(277.1885151885418,95.81785575269308)","(278.68879756351447,95.82502062130393)","(280.18908798673795,95.83219200938501)","(281.6893671537404,95.83936655745588)","(283.1896403585156,95.84653559318377)","(284.6899154335181,95.8537055244447)","(286.190190757567,95.86088358756567)","(287.69045337628955,95.86805709956744)","(289.19071355864855,95.87522725578572)","(290.6909813442144,95.8824060331572)","(292.19123230949026,95.8895831104305)","(293.6914797541715,95.8967548316507)","(295.19173703753484,95.90393285539557)","(296.6919818355758,95.91111392664727)","(298.192220533253,95.91828922979875)","(299.6924623805793,95.92546504006549)","(301.19270544714595,95.93264859358999)","(302.69293649241104,95.93982734624645)","(304.1931659769927,95.94700300110762)","(305.69340459107974,95.95418765902978)","(307.19362643083474,95.96137033995312)","(308.6938447936506,95.96854742996047)","(310.1940742598277,95.97573114385253)","(311.6942926296666,95.98291787492998)","(313.19450412907975,95.99009859557367)","(314.6947204575317,95.99728069017956)","(316.1949396296768,96.00447092089377)","(317.6951459946476,96.011655873252)","(319.1953514132358,96.01883732174812)","(320.6955669843245,96.0260277967981)","(322.1957654713333,96.03321592830878)","(323.6959606480872,96.04039823759658)","(325.1961674991178,96.0475876699394)","(326.69636358737716,96.05477950809171)","(328.19655204570637,96.061965040546)","(329.696745195993,96.06915162359344)","(331.19694261689745,96.07634620430784)","(332.69712651583257,96.08353533230195)","(334.1973101663667,96.09072141843077)","(335.6975059562203,96.09791753869723)","(337.19768311974383,96.10511108457358)","(338.6978564773704,96.11229840213981)","(340.19804240376016,96.1194932081056)","(341.6982180160446,96.12669030892938)","(343.1983847757169,96.1338807340756)","(344.6985565963607,96.14107214868484)","(346.19873364477496,96.14827149788601)"
"(120.327539048237,87.56209832182178)","(120.32766148054543,87.56197302872789)","(120.3277838060861,87.5618478282597)","(120.32790613423913,87.56172263045579)","(120.3280284641377,87.56159743459732)","(120.32815079609412,87.5614722408938)","(120.37446971456576,87.56082882873942)","(120.50878151047442,87.55906594401569)","(120.73108542855992,87.5561264969057)","(121.041380659547,87.55195157879612)","(121.43966600099391,87.54645856571274)","(121.9259411205895,87.5396252339197)","(122.50020635295755,87.53147378614246)","(123.16246378106983,87.52215472774076)","(123.91271705832175,87.5120002185977)","(124.75096450001408,87.5022686242963)","(125.67719973153422,87.49399947221508)","(126.69141802569698,87.48745104655539)","(127.79196611098652,87.48297109473519)","(128.96692627592748,87.48055076048509)","(130.20245680141534,87.47996852837524)","(131.4871978533353,87.48089936895619)","(132.81201709785438,87.48311900095068)","(134.16954202047185,87.48645603033866)","(135.55371464949425,87.49067016228)","(136.95952921646096,87.49553318801077)","(138.38306268299402,87.50095827224953)","(139.82107751017,87.50682123474171)","(141.2708649840565,87.5130167201192)","(142.7302289814376,87.51946332745575)","(144.19748704484792,87.52612817347756)","(145.67118169660787,87.5329242785208)","(147.1500466164006,87.5397602561865)","(148.63321160468476,87.54670832648544)","(150.11990404084187,87.55377069905063)","(151.6094042760218,87.56086875310692)","(153.1012132409732,87.56801759031354)","(154.59496040781426,87.57526279965134)","(156.09025852158135,87.58256373024156)","(157.5867622719321,87.589862392084)","(159.08433620535138,87.59724111733185)","(160.5827826949982,87.6046707323441)","(162.08185893431062,87.61202752081998)","(163.5815190086382,87.61939106471188)","(165.0816788893813,87.62678670758815)","(166.58217570777458,87.63414905686795)","(168.08296363262045,87.64150276342247)","(169.58404402706677,87.64890288330801)","(171.08533065876168,87.65631860549635)","(172.58672754977704,87.66369578785252)","(174.08829954863995,87.67112077378002)","(175.59001017326065,87.6785828018647)","(177.09174863766353,87.68600121949535)","(178.5935783309208,87.69345871759938)","(180.09550790928702,87.70097809931539)","(181.5974460478836,87.708487987895)","(183.09940962701407,87.71601049252399)","(184.6014477504484,87.72359974440687)","(186.10350851881242,87.7312617728606)","(187.60553393776024,87.73891367217858)","(189.107618004722,87.74661543231554)","(190.60974712405752,87.75435812070187)","(192.111823073234,87.76205825447306)","(193.61393032835525,87.76979521734569)","(195.11608836039323,87.77758627119971)","(196.6182131228609,87.78536230522165)","(198.1203304352438,87.79314703893718)","(199.62249864112974,87.80098998602226)","(201.1246743688489,87.80885736275108)","(202.62679676992326,87.8166960689696)","(204.12896508793878,87.82459758560314)","(205.63116599306184,87.83255000694454)","(207.13330164540423,87.84046406391171)","(208.6354624187976,87.84842253511721)","(210.13767004273427,87.85644553589688)","(211.63984224078132,87.86445792362844)","(213.14200315943393,87.87248237630527)","(214.6442129778663,87.88057376129699)","(216.14642591658253,87.8886896699615)","(217.64858456360002,87.89677776482907)","(219.15079052928752,87.90493138441924)","(220.65303128849752,87.91313840942244)","(222.15521149402943,87.92131156359548)","(223.6574276733183,87.92949915512236)","(225.1597001589397,87.93770070348054)","(226.66193860640345,87.94584462647757)","(228.16417542740226,87.95396895846386)","(229.66646814384524,87.96213401387749)","(231.1687699585693,87.97030242587633)","(232.6710225508794,87.97842599181591)","(234.1733269963959,87.98660143022593)","(235.67566807760033,87.99481859444668)","(237.17794548476124,88.00298846178498)","(238.6802563607519,88.0112005075103)","(240.18261781598582,88.01947272097925)","(241.68493328195737,88.027719624326)","(243.18723968486577,88.03597517264967)","(244.6896023777002,88.04429885564733)","(246.19196910163458,88.05264541430843)","(247.6942781101892,88.06095985829981)","(249.19664029868744,88.0693421840823)","(250.69903868294134,88.07777684863537)","(252.2013699652553,88.08617077864301)","(253.7037354355973,88.0946172879429)","(255.20615336813594,88.1031326273093)","(256.70852893037056,88.1116304481443)","(258.2108971607381,88.12014281991914)","(259.7133206617147,88.12872719582558)","(261.21575234197707,88.13729467054137)","(262.7181391725697,88.14578077277108)","(264.22059169843124,88.15429651319704)","(265.72308882604995,88.16283271787202)","(267.22552170784104,88.17129816985607)","(268.7279961624764,88.17979375994894)","(270.2305292641016,88.18834046136772)","(271.73301290527337,88.19684430658052)","(273.2354901995942,88.20535173300014)","(274.7380295496338,88.21392722004529)","(276.2405720433476,88.22251404499916)","(277.7430567851536,88.2310651222123)","(279.2456025773948,88.23968804073898)","(280.74818819188346,88.24836587033548)","(282.25070405330206,88.25699869933258)","(283.7532689408341,88.26564999804003)","(285.25590431037375,88.27432304751397)","(286.7584992721971,88.28292918016388)","(288.2610961318374,88.29151802473658)","(289.7637621895269,88.30015820267819)","(291.2664367924433,88.30880062260664)","(292.76905909020735,88.31739480252259)","(294.27174698241566,88.32605196937591)","(295.7744743896616,88.33475328299852)","(297.27712568409106,88.34339659527427)","(298.7798199387057,88.35209239414459)","(300.28257643867755,88.36085956336662)","(301.785280332796,88.36959511324564)","(303.28797846086866,88.37834429362624)","(304.79074282302247,88.38717386777871)","(306.2934997185722,88.39602008687552)","(307.7961949992902,88.404831359881)","(309.29895751164327,88.41372437715302)","(310.80176022614137,88.42267656600956)","(312.3044841972729,88.43158130105525)","(313.80725291718653,88.4405491804455)","(315.3100833968188,88.44959620610999)","(316.8128525875461,88.4586126466362)","(318.31562100371355,88.46765029869586)","(319.81846965099356,88.47674037917844)","(321.3213267203218,88.48578845459252)","(322.82412904154705,88.49475804953416)","(324.3270109690513,88.50378066361242)","(325.82993651255885,88.51283055400475)","(327.3327818885883,88.52180212242494)","(328.83568331084314,88.53082274198448)","(330.33865433304305,88.53991751587336)","(331.84156036532727,88.548967991238)","(333.3444694609277,88.5580340302515)","(334.84745763226465,88.56718531986877)","(336.3504447499559,88.5763557999737)","(337.8533712275448,88.58548818517619)"
"(121.04913922875534,102.15995636189626)","(121.05033325574306,102.16104028090136)","(121.05157244028183,102.16214411316008)","(121.05280201336154,102.16313832309181)","(121.05398820850142,102.16421202631254)","(121.055170633756,102.16528184271334)","(121.0941824746787,102.19031978514751)","(121.20845252240302,102.26095739291488)","(121.39826118098755,102.3767311992235)","(121.66540091246051,102.53443982429533)","(122.01239604018244,102.72900082829355)","(122.44212386135659,102.95334007697707)","(122.95718620793961,103.19880766512823)","(123.55937381301858,103.45598249201615)","(124.24945059191222,103.71568968971002)","(125.02729801683213,103.96984092194793)","(125.89226170808267,104.21179433701906)","(126.8434255750396,104.43615802403252)","(127.87980311144871,104.63862072244261)","(128.99750511160354,104.81657788236254)","(130.18406955485423,104.97111551003184)","(131.4273075375662,105.10439988231587)","(132.71712227737092,105.21879377269563)","(134.04516445227637,105.31660741794059)","(135.40454904356898,105.40001070511231)","(136.78960972443664,105.47099298470198)","(138.19570501684163,105.53132074487354)","(139.61902530313245,105.5825511256785)","(141.05644482982146,105.62605147841994)","(142.5054016494919,105.66300371262271)","(143.96380380857167,105.69440642108454)","(145.42993754682738,105.72112181032908)","(146.90239223981968,105.74387391065542)","(148.38002466127213,105.76330828398636)","(149.86189462530643,105.77990786216745)","(151.3472345344293,105.79417182388254)","(152.83541403070296,105.80645320047097)","(154.32591880363037,105.8170262040137)","(155.81832887978146,105.82619384218509)","(157.31229875783265,105.83420854124299)","(158.8075526554076,105.84126865603304)","(160.3038609705273,105.84754109397096)","(161.80103011544048,105.85315036676275)","(163.2989052874012,105.8581625352569)","(164.79736206569697,105.86268846078445)","(166.29629571764085,105.86680720950953)","(167.79562243123792,105.87058447978552)","(169.29527649897688,105.87406919432556)","(170.79520060507468,105.87730975303741)","(172.29534548128424,105.88034856060354)","(173.7956775764516,105.88321224129038)","(175.29616588130943,105.88592680531053)","(176.79678457108113,105.88854829606655)","(178.29751914131157,105.89111952683241)","(179.79835259715287,105.89364243618311)","(181.29926728272017,105.89612305806783)","(182.8002508931848,105.89856376313273)","(184.30129644935104,105.90096280770692)","(185.80239390770728,105.9033237195758)","(187.3035329578596,105.90565196580543)","(188.80471356963935,105.9079423410904)","(190.30593097864278,105.91019595588534)","(191.80717703333275,105.9124187470741)","(193.30845208195112,105.91460723361163)","(194.80975437587193,105.91676087121365)","(196.31107930571932,105.91888316313606)","(197.8124250046278,105.92097460469887)","(199.3137932401732,105.92303169129102)","(200.8151815679419,105.92505614957751)","(202.31658531169356,105.92705254037003)","(203.8180084024579,105.92901540978605)","(205.31944997321827,105.93094511622328)","(206.82090477885396,105.93284729628336)","(208.32237551614995,105.93471817955731)","(209.82386686001118,105.93658139474516)","(211.32538080526504,105.93847715364981)","(212.82691551262988,105.94039480630553)","(214.32847271090694,105.94232110081045)","(215.83004963789395,105.94425011277636)","(217.33164140499028,105.94618007760215)","(218.83325247771765,105.94809956637334)","(220.33488195951082,105.95000458265395)","(221.83652445762925,105.95189732590278)","(223.3381869188812,105.95379256397001)","(224.83987611112465,105.95572553710016)","(226.34158701800132,105.95768802917638)","(227.84331780930899,105.95966919257437)","(229.34507051082423,105.96165600601347)","(230.84684234019872,105.96364302427719)","(232.34862822258026,105.96562906402907)","(233.85043303902958,105.96760254122275)","(235.3522559278427,105.96955967280127)","(236.8540912068612,105.9715031899197)","(238.3559426743738,105.973425404625)","(239.8578111155172,105.97532274533167)","(241.3596924481405,105.97719781792215)","(242.86158666603623,105.97904883022298)","(244.36349726780944,105.98087020844817)","(245.86542231990325,105.98266299955695)","(247.36735726275407,105.98443153015052)","(248.86930801466525,105.98616804058742)","(250.37127424279615,105.98787223216286)","(251.87325036990362,105.98955004990864)","(253.3752408533598,105.99119579910285)","(254.87724686600734,105.99280770772472)","(256.3792643289297,105.99439020143754)","(257.88129346692875,105.99594272310627)","(259.38333820788625,105.99746044433326)","(260.8853966557125,105.99894536711624)","(262.3874640869378,106.00040281313461)","(263.88954691806805,106.00182514323984)","(265.39164478193635,106.00321264924236)","(266.8937515565741,106.00457233644262)","(268.3958725060327,106.00589795953972)","(269.8980089260448,106.00718791042284)","(271.40015640656037,106.00844722928848)","(272.90231514446936,106.00967559277392)","(274.4044895792876,106.01086775928192)","(275.90667739727417,106.01202634386068)","(277.4088736984346,106.01315696113822)","(278.91108559455904,106.01425127883803)","(280.41331266935003,106.01530971740493)","(281.91554836573323,106.01633981904301)","(283.4177983014804,106.01733499541265)","(284.9200689939362,106.01831911367432)","(286.4223631143089,106.01933477564009)","(287.92467883400064,106.02037063432329)","(289.427019115006,106.02141147154923)","(290.9293799403814,106.02245229187955)","(292.4317547811858,106.02349228619397)","(293.9341499530379,106.02451449246283)","(295.43656455582783,106.02551902505655)","(296.9389905001636,106.02650770771704)","(298.441433499081,106.02747266489413)","(299.94389475040896,106.02841078378147)","(301.44636812596536,106.02932653453946)","(302.9488542293059,106.0302170682952)","(304.451357994783,106.03107492769072)","(305.9538765472887,106.03190197951712)","(307.4564041173592,106.03270366930363)","(308.95894839471873,106.03346711783831)","(310.46150884319457,106.03419452315958)","(311.9640773139344,106.034895862593)","(313.46666110939987,106.03556202253372)","(314.9692618338388,106.03619058000916)","(316.4718732770724,106.03678819365108)","(317.97449634833197,106.0373533984289)","(319.4771365307037,106.0378795453241)","(320.9797905419356,106.03837102901645)","(322.4824626062945,106.03887644008535)","(323.98516590055357,106.03939916262732)","(325.48789718246496,106.03992926109107)","(326.990645629483,106.04046795960579)","(328.49341740166585,106.04099901739987)","(329.9962128753907,106.04151449959103)","(331.4990241952433,106.04201725662632)","(333.00185133992875,106.0425022517539)","(334.5046997736421,106.04295908186769)","(336.0075652105263,106.04338925584042)","(337.510440366143,106.0437983407495)"
"(123.88815210209373,97.09820294644437)","(123.88833942747374,97.09854999269949)","(123.88852663101572,97.09889654411641)","(123.88871261801255,97.09923815892196)","(123.88889854989522,97.09957955200113)","(123.88908444625444,97.09992079767338)","(123.90356304270779,97.10579718221767)","(123.94715938871187,97.12076382357715)","(124.02974494899672,97.13889021799609)","(124.15617621851082,97.15576862126326)","(124.32667025685491,97.16795881006968)","(124.56766900690761,97.1704745333706)","(124.8959120433386,97.16152364472859)","(125.3116193909737,97.14294384057825)","(125.81500801046225,97.11694911374985)","(126.40623111231815,97.08565122139022)","(127.08539238224012,97.05117274475052)","(127.8332903033151,97.01544188856651)","(128.65763709638912,96.97958431957204)","(129.56997970958398,96.94446477119541)","(130.5702037137206,96.91102593066125)","(131.6526638495579,96.88010159535679)","(132.80442371070748,96.85208866143441)","(134.0138538657845,96.827172207378)","(135.27117965782463,96.80542761668376)","(136.56823883736323,96.7867482277561)","(137.8982206602843,96.77097303609047)","(139.25547461826,96.7579160249948)","(140.63529368677695,96.74730839865914)","(142.0337763516098,96.73890591361379)","(143.44769146833193,96.7325353297113)","(144.87438245991154,96.72795026470504)","(146.3116360114735,96.72492975520967)","(147.75761940426352,96.72322840113915)","(149.2108306679247,96.7227082138062)","(150.67002481024542,96.72316972529057)","(152.13417039071203,96.72444111435843)","(153.6024226148605,96.7265043097453)","(155.07407628681568,96.7292689926987)","(156.54855067081235,96.73260467217139)","(158.0253674622885,96.73639101863687)","(159.50413090383867,96.74055429393457)","(160.98450994891806,96.74506879748711)","(162.46622975847512,96.74986626559532)","(163.94907610332848,96.75488833210412)","(165.43286539140425,96.7600899435893)","(166.917451213404,96.76543073450746)","(168.40270281463114,96.77088045712571)","(169.8885201174389,96.77641549303956)","(171.37482662065634,96.78201396617135)","(172.86154083809467,96.7876597389662)","(174.34861364786576,96.79333911934536)","(175.8359888454328,96.79904402415428)","(177.3236361852682,96.80476290584708)","(178.81150779071928,96.81049108660113)","(180.2995870118721,96.81622328566833)","(181.78784055799616,96.82195510595605)","(183.27626266540702,96.82767798129328)","(184.76483364179745,96.83334289626528)","(186.25353909395275,96.83897819668931)","(187.74235307197725,96.84461624034384)","(189.23127046370598,96.85025339127424)","(190.72029120538735,96.8558869304411)","(192.20939519243365,96.86151412070214)","(193.69858409739354,96.86713213739822)","(195.18784670721513,96.87274212793497)","(196.67719081422678,96.87833978448735)","(198.1665994301545,96.8839247361074)","(199.6560765689132,96.88949719946565)","(201.14561257270523,96.89502716838984)","(202.63519196921993,96.90046916677055)","(204.12482587337178,96.90583500046753)","(205.61450179808642,96.91113922116409)","(207.10422587898702,96.91638793780326)","(208.59398474430307,96.92155453949502)","(210.08378394010487,96.92660600797323)","(211.5736682240957,96.93155335510419)","(213.0635683570236,96.93642014932922)","(214.55349976242707,96.94121885966632)","(216.04349302647935,96.94595621575834)","(217.53352110343175,96.95064190845133)","(219.0235703162196,96.95528561370611)","(220.51369129767605,96.95988843798833)","(222.00392036968327,96.96444763016066)","(223.4941401005651,96.96898237676578)","(224.98436876748048,96.97349600266082)","(226.47474476816197,96.97797159647153)","(227.96509922638845,96.98243167929661)","(229.45545596265754,96.98687685357102)","(230.94590402119505,96.99129787291142)","(232.4363749751668,96.99570210704252)","(233.9268307527106,97.00009632519185)","(235.417329567742,97.00447638858859)","(236.9079222599569,97.00883364373298)","(238.39847909995203,97.01318484666626)","(239.8890094839715,97.01753221718512)","(241.37968605819515,97.02185285783615)","(242.87032217061804,97.02616882190155)","(244.36091412453834,97.0305183635193)","(245.85157757573197,97.03492083116656)","(247.3422409430626,97.03937269387465)","(248.83285793935164,97.04386846922006)","(250.3235048138566,97.04839313255371)","(251.81423651998958,97.05293006237959)","(253.30491199063874,97.05749054179256)","(254.79554514065438,97.06207151044622)","(256.2863150980429,97.06664609058723)","(257.77703728042076,97.07123315077939)","(259.2676948648134,97.07588571662654)","(260.75840993504056,97.08060195855225)","(262.2491275592033,97.08537100832882)","(263.7397733716651,97.0901913975346)","(265.2304339968037,97.0950467268043)","(266.7211771071916,97.09986709578143)","(268.2118281635535,97.10463677316368)","(269.7024172656174,97.1093654847033)","(271.1931304261351,97.1140380108182)","(272.68377302531445,97.11868114240622)","(274.17435063770296,97.12330194963374)","(275.6649999996257,97.12789076090091)","(277.15567325606503,97.13245257469951)","(278.6462687000271,97.13700282648794)","(280.13685825691095,97.14153943702061)","(281.62757171113407,97.14604592419752)","(283.118186657788,97.15050990407262)","(284.60871355525444,97.15489045071917)","(286.09937632363943,97.15917704603784)","(287.58995920280717,97.16340434223696)","(289.0804551547693,97.16758674414282)","(290.57100736430874,97.17171951565032)","(292.06157054833494,97.17581020007106)","(293.5520485112189,97.1798763425687)","(295.04250937709935,97.18391949810135)","(296.53308527645083,97.18793665518018)","(298.0235436573386,97.19201436721507)","(299.5139024180116,97.19615447541423)","(301.00437873867304,97.2003223301037)","(302.494776587365,97.20452702557368)","(303.9850722114753,97.20876708484452)","(305.47540997194244,97.21302439493613)","(306.9657586936932,97.21729240651572)","(308.4560027694338,97.22158024787319)","(309.9462156462847,97.22588729907399)","(311.436541640765,97.23018618566236)","(312.9267610566592,97.2344905158597)","(314.41689614202676,97.23880822361734)","(315.9071486674602,97.24312547298517)","(317.39732371755474,97.24748945937827)","(318.88738251635294,97.25193619907094)","(320.377456897219,97.25644201353663)","(321.86753718538137,97.26099025285197)","(323.35750068160235,97.2655839997405)","(324.84741743784355,97.27021451013341)","(326.33745679829354,97.27485438852788)","(327.82737835021175,97.2795192802061)","(329.31720537850765,97.28420823383154)","(330.80714202915436,97.28889783265686)","(332.2970156702783,97.29359649100223)","(333.7867816527568,97.2983092600707)","(335.2765657564481,97.30302639197751)"
