"(28.92597053496019,0.0)","(28.818122617550735,1.4243895625737286)","(28.618842034277343,2.9257080277108347)","(28.331597525000163,4.428857742606809)","(27.956379341527857,5.9336115433164895)","(27.49317736332157,7.439586185485981)","(26.94291752352835,8.946992595044902)","(26.408856304733227,10.45748081846118)","(25.962779208916977,11.969255242904781)","(25.60467694219081,13.482745207394025)","(25.33451965561225,14.998843146368163)","(25.1522258942861,16.519084496096376)","(25.057541984743708,18.04666479435212)","(25.049795344773766,19.58666572200515)","(25.12761496460355,21.14628264258043)","(25.289561412466988,22.731184527837666)","(25.534799514021703,24.344255518078217)","(25.863073637960174,25.986364132514367)","(26.2743428908033,27.657679299949564)","(26.768581617415403,29.358295837192586)","(27.336468135081322,31.09136594228216)","(27.863005843939046,32.84005615182676)","(28.30155669232966,34.58871217498755)","(28.652211871106942,36.34123627662655)","(28.915124778744033,38.10045047300858)","(29.090169673402727,39.86361121586088)","(29.17807169818474,41.61931250694798)","(29.192443198399133,43.34109598675304)","(29.150170445491437,45.02427240709065)","(29.061159688280238,46.67281399023451)","(28.93183125762385,48.29105219709316)","(28.766644630728337,49.88302817458133)","(28.568802828308627,51.45224458405672)","(28.340603137993966,53.00158724656343)","(28.083601182806895,54.53329100299577)","(27.798698861616494,56.048866414949394)","(27.486083403491573,57.5488646817752)","(27.145324941386196,59.0322975710534)","(26.835057439689002,60.51028924689276)","(26.596455912207094,61.989403564324064)","(26.43723414839487,63.46693286672962)","(26.364169482020753,64.94003343470395)","(26.376274220077704,66.40677722491274)","(26.460641595656178,67.86701156940198)","(26.594404326092906,69.32241944493921)","(26.753096225702258,70.77546033049501)","(26.916214985534488,72.22831305564728)","(27.06962650826744,73.6824156519074)","(27.204601931091258,75.13838693435105)","(27.3167993324046,76.59604935138987)","(27.404857540443814,78.05455473422579)","(27.470137701234876,79.51227884302736)","(27.515829761119164,80.9669008833224)","(27.547168645580307,82.41506550547447)","(27.5714279611152,83.85199488026433)","(27.59769239361223,85.27093786220426)","(27.635451282812994,86.66204191766283)","(27.70473355324027,88.01355977067843)","(27.8483241618406,89.32282597748676)","(28.06797220514296,90.58784243225439)","(28.36224634607866,91.80623682103263)","(28.729650940506776,92.97569771925464)","(29.16840099159068,94.09366335342116)","(29.67624318970295,95.15715371820632)","(30.250265114264636,96.16267902501598)","(30.886540158286188,97.10606192774273)","(31.579883219040845,97.98253249136506)","(32.32327804734482,98.78678441032262)","(33.10544281126179,99.51220136116268)","(33.91832768593265,100.15521753557728)","(34.75443410713848,100.71341191671847)","(35.606636729826505,101.18513516088737)","(36.46899044083733,101.56947193152548)","(37.33707653108859,101.86600861544161)","(38.20782981371106,102.07459181244508)","(39.07906259986206,102.19517981392984)","(39.94895589975298,102.22778097859744)","(40.8156059617687,102.17244612153803)","(41.676519514199796,102.02930695334261)","(42.52801735584172,101.79869256752286)","(43.364486622454336,101.48141724654502)","(44.17781113453444,101.079333930404)","(44.956048844124524,100.59685209677983)","(45.695819675115175,100.04456486904054)","(46.48741726968208,99.50160063890195)","(47.359892917338094,98.99330990702965)","(48.31321521565984,98.51976069384186)","(49.34648287190461,98.08297511556462)","(50.458462554980066,97.68528120946516)","(51.64219744701869,97.32579413659809)","(52.88376550844654,96.99911863958208)","(54.17174175051352,96.70025810389527)","(55.49724218711823,96.42471841650875)","(56.85322102564227,96.16872264074385)","(58.23402833498556,95.92911327531262)","(59.63509853653225,95.70324940814147)","(61.052725422875014,95.4889212662791)","(62.4838902738165,95.28427802874985)","(63.92612400157933,95.08776473291786)","(65.37739574152647,94.8980767041634)","(66.83609399511711,94.71417859146416)","(68.30087357173453,94.53514487282047)","(69.77063406608633,94.3601937978405)","(71.24447491093694,94.18867126993625)","(72.72165951738964,94.0200300270453)","(74.20158505610995,93.85381179732646)","(75.68375710085289,93.68963209006246)","(77.16777015666291,93.52716818391171)","(78.65329440571867,93.3661506827059)","(80.14005909006633,93.20635311969815)","(81.62784276926054,93.04758550338579)","(83.11646291781403,92.88968757955315)","(84.60576978284253,92.7325245069247)","(86.09564224772521,92.57598375861289)","(87.5859805230927,92.41997033229583)","(89.0767019881375,92.26440376378135)","(90.5677406811836,92.10921722442444)","(92.05904076883033,91.95435341544774)","(93.55055775702154,91.79976472639281)","(95.04225468018416,91.64541077719059)","(96.53410132335759,91.49125756360469)","(98.02607323012323,91.33727660947031)","(99.51814999902446,91.18344377884357)","(101.01031546974936,91.02973911959592)","(102.50255581329614,90.87614566453502)","(103.99486033493153,90.72264965146496)","(105.48721994932586,90.56923961037542)","(106.97962742235448,90.41590628506466)","(108.47207689166302,90.2626423214769)","(109.96456331677345,90.10944210605912)","(111.45708345222361,89.95630198638744)","(112.94963309623098,89.80321901204086)","(114.44221031648638,89.65019223331396)","(115.93481291993004,89.49722113915033)","(117.42743861306649,89.34430627030872)","(118.92008626483845,89.1914489949189)","(120.41275347463096,89.03864992095444)","(121.90543663806368,88.88590844256831)","(123.39812793164197,88.73322264664161)","(124.89080964042147,88.58059251088535)","(126.38344690416533,88.42802574048807)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"(30.537316406275515,0.0)","(30.493945293859262,1.4232705053474437)","(30.5340501498124,2.9233006973466082)","(30.662122869236313,4.424950964555362)","(30.878174762680697,5.927852196423484)","(31.182214428491296,7.431652098871276)","(31.574246451028948,8.936117142785093)","(32.05372314614314,10.440756660012834)","(32.56052940885427,11.944246246831314)","(32.9978645066401,13.446022931881261)","(33.34748255357482,14.946154848583424)","(33.6104621647569,16.444702214005765)","(33.79487873683329,17.941758603087013)","(33.91107556757864,19.43744021411479)","(33.968963051331215,20.931854898319408)","(33.977937728203386,22.425094157628426)","(33.946986124919945,23.91721413249916)","(33.884915671384825,25.40818466784479)","(33.80136731793743,26.8977365856778)","(33.7089860561923,28.38489633129752)","(33.629538960242925,29.866427827524067)","(33.60181148429049,31.333073854101418)","(33.65572553476687,32.77342236112478)","(33.79112817632035,34.180717058738196)","(34.00404993724126,35.546623806322735)","(34.282350304240225,36.86033859645918)","(34.57185507578971,38.13510122783623)","(34.81308432009943,39.39989968131033)","(34.97548627848613,40.672926132216425)","(35.05170363809631,41.96220968825057)","(35.04336444937554,43.2707586068119)","(34.96040707727158,44.598561270464295)","(34.81672258767362,45.94411826400336)","(34.62621354873873,47.30548369919259)","(34.40102141685243,48.680625449267836)","(34.15092078476715,50.06769017783529)","(33.88342453307175,51.46506412497941)","(33.604171715909864,52.87137090578671)","(33.317410724202986,54.2855309658746)","(33.02672233850106,55.706628200678566)","(32.735592577866605,57.13397011880784)","(32.447793553441734,58.56716164490216)","(32.1674709820254,60.00595411696984)","(31.899345716604405,61.45017596415387)","(31.648774884314918,62.89962469377922)","(31.42123795200263,64.35380469222142)","(31.220940795557127,65.81136490186525)","(31.04973957552748,67.26986085645214)","(30.90605201860713,68.72545465316351)","(30.785126026367017,70.17388146721188)","(30.68071491831709,71.61111377095948)","(30.586678166960585,73.034746711494)","(30.497504425568,74.44386599414449)","(30.408520785141686,75.84000456355466)","(30.315800507864658,77.22460220296601)","(30.216250809401302,78.59904987367938)","(30.10763896147866,79.96390163472418)","(29.98754337419339,81.3174933207796)","(29.853487350106356,82.65613526577528)","(29.70298721032906,83.97202648600755)","(29.533576035897443,85.25406490896907)","(29.373490901484338,86.49427327105388)","(29.289590996345876,87.69494826455762)","(29.281145302707323,88.85044138640043)","(29.34420915618326,89.95475139629025)","(29.473187768967414,91.00104696436496)","(29.659706959030782,91.98093910324425)","(29.900103980827602,92.89126631897469)","(30.192554341766584,93.73065114475126)","(30.535899238874503,94.49825396025373)","(30.929030299617118,95.1933001123092)","(31.370956994867058,95.8151181098023)","(31.86055303823465,96.36297076171756)","(32.39645206052057,96.83599433183501)","(32.97745389674248,97.2334580824547)","(33.60263321740228,97.55481582667733)","(34.27165484452821,97.7998731325323)","(34.984881776626644,97.96884013472578)","(35.740438286472134,98.06072705345288)","(36.53301655238687,98.07280348346384)","(37.35656492570413,98.00258905853347)","(38.20088824911802,97.84701187641802)","(39.05300246333504,97.60395906770142)","(39.89903470769322,97.27331404993132)","(40.72588151526675,96.85691736615718)","(41.5261434859285,96.35665143941763)","(42.30052613616017,95.77230337224036)","(43.05599729100773,95.1021058464344)","(43.81876646747047,94.37694932783218)","(44.646776410113,93.69859466452466)","(45.54445644520763,93.07399928977324)","(46.511823956380496,92.50314076783954)","(47.54869952019044,91.9862507768612)","(48.654789429617225,91.52370529041221)","(49.82856561573836,91.1150619304243)","(51.06121847134386,90.75412147651517)","(52.3423599252751,90.43331711991348)","(53.66331160487508,90.14626278046265)","(55.01687561853079,89.88759868090145)","(56.39719322822336,89.65290401067291)","(57.79910008771957,89.43818252267872)","(59.2185780946489,89.24023680765549)","(60.65235035676298,89.056390568161)","(62.097750214632484,88.8843994832544)","(63.5526140867083,88.72239124537464)","(65.01516040024602,88.56879429436191)","(66.48393731346411,88.42230739847906)","(67.95777358774443,88.28185317358454)","(69.43570754264017,88.14652358661846)","(70.91696183608975,88.01557122196564)","(72.40089973511849,87.8883902983872)","(73.88699919657019,87.76448568868256)","(75.37482175819403,87.64345335472585)","(76.86400560015629,87.52497600328697)","(78.35426508023805,87.40881277394826)","(79.84535122334567,87.29477661764702)","(81.33706334512573,87.18273898590883)","(82.82923991375908,87.07263089075987)","(84.3217402482182,86.96440415540505)","(85.81446327128873,86.85806213013532)","(87.30730752040898,86.75363221951778)","(88.80020783407286,86.65118855369539)","(90.29309405003872,86.55081224620197)","(91.78592322512844,86.45261967886032)","(93.2786440069151,86.3567539129856)","(94.77122703126993,86.26336127527256)","(96.26363159028166,86.1726013251758)","(97.75583340880408,86.08463082124678)","(99.24779746682331,85.99960010500284)","(100.739499393192,85.91767254392279)","(102.2309073599634,85.83895396471077)","(103.72199065073892,85.7635607874328)","(105.21272089573046,85.69155248170608)","(106.70304646925025,85.62296538193807)","(108.19292245608416,85.55772803660092)","(109.68229096616376,85.49564656964068)","(111.17108390475217,85.4364907851911)","(112.65922940854311,85.37989629073607)","(114.14662632205963,85.32537943278001)","(115.63315442889005,85.27226127516208)","(117.11865803223036,85.21967015984083)","(118.60296168357235,85.1665227740144)","(120.08691605917946,85.11176886364888)","(121.57038604295599,85.05362268051218)","(123.05239165415598,84.98951055182259)","(124.53122303164403,84.9161225168233)","(126.00315810894911,84.82922967092485)","(127.45964345388356,84.72475920586572)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"(12.78156429645421,0.0)","(13.096940469089278,1.4019806744425578)","(13.470452121673105,2.891856640053312)","(13.766684327504162,4.386013496488495)","(13.974923210323071,5.879655763677461)","(14.095170963733468,7.372393771186338)","(14.127430417087382,8.864007740907109)","(14.071708277522442,10.354103968662983)","(13.928023106722726,11.841886594251886)","(13.696411672008956,13.326248168654756)","(13.376928495195692,14.806000312332193)","(12.969740579919504,16.278960697891186)","(12.518150490938957,17.728648999505474)","(12.14554704488367,19.166465495378237)","(11.86091933078372,20.602430809714146)","(11.664289389936135,22.03785781561743)","(11.555659206375548,23.473083378577876)","(11.535028890810858,24.908156708655945)","(11.602398417749733,26.343064421162143)","(11.757767594231666,27.777729735952033)","(12.0011347156767,29.211856597502845)","(12.332467587636282,30.64383872991322)","(12.751003638642743,32.066477842007444)","(13.217144245644743,33.438097883918125)","(13.634086385913573,34.741426548460296)","(13.990063985920198,35.981386484348825)","(14.293929755232558,37.1507181026338)","(14.5622474925972,38.240169711514824)","(14.826107699902792,39.24545531664656)","(15.121465625457596,40.216988264318445)","(15.444503856865254,41.21560048815708)","(15.775254045628415,42.258694977318)","(16.10441341523973,43.345366396285165)","(16.431619169552118,44.46908997806755)","(16.720896532434963,45.63432476074202)","(16.945452226683976,46.848697613156)","(17.125672148388908,48.10479209192566)","(17.280247261140634,49.39563729260218)","(17.422391873610717,50.71560731110785)","(17.56024135519132,52.05972871079747)","(17.698511683933816,53.423719056977916)","(17.83910090630372,54.80389824557552)","(17.981682225021636,56.19701296752123)","(18.124479701741546,57.59985758604796)","(18.265157243539004,59.00973328082461)","(18.400712371790416,60.42425914641365)","(18.52700514624673,61.84086706451704)","(18.638603567765657,63.25694329596259)","(18.72874139566395,64.66981867198535)","(18.789604884964945,66.07660938356675)","(18.8153077009583,67.47471688065838)","(18.80390072854279,68.8623755135001)","(18.7605696041386,70.23923496871848)","(18.695399393765147,71.60578199432977)","(18.621043998872622,72.96293267732767)","(18.549662519022007,74.31135625315267)","(18.49004521980455,75.6507482141299)","(18.447543815405833,76.97988380558382)","(18.42365899709172,78.29630810911667)","(18.416868670302545,79.59640520510915)","(18.42315167819413,80.87523797359138)","(18.436571355059243,82.1263288646185)","(18.451057790047496,83.34168987877158)","(18.462595463673473,84.5117752109922)","(18.472321311923622,85.62581865490174)","(18.49190190331527,86.67347174488178)","(18.540848048845916,87.64584275665007)","(18.63782574214976,88.54509441236212)","(18.793445211022505,89.37893275596268)","(19.01318601768245,90.1525818504215)","(19.29910557238117,90.86826150058096)","(19.651285422083806,91.52605261674871)","(20.06832110640496,92.12439470482857)","(20.54737289703336,92.66034893908866)","(21.08518700796697,93.13083012834537)","(21.68312322572013,93.53707104471431)","(22.341241762605783,93.87911647209926)","(23.058503007181276,94.15601115901858)","(23.833062766689878,94.36613016413168)","(24.66302205802084,94.50788784575806)","(25.54729908217145,94.58041484104436)","(26.486398842988525,94.58412093114063)","(27.484099660044308,94.52222601474551)","(28.54570937309051,94.39995771533438)","(29.676576943109787,94.22564661262089)","(30.867655129868417,94.01260647551246)","(32.09734064156369,93.77183700085516)","(33.34564394296008,93.4932530994002)","(34.59592664784017,93.15611128726887)","(35.83851706154905,92.7448454546886)","(37.07421621012978,92.26590708725777)","(38.3102042994556,91.75167141205654)","(39.55196144883561,91.24810525940589)","(40.79710593455001,90.79934654639752)","(42.036025201069684,90.42682866330266)","(43.282554231015816,90.05905500096061)","(44.54293972701223,89.6740136050739)","(45.8198113670058,89.27786822803385)","(47.11576910382884,88.88593865655332)","(48.43187900737868,88.51793094315681)","(49.76729781745274,88.19036481008726)","(51.12020605887202,87.91412480673104)","(52.488360373755526,87.69342302712298)","(53.86951774605649,87.5273261915014)","(55.26144726124962,87.4121904158819)","(56.66220590296142,87.34293052858314)","(58.07030562354623,87.31438486896673)","(59.48457511586946,87.3214059962689)","(60.90412555128535,87.35902688597216)","(62.32824168123688,87.42283145568717)","(63.7564145318776,87.50845943915975)","(65.18825726011785,87.61194261862796)","(66.6235186982305,87.72977991754622)","(68.06204188247877,87.85875413021243)","(69.50373411927718,87.99595667054527)","(70.94855721594426,88.13867799973295)","(72.3965151797552,88.28445342702068)","(73.84757962669786,88.43107518221183)","(75.30172485128648,88.57663339085816)","(76.75890146453327,88.71946834173441)","(78.21899955665685,88.85833964329333)","(79.68187904143397,88.99257779490858)","(81.1473293398003,89.12196090710162)","(82.61511490880443,89.24646978554085)","(84.08489807459297,89.36727057226864)","(85.55643890045022,89.48444986452374)","(87.02945139275407,89.59898611803082)","(88.50359662553402,89.71232586926425)","(89.97856563643032,89.82571547298726)","(91.45407601856122,89.94023906815829)","(92.9298526834512,90.0568472386791)","(94.4056683256047,90.17618783300664)","(95.88138649549263,90.29743149590374)","(97.35678199026998,90.4212333315896)","(98.83172315579344,90.54701813680936)","(100.30599055597884,90.6747127919115)","(101.77941219574234,90.80375515472994)","(103.25179059692317,90.93365117142197)","(104.72289533321215,91.06391674233522)","(106.19245361594223,91.19410669494685)","(107.6601205946774,91.32391685966974)","(109.12550619443928,91.45314928387778)","(110.5881087555968,91.58175148445473)","(112.04729498223095,91.70983843038302)","(113.50230280621929,91.8377834468258)","(114.95220004659137,91.96588376523145)","(116.39566843206099,92.09468937412603)","(117.8309977690141,92.22479336723981)","(119.25593769025853,92.35653847914136)","(120.66747785140532,92.49010991359826)","(122.06139389171449,92.6252674638272)","(123.43165053327554,92.76124437118983)","(124.76943567482542,92.89657413504209)","(126.06180165934666,93.0286511429795)","(127.28981069170419,93.15180866944631)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
