"(29.385301516885765,0.0)","(29.46934812947162,1.5029526881924706)","(29.6407326942694,3.0141899261656757)","(29.897487561836055,4.540517110714868)","(30.15875625855263,6.113766941387717)","(30.340519007777456,7.7225103913556)","(30.44110339510378,9.364832306131774)","(30.461696332617343,11.043645503333613)","(30.40190524389194,12.758110599101343)","(30.260319919817302,14.50494228272122)","(30.04786452083492,16.300761023257643)","(29.82648448526959,18.162946433923533)","(29.671964881561333,20.026835807743907)","(29.57913450400428,21.853713582349187)","(29.530245039903427,23.635851627781545)","(29.51332676960208,25.375637949918605)","(29.52130962448702,27.078610627339522)","(29.550252500572874,28.750887940681693)","(29.599392849245486,30.39868152068256)","(29.673722107553555,32.02940437730792)","(29.784199026308503,33.651198758419454)","(29.943923505318256,35.27115660215772)","(30.159467907403844,36.89248477766668)","(30.424293125646212,38.5138679685658)","(30.720778931072402,40.13113751857233)","(31.02551079883513,41.739815367920194)","(31.31862399051677,43.33721787007672)","(31.587283463333176,44.922623015179006)","(31.825440851976865,46.49664536881009)","(32.03161150208629,48.06048606260289)","(32.20698550020148,49.615450916392746)","(32.35402297071316,51.162748665620576)","(32.47560552200309,52.70343274114349)","(32.574594651761906,54.23841804663236)","(32.65372087388128,55.76850784938255)","(32.715552046569826,57.294428683736875)","(32.762512609140515,58.816840930413505)","(32.79672269882775,60.336321884522384)","(32.82014572817201,61.85338985129198)","(32.834491600262005,63.36849838120077)","(32.84136429650709,64.88204914030077)","(32.84219319213257,66.39439911202666)","(32.838139796582475,67.90585206447236)","(32.83017234647028,69.41667276198133)","(32.81897216067068,70.92707511151596)","(32.804932021564696,72.43723621243701)","(32.788185553145354,73.94728920554988)","(32.7685995719725,75.45731155260154)","(32.745077370338855,76.96709193970466)","(32.71597519571886,78.47643707371031)","(32.679145568078944,79.98533712400194)","(32.632243820513075,81.49382336270811)","(32.57200910130656,83.00137414776896)","(32.54070122344333,84.49027598197216)","(32.58795053594286,85.9395673340134)","(32.71126762479126,87.34467284561562)","(32.907458997599434,88.7005183882629)","(33.17263925379018,90.00180221332683)","(33.50236917107829,91.24334136157938)","(33.89172384315428,92.42022241997596)","(34.335342989271794,93.52788537342263)","(34.82756747423216,94.56224407620914)","(35.36180636923192,95.51935862054373)","(35.93143998873712,96.39594636142093)","(36.53070529274086,97.18971045662023)","(37.15388296173964,97.89881997693473)","(37.79533371239404,98.52187915316267)","(38.449555396271805,99.0578984415142)","(39.11126624917819,99.50626223169064)","(39.77551717596335,99.86668407646938)","(40.437774731089824,100.13914613014975)","(41.09390465385757,100.32383677139178)","(41.74003115029655,100.42111185132924)","(42.372277832489644,100.43150411569326)","(42.986511488864096,100.35577810271005)","(43.57819686689952,100.19501394988706)","(44.14236599623082,99.95069141952504)","(44.67365698796465,99.62478518806984)","(45.16948695271479,99.22257494194143)","(45.7098160865053,98.8209342629589)","(46.3307567856231,98.45458337380451)","(47.03180115020665,98.12465986135449)","(47.81296619640213,97.8311247114751)","(48.673889647136804,97.5747696973029)","(49.6142265610945,97.35632848442262)","(50.63386583775784,97.17603340428356)","(51.7326600041979,97.03418867099427)","(52.910116074978575,96.93178805213414)","(54.161051891678355,96.868498979029)","(55.46700925634019,96.83685485069114)","(56.8130481063442,96.83001794935353)","(58.18936027601164,96.84301839430779)","(59.58920627444306,96.87213547083529)","(61.00766435613962,96.91445385946011)","(62.44099097054296,96.96763883861306)","(63.88626967121106,97.02978407010745)","(65.34119763567102,97.09932108344981)","(66.80393120401183,97.17494377658676)","(68.27298895254825,97.25555964652625)","(69.74717710062636,97.34024994489873)","(71.22552916134283,97.42824096149492)","(72.70726223302927,97.51886885987511)","(74.19174128772069,97.61156567913297)","(75.67844947884987,97.70584255518324)","(77.16696766075117,97.80126720426516)","(78.65695473437869,97.8974563017875)","(80.14813270155223,97.99406290509565)","(81.64027458597755,98.09077046259203)","(83.13319588452826,98.18727998309578)","(84.62674491643338,98.28331679790435)","(86.12079775732573,98.3786113451765)","(87.61525096390982,98.47289770817372)","(89.11002135190458,98.56592412980213)","(90.6050378620266,98.65743635590411)","(92.10024070667205,98.74718873090157)","(93.5955810562352,98.83492864743359)","(95.09101290681038,98.92042602551601)","(96.5864969199157,99.00347144536042)","(98.08199822620938,99.08384893876239)","(99.57748151529648,99.16138093196804)","(101.07291410526143,99.23589931014902)","(102.56826072385053,99.30727677925947)","(104.06348519756095,99.37542184927393)","(105.55854726267528,99.44037144479024)","(107.05340112097035,99.5022339159709)","(108.54799228753461,99.56114868577642)","(110.04225763963547,99.61736585469708)","(111.5361189188633,99.67126166433518)","(113.02947863546206,99.72334954974244)","(114.5222135618366,99.77427587246879)","(116.01416058985566,99.8249125023665)","(117.50510705565534,99.8762829260157)","(118.99476302303069,99.92971175000847)","(120.48271183704898,99.98687948560972)","(121.9683139111391,100.04992972370111)","(123.45043035655563,100.1216880519994)","(124.92675598761878,100.20581830533992)","(126.3918531623952,100.30646189129591)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"(28.725753737708235,0.0)","(28.729267471097177,1.5013522954105776)","(28.644955205996453,3.006557668581537)","(28.472729361762834,4.514255830908435)","(28.212533641006964,6.0227520305717)","(27.864381537474326,7.5294428496951635)","(27.428396909515214,9.031067893485114)","(26.904822098656204,10.524403855281552)","(26.294064252277373,12.005936627246463)","(25.597107638814784,13.470133040690193)","(24.851411576841468,14.89819261031567)","(24.180217665842704,16.308387530551666)","(23.59690307165524,17.71416924273714)","(23.101096450477776,19.111265772748954)","(22.690527337977077,20.487987824978717)","(22.350649718896598,21.816486045593138)","(22.032234085256928,23.06397875725675)","(21.68782241076734,24.228412995995892)","(21.299184430844214,25.316917205917786)","(20.8603685060161,26.333151173276498)","(20.383907060059762,27.272481810631906)","(19.95009725581372,28.14864934115866)","(19.597377731889708,28.990966956137907)","(19.32540763574438,29.7983458581542)","(19.13665643866659,30.578482964298452)","(19.03340059066188,31.365716376598805)","(19.002395167198568,32.20095639555146)","(19.028558231485825,33.10280710912741)","(19.10433144874797,34.077298921929675)","(19.226432719743094,35.12636850190984)","(19.39021774743893,36.24517830743585)","(19.58857603859845,37.42275513286252)","(19.815540971609693,38.64910289434263)","(20.066207791477282,39.91570150064229)","(20.336513349658844,41.21538595169117)","(20.623070983459847,42.54218757662041)","(20.92305112098817,43.89115015521749)","(21.23399657671913,45.25811840948037)","(21.55361261804304,46.63943790824298)","(21.879439045635152,48.031622339084706)","(22.208344406864025,49.43066056234884)","(22.535835631729128,50.83077483808935)","(22.855640325960827,52.22288243105383)","(23.15971787831736,53.59243704965131)","(23.441550805615478,54.92131735300788)","(23.700824175757774,56.19552250760176)","(23.94471444754808,57.413399750507345)","(24.18436801770969,58.587278240434664)","(24.429672192850077,59.73619075359814)","(24.686813126207458,60.87834920580444)","(24.95850697670096,62.02653790178732)","(25.245214020453204,63.1886300147025)","(25.546161302569384,64.36840433655848)","(25.860010992398497,65.56679942967294)","(26.185324481603274,66.78326233829384)","(26.520680827210782,68.01638792568238)","(26.864781169981885,69.26452901847392)","(27.21647632077833,70.52560067022849)","(27.57478860719219,71.79777660430861)","(27.93888879086019,73.07905381255858)","(28.308079153019143,74.36746099349385)","(28.68178142438305,75.661251553404)","(29.05960677173507,76.95812977719817)","(29.44140608082143,78.25532465023863)","(29.827457642495546,79.54910909957528)","(30.218667478646488,80.83466976605371)","(30.61672047683089,82.10572121928371)","(31.02368209628411,83.35458023670685)","(31.444807574932405,84.56984515310657)","(31.921240281368448,85.7311623939224)","(32.4632459857782,86.83379323621676)","(33.07087622782368,87.87779552831455)","(33.74487123187682,88.86401038069883)","(34.48598743107467,89.79331633046101)","(35.293891630027,90.66533072669611)","(36.16449260789143,91.47582577312141)","(37.0850583759037,92.21424094748264)","(38.044534325209504,92.87386834947714)","(39.0321475082689,93.45025685526595)","(40.0355476877243,93.9402576052074)","(41.039570587314664,94.34253257722247)","(42.02725200821372,94.65858276533042)","(42.98608493745884,94.89159738222486)","(43.912215535331825,95.04307852517364)","(44.8178364655807,95.12648450852892)","(45.70691193838772,95.15659999929744)","(46.55049326150337,95.11569840414224)","(47.33708011690818,95.00798513414686)","(48.0992416832716,94.84410836621234)","(48.90696201624132,94.67766172228707)","(49.79203470025864,94.54023635815287)","(50.75633805651802,94.44102974966859)","(51.79819526493893,94.38271885862068)","(52.911669192092745,94.36388565527292)","(54.08687061126632,94.37999926909251)","(55.31439808222285,94.42627478708764)","(56.585918988188,94.49825656990562)","(57.894177755012166,94.59196404161503)","(59.23293203106841,94.70391750900566)","(60.59691477526998,94.83113906164321)","(61.981695517079814,94.97109644294271)","(63.38358417115346,95.12162094368536)","(64.79951686576237,95.2808536707939)","(66.22680115214658,95.4471038283746)","(67.66342500261015,95.6192080888617)","(69.10777228481616,95.79622968106307)","(70.55841022358744,95.97725549842218)","(72.01409546521523,96.16144615848297)","(73.47398142248545,96.34831024429027)","(74.93729615803271,96.53731168048671)","(76.40334061331774,96.7279155705593)","(77.87165173015349,96.91977704373346)","(79.34180549764149,97.11254635914342)","(80.81345901149284,97.30585620339286)","(82.28632260861741,97.49935634007508)","(83.76017996299748,97.69274127142072)","(85.23486092619973,97.88563547195122)","(86.71019292242906,98.07759712705085)","(88.18606224661742,98.2681879517634)","(89.66239072686159,98.45685715701143)","(91.13907604478385,98.64292869046109)","(92.61606120395031,98.8256385548287)","(94.09328870764989,99.00408098120243)","(95.57071260239049,99.17716284812614)","(97.048271858509,99.34362810296328)","(98.52593303547492,99.50210707760577)","(100.00363440178901,99.6511336010221)","(101.48131547259341,99.7891455932947)","(102.958904341106,99.91477104852812)","(104.43630717185013,100.02677396232383)","(105.91344834075932,100.12426147185577)","(107.39015740322665,100.20693480667853)","(108.86622246410043,100.2752954293189)","(110.34145421375696,100.33055767309332)","(111.81558251655217,100.37468116898353)","(113.28811961795961,100.41033750467722)","(114.75853739790254,100.44040171676399)","(116.22631016816753,100.46910702724212)","(117.69041529514948,100.49979479004733)","(119.15036642889815,100.53675904636621)","(120.60474733996654,100.58399289540573)","(122.05097004265707,100.64530850842564)","(123.48511259520436,100.72472362606527)","(124.90036612933389,100.82572053468246)","(126.28300843202584,100.94916555890362)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"(31.59995152652002,0.0)","(31.5161729234849,1.4949528833404837)","(31.520375562480044,2.991074578792273)","(31.61256484355775,4.487873187472392)","(31.792728889976534,5.983926401116499)","(32.06073326866049,7.4754661655942485)","(32.416088806048016,8.956808721451882)","(32.857962503528874,10.422318443152426)","(33.38536794869487,11.867259350534344)","(33.99735398753143,13.287976160185476)","(34.69223828904155,14.679451292729652)","(35.43241627791935,16.02573271259253)","(36.09909431749389,17.355683717215044)","(36.677820932932754,18.688237670109277)","(37.168600541725276,20.023827061025624)","(37.57140734480976,21.361575675325817)","(37.88622626551009,22.700765286191746)","(38.11305083250538,24.040938440010255)","(38.25187726850452,25.38165835795491)","(38.30270429188886,26.72269706631574)","(38.265531720435135,28.064002643778537)","(38.14035961059217,29.405592287563834)","(37.9271886451826,30.74761476209993)","(37.626020958228146,32.090387148133594)","(37.2368595902243,33.43420399811941)","(36.75971134470147,34.7795218841576)","(36.194591766891875,36.12705761848638)","(35.551743898888034,37.47724208302987)","(34.8833926897847,38.82800586621846)","(34.2231069889077,40.17715760780366)","(33.58209051233103,41.524140883466856)","(32.96226603327541,42.8700073733425)","(32.362236093563766,44.21707091925051)","(31.779979946281873,45.56785940215086)","(31.214214695139088,46.923942024955835)","(30.663584631829735,48.28670779104006)","(30.126653549184653,49.657444396676176)","(29.60318124403651,51.03582205752298)","(29.093880753151677,52.42025185911869)","(28.59896439641135,53.81042714142132)","(28.11929080590188,55.20644965146979)","(27.65676079008925,56.6090530003172)","(27.21246593943522,58.01713336678952)","(26.79879180443155,59.431083022753725)","(26.45873920296208,60.8555054198594)","(26.19433495468815,62.285498891401474)","(26.00487035078144,63.7126614404135)","(25.891125962807934,65.12681715341817)","(25.852672611501166,66.5188795217559)","(25.8841136609397,67.88400803185753)","(25.97363213116703,69.22309079314799)","(26.106920559798795,70.54000884331408)","(26.26868512331289,71.84045107320232)","(26.444850122741613,73.130052383715)","(26.624119399659456,74.41306934642262)","(26.798083564468037,75.69212605759144)","(26.961007799428756,76.9675202921048)","(27.109323547621457,78.23777525083459)","(27.240766369293,79.50010625086577)","(27.355084147008263,80.74924351250507)","(27.45252677082267,81.97764740118703)","(27.533689446950063,83.17533036327686)","(27.598445014295308,84.32967967686109)","(27.644505456333444,85.42579677831964)","(27.667160748950952,86.44605529858049)","(27.667550850255964,87.38441294502883)","(27.71286014423754,88.25962507257952)","(27.821400233710605,89.07368271105372)","(27.98900198496961,89.82254474932475)","(28.212492399639352,90.50344977548818)","(28.488740594940243,91.11395795170056)","(28.812222464799277,91.65031231818563)","(29.171062567742112,92.10647434296007)","(29.541014808589395,92.47629797354818)","(29.897501544502042,92.75943895067931)","(30.243023256184646,92.95564623235391)","(30.604636366436445,93.06650634637458)","(31.012596260086532,93.10358165947642)","(31.485009982460262,93.08116388949142)","(32.02959822608381,93.0084929865552)","(32.6482583605534,92.88832336776895)","(33.33980309984598,92.71889182890533)","(34.100767784539784,92.49546429337403)","(34.92717857118285,92.21327160702145)","(35.818164900202646,91.87136293425499)","(36.77799623374473,91.47808992889489)","(37.80737382125921,91.06122550518526)","(38.90350212852979,90.65865322428684)","(40.05905845776813,90.30799117966956)","(41.254505802019764,90.03461549150563)","(42.48762966298404,89.81472745996236)","(43.77147915045934,89.61649053211035)","(45.093825080537336,89.44364792832417)","(46.444753141349835,89.29552466434708)","(47.81681186716003,89.17011152119204)","(49.204679200262184,89.06494158717216)","(50.60481175460053,88.9776833788355)","(52.01497296671277,88.90624419718948)","(53.433669023408584,88.84903059352212)","(54.85988974954172,88.80453544856576)","(56.29297742556925,88.77142558119972)","(57.73243515334737,88.74857631640948)","(59.177898739189075,88.7350917546277)","(60.630060760399864,88.73151987291968)","(62.087854316548466,88.73643488555602)","(63.55012436689623,88.74826687271037)","(65.01664783584778,88.76657100092629)","(66.48754244068891,88.7914609354772)","(67.961669198019,88.82142759908112)","(69.43872235181368,88.85598966711137)","(70.91873629462742,88.89517915133808)","(72.4011148382236,88.93818996303236)","(73.88548463661903,88.98448120551677)","(75.37172750472641,89.03385156931252)","(76.85966825433512,89.0860771836172)","(78.34892878178397,89.14060454452026)","(79.83936385128509,89.19718125637235)","(81.33094707055518,89.25578033955695)","(82.82339614043111,89.31598924838086)","(84.31660145785372,89.37761715702126)","(85.81052175495205,89.44057166343086)","(87.30502774268513,89.50468514644642)","(88.8000151732258,89.56978246386723)","(90.2954458850621,89.63575214480127)","(91.7912670328232,89.70253818031256)","(93.28738785618646,89.77000374791021)","(94.7837819536639,89.83805656236926)","(96.28042890531388,89.90665983571277)","(97.77725854356814,89.97573451441701)","(99.27424928993197,90.04521399512902)","(100.77140096221166,90.11504064657574)","(102.26868894085763,90.18517206010193)","(103.76608436267986,90.2555609481787)","(105.26356619993804,90.32617240049733)","(106.76111971232125,90.39698353723792)","(108.25872333961549,90.46795899442132)","(109.75636255655832,90.53907545411413)","(111.25402405286468,90.61031447503058)","(112.75169589021235,90.68166042274171)","(114.2493679333951,90.75310362238105)","(115.74703243432965,90.8246406481251)","(117.24468414694498,90.89627558655549)","(118.74231937515603,90.9680218656875)","(120.23993903299427,91.0399046302798)","(121.73754538066923,91.11196325722858)","(123.23514226222899,91.18425126240996)","(124.73280974068457,91.25702149107136)","(126.23059695117824,91.3305056361832)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"(13.706720400265503,0.0)","(13.976627026700186,1.4877917289381828)","(14.333879700126612,2.982823361909732)","(14.778902268239083,4.481738608229796)","(15.311845148979382,5.982820823654986)","(15.93275974674939,7.484978134285444)","(16.64166302690728,8.98758331096597)","(17.43856027493637,10.490148270617327)","(18.298563942938955,11.99126414867077)","(19.110952029202274,13.490178000318778)","(19.835715912109727,14.988692064419578)","(20.47250519885125,16.488962320512503)","(21.0214627644537,17.994318213802313)","(21.483195891934905,19.51075241800154)","(21.86066998119896,21.051127888407308)","(22.17008314613038,22.64353149281692)","(22.4593108169546,24.31790445772674)","(22.772966867075514,26.075885208101965)","(23.129083192733468,27.910794844880126)","(23.52747967790097,29.80969116300678)","(23.888323855719243,31.704642959024305)","(24.173193134274264,33.55606387891936)","(24.38206464881715,35.363133380075396)","(24.514229448454486,37.127083598379514)","(24.570592562075973,38.84637814212793)","(24.558096208862974,40.51682302474659)","(24.508990041866483,42.14705665777395)","(24.45580706311411,43.7503442040562)","(24.418236453472105,45.33631763407128)","(24.407680776412786,46.912381606904994)","(24.429418046275735,48.484122335367424)","(24.483402127397497,50.05508090507914)","(24.553632941220428,51.620337597377244)","(24.6321493665684,53.17844503465173)","(24.716404809872536,54.73037182349027)","(24.803768395564244,56.27650192111783)","(24.891972579678338,57.81695354913637)","(24.979048825670365,59.351955743559934)","(25.06350654670951,60.881900455359236)","(25.144320926196432,62.407109750044384)","(25.220763794396067,63.927937664165526)","(25.292373846719507,65.444726207099)","(25.35889256877131,66.95780227127283)","(25.42014523487208,68.46744170884426)","(25.47616341010489,69.97389042451859)","(25.526670515416434,71.47693441079358)","(25.572353172444664,72.97704131282102)","(25.613875609951716,74.47436899447051)","(25.651957057731675,75.96893144602303)","(25.68750788717483,77.46061091077613)","(25.72148882158868,78.94912618833317)","(25.7550021247014,80.4340377537366)","(25.789361019072167,81.91462101933958)","(25.826190621262725,83.38969789498887)","(25.869918064239542,84.85781411990973)","(25.931701622790033,86.31725542942766)","(26.030544940152662,87.76430110905414)","(26.19152005654942,89.18430836000113)","(26.41498129833275,90.54440017733992)","(26.69738450450231,91.8391559735197)","(27.036817139112912,93.06690073755121)","(27.431220049366782,94.2259362096261)","(27.87832555804554,95.31450926834117)","(28.375682544312046,96.33085238918795)","(28.920636244279237,97.27319061978031)","(29.5102555053151,98.1397216343043)","(30.141164581764663,98.9285587706238)","(30.809251993366466,99.63766244310607)","(31.509396740031246,100.26485037697665)","(32.23546802718368,100.8079907028241)","(32.98097032072419,101.26534399863957)","(33.74014228758718,101.63579196389225)","(34.50850705545171,101.91873532687788)","(35.282903189045626,102.11389230961906)","(36.06110245347184,102.2211349788997)","(36.84129317807108,102.24040329130652)","(37.621536063624745,102.1716764351133)","(38.3990585842443,102.01500392256007)","(39.1689454442828,101.77070832165876)","(39.9214861750581,101.44032138552188)","(40.63747883903286,101.031379414399)","(41.27996872677166,100.58406970210002)","(41.84485729181098,100.16675213132868)","(42.35680866178746,99.8188890671811)","(42.832582836442256,99.53230555749471)","(43.27949616173747,99.28842621456893)","(43.671899911504745,99.10834244229265)","(43.99715200725919,98.98464267611178)","(44.24321109010597,98.89695946089495)","(44.40816186340839,98.79945148416274)","(44.561118728730975,98.63852168636315)","(44.757701210655185,98.40463869834048)","(45.02406939649089,98.17531066946005)","(45.37151824256775,97.98011642662118)","(45.80182942785786,97.81449703485825)","(46.316856031855814,97.67239290978155)","(46.91791215024936,97.54878732275616)","(47.60533675481,97.4420374233693)","(48.37936468170834,97.35089749974676)","(49.240153912563386,97.2744672606403)","(50.18784337390193,97.21189870551343)","(51.22246794656883,97.1629642964186)","(52.34038848937476,97.12731096856768)","(53.5282341874321,97.10292256453806)","(54.77333835438148,97.08772832270056)","(56.06506034424054,97.0802348447473)","(57.39472860761724,97.07929220099098)","(58.75551504296641,97.08369657279434)","(60.14181258699145,97.0924398958686)","(61.548800186461314,97.10478308028448)","(62.97272714241538,97.12019326583524)","(64.41062449939842,97.1380594304564)","(65.85991026731074,97.15795250838626)","(67.3183805015337,97.17957107609433)","(68.78449528002402,97.20262879643789)","(70.25690907309871,97.22682760858036)","(71.73430309967942,97.25196284411027)","(73.21585251765458,97.27796835611123)","(74.70091300433272,97.3046254752042)","(76.1887557839834,97.33178092296681)","(77.67879791551094,97.35945362569109)","(79.17082318187627,97.38750428643391)","(80.66449135962264,97.41587585780093)","(82.1593825622976,97.44461709645665)","(83.65537235851868,97.47360653266009)","(85.15234435339991,97.50273721340616)","(86.65001855099256,97.53208569759494)","(88.14827244943683,97.56163671271563)","(89.64715063404525,97.59122761773332)","(91.14649933877101,97.62091849297043)","(92.64609524177239,97.650822716881)","(94.14590896081731,97.68092279833076)","(95.64591468923774,97.71120030882066)","(97.14608004060335,97.74161324603148)","(98.6463945686265,97.7721672609244)","(100.14685004144164,97.80283488253245)","(101.64742230369379,97.8336082666228)","(103.14810045755834,97.86449243686837)","(104.64888343564309,97.89546453694854)","(106.14975942756047,97.9265475593935)","(107.65070010611285,97.95773536255204)","(109.15172277632179,97.9890461884639)","(110.6528162086393,98.02050475326283)","(112.153959936215,98.05213562650039)","(113.65513829596782,98.0839646864273)","(115.15637591818204,98.11608290876883)","(116.657645885945,98.14852869617567)","(118.15893773468112,98.18139535948453)","(119.66025089899537,98.2148383506536)","(121.16184767003347,98.2487548910121)","(122.66382850313155,98.28330425999573)","(124.16612293580465,98.31896643245955)","(125.66860625380701,98.35637251367372)","(127.17061583982193,98.39582181341272)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
