"(126.13359365168694,96.77576063776287)","(126.13544368136826,96.77420124687515)","(126.13750086112994,96.7727165003042)","(126.1396832787514,96.77118099869094)","(126.1418557898732,96.76974027537865)","(126.14401950292405,96.76825692786137)","(126.18659879211135,96.74726754662588)","(126.30869196428247,96.68867576314776)","(126.5122576288708,96.59693587563001)","(126.79977907152683,96.47904865594751)","(127.17341052837178,96.34339998499632)","(127.63450782254283,96.19871339604508)","(128.18354658206832,96.05269763692463)","(128.82041227622187,95.91169636365743)","(129.54473991442694,95.78027220389338)","(130.3564947296257,95.6587892946486)","(131.25543211757616,95.54922764788627)","(132.2412276225731,95.45377282778946)","(133.31358641654552,95.37400158973671)","(134.46748154503294,95.30997904881717)","(135.688766595018,95.25940704243148)","(136.9645846252497,95.21982994613435)","(138.28444703943808,95.1890610870887)","(139.63985528358182,95.16528435511995)","(141.0239088347576,95.14697788271471)","(142.43104949483566,95.13295223522343)","(143.8567912280774,95.12224872587538)","(145.29750290483165,95.11409139186887)","(146.7501301799844,95.10773474536096)","(148.21252475413567,95.1029617548966)","(149.68279010105377,95.09940670604416)","(151.15926689543014,95.09662554241456)","(152.64079817262038,95.09453324472518)","(154.12648501818683,95.09303168801665)","(155.61547075314104,95.09191270384788)","(157.1069423014914,95.09095294640956)","(158.6006272466622,95.09034901610255)","(160.09609468984678,95.09000330897751)","(161.59279130680008,95.08960198337118)","(163.09062888605257,95.08931481864123)","(164.58942513410153,95.08921541358752)","(166.08887906677842,95.08917682170375)","(167.58883081202765,95.0891432515468)","(169.08931507070224,95.08925976393715)","(170.5901907985255,95.08944827548498)","(172.09121655968528,95.08950119881236)","(173.59254476939617,95.08965105148589)","(175.0941093806193,95.08986801945409)","(176.59567679040163,95.08992281578801)","(178.097370399704,95.09001100175934)","(179.59921974644578,95.09026816274037)","(181.10108722903166,95.090547110264)","(182.60291864153106,95.09078767482934)","(184.10486691029445,95.09116348774558)","(185.60688102624582,95.09161694776742)","(187.10875840990195,95.09192075361135)","(188.610708550322,95.09231052852968)","(190.1127307048539,95.09278557125862)","(191.61463517249214,95.09313397966534)","(193.11655070681522,95.09349996532433)","(194.61854522219025,95.09395913696164)","(196.12051317129894,95.09439398953506)","(197.62237653791857,95.09471883389733)","(199.12432510116423,95.09514934059952)","(200.62629780179657,95.09569309679593)","(202.1280966571342,95.09614057032249)","(203.62994792686396,95.09672392271656)","(205.13186541723286,95.09744482091904)","(206.63365804146002,95.09808399059976)","(208.13543874430988,95.09875583522893)","(209.6372973296128,95.09955030327728)","(211.13912319948,95.10034208587439)","(212.64083403288032,95.1010375099695)","(214.1426367650851,95.10185582226535)","(215.64448819592621,95.10274694428858)","(217.14617510383235,95.10348023117419)","(218.64791005392948,95.1042808872787)","(220.14971320325452,95.10516862291247)","(221.65140013007095,95.10594599572624)","(223.15306920683656,95.10671643096566)","(224.6548191536557,95.10758333500144)","(226.15654293240456,95.10843290845128)","(227.6581479004592,95.10916714080481)","(229.1598438324903,95.11000598228813)","(230.66159123097032,95.1109074011415)","(232.16318093871104,95.11165266811845)","(233.6648319582636,95.11246995509214)","(235.16656647420146,95.11342101413531)","(236.6681757333582,95.11434048009883)","(238.1697664778237,95.11532290738279)","(239.67145128748308,95.11647067334259)","(241.17312050452225,95.11765968848295)","(242.67466412416576,95.11876787041429)","(244.17629887458315,95.12000981722377)","(245.67797288042487,95.12132624789669)","(247.17947718818365,95.12249949260257)","(248.68103134898428,95.12374862508963)","(250.18266597416977,95.1251011361266)","(251.68418383087158,95.12635517533948)","(253.18567427420302,95.12759866184233)","(254.68725870034484,95.12895192606337)","(256.18883293561885,95.13030899524487)","(257.69028048136454,95.13155220811548)","(259.19182321709485,95.13290205169329)","(260.693420725096,95.13431733483449)","(262.1948566534276,95.13558283365833)","(263.69634849706296,95.13691339234566)","(265.19793456537104,95.13834628368474)","(266.6994128494979,95.13968235097107)","(268.20085909146746,95.14099579737236)","(269.70240935584695,95.14241967065253)","(271.20394495867544,95.14383776618716)","(272.7053462947595,95.14513346892323)","(274.2068494672089,95.14653621596955)","(275.7084169833454,95.14800868749113)","(277.2098240632982,95.14933372124781)","(278.7112859531426,95.15071883501278)","(280.21285005632456,95.15220953830459)","(281.71431170580826,95.15360995557934)","(283.21573078892743,95.15497712488744)","(284.71726137181975,95.15645824969155)","(286.2187836208223,95.15793955874716)","(287.7201649627427,95.15929522299129)","(289.22164982228867,95.16075659494902)","(290.72320417164076,95.16229150982055)","(292.22459597417196,95.16368192464176)","(293.7260360943591,95.16512565775584)","(295.2275744168195,95.16666932859421)","(296.7289989727546,95.16811552421035)","(298.23036934124053,95.16951946347075)","(299.7318526865156,95.17103646341552)","(301.23333114829535,95.17255759939572)","(302.7346637562311,95.1739527211784)","(304.23608761337175,95.17544016114064)","(305.73757647818064,95.17699576374636)","(307.23890755086035,95.1784158923361)","(308.7402755249004,95.17987818602793)","(310.2417457911792,95.18144216020792)","(311.7431130216736,95.18292184258331)","(313.2444198375366,95.18435565683463)","(314.74584244166573,95.18590271734494)","(316.24726678651416,95.1874605597453)","(317.74854743798693,95.18889863230116)","(319.24992401110023,95.19043128324182)","(320.75136872911025,95.19203384108147)","(322.252653693709,95.19350383606601)","(323.75397443730486,95.19501451518767)","(325.255407096492,95.19663318294616)","(326.75674495347084,95.19817794016652)","(328.2580151582362,95.19967239479331)","(329.75940728486046,95.20128288593568)","(331.26080787650994,95.2029104374583)","(332.7620617505298,95.20441967203469)","(334.26341225682324,95.20602223183201)","(335.76483783109904,95.20769951985386)","(337.26610563058017,95.20925048273787)","(338.7674023284706,95.2108357444085)","(340.2688177256142,95.21253256269594)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"(126.0637201951056,102.25468637007758)","(126.0629265043525,102.2558099156977)","(126.06213117882265,102.2569333251046)","(126.06133423039084,102.2580565985898)","(126.06053566253789,102.2591797357827)","(126.05973548987978,102.26030273721088)","(126.10113153930453,102.28036507727943)","(126.22250331181115,102.33708846608451)","(126.42547234487843,102.42668170545377)","(126.7122154961825,102.54304790771755)","(127.08472039293012,102.67888017202932)","(127.54434074369527,102.82678989180121)","(128.09175729811503,102.9801174389176)","(128.7271496330376,103.13326262949852)","(129.45040641592936,103.28179722085203)","(130.26128997472574,103.42232756105999)","(131.15952320484266,103.55222281691901)","(132.14483575159133,103.66944502484759)","(133.21683305468025,103.77236157520568)","(134.3686662227479,103.86084356691065)","(135.58590254844933,103.93657630577448)","(136.85622822301139,104.00130352706343)","(138.16968215957075,104.05660477171304)","(139.51817461215296,104.10388500132004)","(140.89516039546257,104.14437061855294)","(142.29532266774603,104.17910913068926)","(143.71434791878505,104.20900289766358)","(145.14871859356188,104.23482200154722)","(146.5955787292197,104.25720935801245)","(148.05261166789245,104.27671067963358)","(149.5179164755986,104.2937919689168)","(150.98995175882104,104.30885498546769)","(152.4674623406115,104.32218122811763)","(153.94943315701937,104.33408407605043)","(155.43502564373128,104.34481197854795)","(156.92356374206676,104.35448518946379)","(158.41449273225425,104.36327655843576)","(159.90736234580018,104.37134631999189)","(161.40180605273204,104.37882529270551)","(162.89752531449548,104.3858202648108)","(164.39427803305466,104.3923812361341)","(165.89186789992686,104.39850794924708)","(167.390133711432,104.40427563003597)","(168.8889434096041,104.40974850645762)","(170.38819617463986,104.41497821250111)","(171.8877984755127,104.42000833843169)","(173.38768191131365,104.42487352889626)","(174.88779098942126,104.42960205099334)","(176.3880749147882,104.43421766134878)","(177.8884958112875,104.43873631856567)","(179.38902487209307,104.44309763764686)","(180.889637980563,104.4472968986044)","(182.3903148992532,104.45136194690701)","(183.89104054642402,104.45531538813813)","(185.39179983643635,104.45917601890153)","(186.89258306044965,104.46295890358894)","(188.3933826578393,104.46667631821532)","(189.89419044038561,104.47033850291349)","(191.39500232445502,104.47395356347201)","(192.89581353044852,104.4775282500245)","(194.39662105185303,104.48106798580287)","(195.897421994422,104.48457725075393)","(197.39821470345544,104.48805962380222)","(198.8989975871593,104.49151803859527)","(200.3997698443069,104.49492978626397)","(201.90053219969852,104.4982270231923)","(203.40128447261225,104.50142353390454)","(204.9020251782424,104.50453577364081)","(206.40275435214903,104.5075770942164)","(207.90347041003,104.51055854684517)","(209.40417467918965,104.5134889374966)","(210.9048655420293,104.51637570005013)","(212.40554453888163,104.51922466748499)","(213.90620999761586,104.52204083989669)","(215.40686299709523,104.52482810880552)","(216.90750391137516,104.52758969297702)","(218.40813199778773,104.53032829160287)","(219.90874895876408,104.53304592843725)","(221.40935324286008,104.53574448275057)","(222.90994595274864,104.53842529919214)","(224.41052759087952,104.54108949589809)","(225.91109725100478,104.54373808463201)","(227.41165667987337,104.54637170253419)","(228.9122044181599,104.54899106217877)","(230.41274119639888,104.55159661059228)","(231.91326845204736,104.5541886513707)","(233.41378479095965,104.55676758981022)","(234.91429136979352,104.55933360061216)","(236.41478999741892,104.561869538001)","(237.9152800832405,104.56430593109886)","(239.4157630178023,104.56665048925032)","(240.9162391866258,104.56891779754352)","(242.41670679139762,104.5711199180318)","(243.9171669882725,104.57326654891835)","(245.41761976336062,104.57536568592576)","(246.91806359383807,104.5774239571364)","(248.41849980692552,104.57944662140191)","(249.91892892939654,104.58143801209897)","(251.41934931073598,104.5834017908156)","(252.91976210687383,104.58534080332942)","(254.42016835787246,104.58725736602219)","(255.92056630276733,104.58915351385981)","(257.42095662564856,104.591030793879)","(258.9213405225493,104.59289042746877)","(260.4217171161716,104.59473350631399)","(261.9220861159796,104.59656090006568)","(263.4224487110731,104.59837323694613)","(264.92280497371064,104.60017107092425)","(266.4231534194879,104.60195492640365)","(267.9234951271168,104.60372511603788)","(269.42383112626896,104.60548188228707)","(270.9241605129564,104.60722549985474)","(272.42448295822794,104.60895616782028)","(273.9247995307354,104.61067398073389)","(275.4251106565562,104.61237903645845)","(276.9254146737483,104.6140714897284)","(278.4257123468435,104.615751369841)","(279.9260046794546,104.61741868522199)","(281.4262871929744,104.61907363067303)","(282.9265634788748,104.62071609962385)","(284.42683471392564,104.62234605832145)","(285.92709904138735,104.6239635731472)","(287.4273572682015,104.62556861850797)","(288.9276101223082,104.62716115549463)","(290.4278572567748,104.62874118228007)","(291.92809680323984,104.63030874196853)","(293.42833312976825,104.6318636871773)","(294.9285646305406,104.63340603807683)","(296.42878385506083,104.63493596444854)","(297.9289997222268,104.63645321592821)","(299.4292133351633,104.63795773365962)","(300.9294202798784,104.63944959428176)","(302.4296217261991,104.64092874657067)","(303.9298202006149,104.64239509937335)","(305.43001534396075,104.64384863066174)","(306.9302038136609,104.64528937923262)","(308.43038878252423,104.64671724905904)","(309.9305705282126,104.64813220226804)","(311.4307419907941,104.64953432593404)","(312.9309108783514,104.65092346556287)","(314.4310763869583,104.65229959481753)","(315.931234212778,104.65366274190717)","(317.43138633018947,104.6550128538356)","(318.9315372240418,104.65634983654688)","(320.4316845988796,104.65767368458461)","(321.9318224827391,104.65898443194536)","(323.4319587074162,104.66028196623319)","(324.93209336332166,104.66156625387826)","(326.4322161313888,104.66283734126611)","(327.9323362478974,104.66409513465798)","(329.4324545472031,104.66533959160031)","(330.93256520764123,104.66657070881553)","(332.4326699574349,104.66778845437405)","(333.93277502640717,104.66899276964723)","(335.43287735188136,104.67018363124636)","(336.9329682994128,104.67136102381203)","(338.433059179368,104.67252490434248)","(339.9331497870415,104.67367524111994)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"(121.41993648663897,90.5890671043197)","(121.41990412086416,90.58866150163465)","(121.41987163319995,90.58825591265386)","(121.41983901997727,90.58785033793633)","(121.41980628545267,90.58744477698433)","(121.4197734296506,90.58703922996665)","(121.46549240309987,90.58460241003466)","(121.59912619117632,90.57829714094488)","(121.82065752907894,90.56775193822872)","(122.13005511503408,90.55236821561226)","(122.52726374509457,90.53123901223935)","(123.01219497376314,90.50315513650571)","(123.58470473243115,90.46650446849922)","(124.24457968421538,90.41934346788834)","(124.99153193998023,90.35951526075937)","(125.82522642394436,90.28490218957742)","(126.74480279673135,90.19361505298099)","(127.74117326292986,90.08629266292542)","(128.80080294456064,89.96600799249578)","(129.91365369390795,89.8367396869426)","(131.07259232353954,89.70310421725104)","(132.27225501005347,89.56952485294879)","(133.50821627994011,89.43956985078958)","(134.77679212271843,89.31611516994167)","(136.07453385881433,89.20099924064874)","(137.39810706756748,89.09511453432943)","(138.7444847272493,88.9988215057518)","(140.11095693032337,88.91214662264593)","(141.49584380677723,88.83575610112162)","(142.89563465725567,88.76762014827135)","(144.30829269214107,88.7071132764406)","(145.73289794588027,88.65460740265391)","(147.1673828983746,88.60884303977393)","(148.6097946159069,88.56847342146855)","(150.05929268056255,88.53330301881003)","(151.51590825491886,88.50402279168195)","(152.97712222072138,88.47817179950466)","(154.44224910014444,88.45537409677475)","(155.9120514931526,88.43688149292264)","(157.38474413091086,88.4208661383883)","(158.85957374877682,88.40666576305723)","(160.33699327230497,88.39499277973741)","(161.81672971162737,88.38566982548312)","(163.29751650150416,88.37732096737602)","(164.77942338026392,88.37012038239718)","(166.26336379756037,88.36520253414304)","(167.74775371540798,88.36077592736571)","(169.2325502338735,88.35683848613137)","(170.7189541846007,88.35480288588577)","(172.20580659081054,88.35336073021978)","(173.6926598709003,88.35200678419588)","(175.18022455763014,88.35157321111113)","(176.66870140173882,88.35229756299805)","(178.15691673878587,88.35283815729632)","(179.6451068492962,88.35347537912325)","(181.13458735815757,88.35570191142217)","(182.6238399124141,88.35779437699499)","(184.11279973661792,88.3596819579574)","(185.60272982352325,88.3627824151537)","(187.09270367050723,88.3660499500586)","(188.58222102530848,88.3689229356938)","(190.07198886733104,88.3721908346807)","(191.56253802878422,88.37644112441023)","(193.05252970253846,88.38017630112614)","(194.54234985144157,88.38382963030864)","(196.03336284575147,88.38891266317164)","(197.52399591384682,88.39366904329823)","(199.01415315991596,88.39799403449503)","(200.5051681730782,88.40335994520663)","(201.9962343287482,88.40887981900943)","(203.48672852381037,88.41386561395352)","(204.97743007921707,88.41915911380042)","(206.4689112614085,88.42538550310216)","(207.95971594568385,88.43095762275493)","(209.4501541381226,88.43621480780715)","(210.94172173882865,88.44277718294215)","(212.43291930585423,88.44901710797139)","(213.92360816838334,88.4547789839202)","(215.41510013444932,88.46147103653037)","(216.90669517793594,88.46834809434527)","(218.3976867295998,88.47465002266772)","(219.88883541169702,88.48119343532382)","(221.38080325757298,88.48868105637864)","(222.87209493512188,88.49551787852876)","(224.36299490479786,88.50200379823528)","(225.85500570810962,88.50972244368448)","(227.34655114296456,88.51701656745229)","(228.83746184985452,88.52370933327146)","(230.32923291269418,88.53136404437323)","(231.82109301555772,88.53918000061454)","(233.31223388627703,88.54631041747248)","(234.80345549206868,88.55358357582173)","(236.29555616311566,88.56182658777226)","(237.78691681291068,88.56935849170287)","(239.2779162722314,88.57657047664226)","(240.77013708215293,88.58509898189872)","(242.26198610878976,88.59330425341756)","(243.75323862211403,88.60095412532964)","(245.24533453128794,88.60952441573913)","(246.73761588971854,88.61834500965521)","(248.22919258167275,88.62650604712172)","(249.72083240579514,88.63478332283835)","(251.2133943121029,88.64404359476666)","(252.7052413520767,88.65263211420712)","(254.19667256645664,88.66084919502094)","(255.68928868827325,88.67030321496051)","(257.18147240905176,88.67937967250799)","(258.6729402635133,88.6877936045628)","(260.1651969166218,88.69704150434579)","(261.6576759959661,88.70656255101281)","(263.1493590874628,88.71535130552247)","(264.6411353609651,88.72428419365335)","(266.13390206249824,88.73424302589278)","(267.6258900375271,88.74348552245203)","(269.1173846723927,88.75229065630698)","(270.61007943865,88.76231162688282)","(272.1023518219364,88.77196535871727)","(273.59384333576054,88.78090341644668)","(275.08610117965804,88.79062605700292)","(276.5786667797174,88.80069731612295)","(278.0703726336718,88.80998784196214)","(279.56212950012537,88.81937301178868)","(281.05494802929127,88.82982090917028)","(282.5469646052984,88.83954748394106)","(284.0384337636232,88.8488032589803)","(285.5311318183062,88.85927680119252)","(287.0234350754984,88.86942478912428)","(288.5149096344788,88.87883580541859)","(290.0072323381458,88.88909000932986)","(291.49993934669817,88.89975003143806)","(292.9917111219717,88.90957547083893)","(294.4834924627386,88.91944954309497)","(295.97640795994846,88.93042159496963)","(297.4685635066711,88.9407271665583)","(298.96017467145134,88.95056730383519)","(300.45303518822857,88.96160089121778)","(301.9455787408815,88.97238402662234)","(303.43727475049184,88.98243356843636)","(304.9297853956978,88.99327358709544)","(306.4227668160229,89.00458591645993)","(307.9147932261451,89.01506920682041)","(309.40680308764945,89.02557774712832)","(310.8999828205237,89.03718733167321)","(312.3924159131422,89.04816684261243)","(313.8843224113956,89.05871883800499)","(315.377510604193,89.07046691748008)","(316.8704264320501,89.08201587335527)","(318.362461245306,89.09282047728153)","(319.85525615491156,89.10434218128678)","(321.3485787130784,89.11637332076013)","(322.8408649655007,89.12752563028025)","(324.33306158981793,89.1386355869581)","(325.8264423804625,89.15082590963615)","(327.31899465565834,89.16232584754334)","(328.8109001975412,89.17329473086632)","(330.30409866753917,89.18542749828013)","(331.79703927038526,89.19737292074296)","(333.28897018849034,89.20847717199655)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
