,"(5.232169899303819,23.4976960298758)","(11.944725364926324,26.860472333380713)","(18.655504711209286,30.22043783433341)","(25.364677001144692,33.57698153875364)","(32.07327897970964,36.93205102591328)","(38.78166846113835,40.286439852506426)","(45.25262001658267,43.695001874985124)","(51.30823004257415,47.638443154146145)","(57.75709642142339,51.143688761193)","(63.93021561035624,54.44034241176834)","(70.45275341595955,57.433073611738905)","(76.68720305453441,60.782605336554134)",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"(0.37469967805529936,12.96751053598604)","(7.826733250471869,12.75669352262344)","(15.26345414100372,12.537583731487082)","(22.72783660218114,12.335451293622823)","(30.21190313234747,12.147284408833913)","(37.70471791476318,11.96659845212155)","(44.78107588538223,11.657036527546731)","(51.870348796910754,10.815838516897125)","(59.24083567017087,10.51322674809053)","(66.19336285679776,10.881362564817493)","(73.45916662914966,11.48579511121714)",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"(79.72708092054948,41.537966786359476)","(72.65530825701244,39.039961302924894)","(65.58353559347537,36.541955819490575)","(58.51176306636069,34.043950612783945)","(51.44060737501884,31.546795384370352)","(44.7273999011999,29.346003280882137)","(38.7956857092814,28.63315815139501)","(32.308129908765,28.202580473435045)","(25.43075830732741,25.821554820644085)","(18.490762849554912,22.917348487581947)","(10.848046029253949,20.70815587117231)","(3.7491114085815718,17.557257001794426)",,,,,,,,,,,,,,,,,,,,,,,,,,,
,"(77.13786666374544,3.4095855037067206)","(70.79423526612337,8.320724013075733)","(64.42522935887669,12.63066146783094)","(58.03637740115381,16.686929941054956)","(51.63555507727848,20.642579373604338)","(45.238031427170604,24.55886328082032)","(39.70824143453414,29.01366450439909)","(34.3629399062632,34.63448891009491)","(28.170556585343288,39.136857765870054)","(22.038830013818114,42.63380574973466)","(15.403551706250443,45.697702640647016)","(9.380746557753634,49.60547786102549)","(3.856023819953811,53.739628866187516)",,,,,,,,,,,,,,,,,,,,,,,,,,,
,"(5.162290720473565,6.115637594944844)","(11.256151478066112,10.816494809925691)","(17.806108249344835,14.451373964964358)","(25.252252145179295,16.64343818104834)","(32.2355694187936,19.70084654214399)","(38.93949604057565,23.45135852208585)","(44.705215812809094,26.97267739550419)","(50.74061870980362,29.676400707274762)","(56.39198166849786,33.91685672140527)","(61.678073073386415,38.968399824431465)","(66.54563625555555,44.01919367510743)","(71.62932586170078,47.803731302133336)","(76.53239961868807,51.75202186815834)",,,,,,,,,,,,,,,,,,,,,,,,,,,
,"(0.7460197330396838,16.70152241086744)","(8.166119610827597,17.310240554387036)","(15.141892563581042,18.850825904440494)","(21.12607727645414,21.941600295329778)","(27.3212951492729,24.19467481491466)","(33.218054341031305,25.85674897657683)","(37.735516488168656,27.110246407444635)","(40.87520372578561,27.059160798045344)","(45.00451091067971,26.01779778929853)","(51.055424598391724,25.279518822307313)","(58.018335075577674,24.758272588655892)","(65.31663581337922,24.347440442824222)","(72.49050642568156,24.284531871536366)",,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,"(79.47033212872765,2.891437132621763)","(72.18323186232999,5.804418075858159)","(64.88052841569747,8.242834441573818)","(57.560885805601444,10.155905216482026)","(50.22975658364092,11.840722336275633)","(43.315256680805795,13.573097375391542)","(36.37547883805664,15.801608316544138)","(29.136213813459708,17.47185812739327)","(21.977005477063088,18.567740191210508)","(16.067017224816365,18.30956297108972)","(11.054404654198198,18.76027213336028)","(5.5843439265655785,20.517716575868448)",,,,,,,,,,,,,,,,,,,,,,,,,,
,,"(77.71766495288684,61.379012229613366)","(71.5238363290359,57.106257482313595)","(65.32870006189984,52.86254257457894)","(59.13258813601101,48.630646390352226)","(52.93589980372573,44.403406058060014)","(46.97465918542163,40.12394383704789)","(41.47453414541411,35.3749752100121)","(36.429866860663154,32.05568116506174)","(32.74520074536973,29.75319358467655)","(29.446201021176847,26.12349754130164)","(24.400405673087175,22.245444123364013)","(18.544962022440277,18.574392678322816)","(12.694170085775564,15.103067712772374)","(7.825196208770233,11.394442760930225)",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,"(74.45137245330099,59.73824245415038)","(67.09309615775722,58.27315643533992)","(59.74472250116926,56.83943780780677)","(52.36350516230303,56.17555567489494)","(44.96155737361078,55.03644654729021)","(37.56381884099038,53.79531981061512)","(29.938927064276932,53.06155980139215)","(22.214444370846508,52.664621425185)","(14.561391023262749,52.83594029041777)","(7.046817337458321,53.367874615576824)",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,"(6.484465939179939,53.757039249102206)","(13.382996516643281,50.81449442121637)","(20.281679928193093,47.872648642815946)","(27.172051681903156,44.95780273644921)","(34.20158472849692,42.79024829262681)","(41.18667273518072,40.16742762058477)","(48.06365137455252,37.21452915700988)","(54.923886678637366,34.181115435222615)","(61.81597101344642,31.173080271599567)","(68.55117122312271,28.284194373870946)","(74.86258284181429,26.373266634755815)",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,"(3.5036660208281494,41.71107663462888)","(10.653882927420531,39.44721820873365)","(17.80397317482555,37.18278579279824)","(24.87434858711879,34.87527076841439)","(31.1598837469096,32.264437577608795)","(37.07864423607375,31.06454072957363)","(43.793500335120335,29.430461040304724)","(50.73089699162671,27.28005393688902)","(57.6819205357677,24.831772732944092)","(64.43984552469037,22.86082970331366)","(70.6979345616813,20.031637970249093)","(76.85046558754073,16.647663777418483)",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,"(75.62430958817978,45.95058487550804)","(68.15809497133677,46.66117822981398)","(60.768186880973516,47.32442083753246)","(53.757027378992234,47.14732263007713)","(46.478901603404154,47.50306014605808)","(39.25658921919699,47.93931775893079)","(33.01343895820138,48.14994750163147)","(28.012270894881862,48.34719241593589)","(23.139063950702795,50.37692258005905)","(17.479704653958933,53.6308609416306)","(11.455387588191071,57.45665717488051)","(5.291640116845615,61.484766177076)",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,"(76.05396355777029,8.165483423273692)","(68.56011116533377,8.47630227587988)","(61.55410902058773,8.351209421010896)","(54.25933394157277,8.03982750676544)","(46.84997996421377,8.336298058617697)","(39.54004885492796,8.92568093396468)","(33.08796322957634,9.309200235655394)","(26.23656366308078,9.397870919394471)","(19.61573497140678,7.835770696230748)","(12.797905574291349,5.811550569472712)","(5.589522503102299,4.7424670073511885)",,,,,,,,,,,,,,,,,,,,,
,,,,,,,"(1.134824009577829,65.91630940308282)","(7.443590399260024,61.08344120235897)","(13.769920204342798,56.68044437336624)","(20.113110372517355,52.54157466664873)","(26.491301468383938,48.57045403953924)","(32.868740993417816,44.618701563970234)","(38.84619745822836,40.118894418224464)","(45.04511297607725,35.8464768005038)","(51.39190920718037,31.820822479413433)","(57.8152643490934,27.91834061036974)","(64.06454655834138,24.839709790120654)","(70.0551085393088,22.835279227242182)","(76.04070671700613,20.004225998335162)",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,"(79.72629908628402,45.30040216458167)","(72.23395344382263,45.63886715148814)","(64.97801546347382,46.29386146364568)","(57.4930079671386,47.61887670918453)","(49.9572712576607,48.12923807454354)","(42.44516332684272,48.20849241299406)","(34.98527377783176,48.09799776004968)","(27.704955704017614,48.593247367862)","(20.70916865144725,50.248580367199345)","(13.85292713918701,52.915732691171435)","(6.9385312995284,55.683072743014755)",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,"(7.1747641097185,11.972786135197726)","(14.66127083231636,11.337715688036443)","(22.145697321923844,10.624492358922337)","(29.644859143184405,9.977197887779358)","(37.00878358678067,9.368226102126098)","(43.943923645336525,8.989450818488011)","(51.319461031665355,8.395696392469848)","(58.748346719083656,7.649265976500357)","(66.18942478691469,6.851404326291376)","(73.61097811966981,6.026218082208054)",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,"(0.2954189240798905,16.22843404824142)","(7.550476965311196,15.041509898979315)","(14.540144183233583,13.770968997608474)","(21.288708081798134,11.620421248966464)","(28.330619036640982,9.997154618532473)","(34.95117930553653,8.692108477226325)","(41.789438924874965,7.2452315588109215)","(48.99901219233985,6.174055396882218)","(56.333772111317266,5.397692636942769)","(63.69500376938486,4.820173024430938)","(71.0307594063829,2.8571922892794728)",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,"(2.311300456149572,38.05065094695913)","(8.677409610919325,35.54034210891657)","(14.728045233482867,32.989316592698295)","(21.72450919007579,31.759927511184426)","(27.45615097617122,30.452027969234408)","(33.18925512172822,29.62461607141167)","(39.86295707317507,29.090480827553066)","(47.05135505035936,28.397149892454667)","(54.43995333649089,27.90396060676533)","(61.89814535331983,27.548509945406753)","(69.3834799973067,27.243264217761652)","(76.87753029954519,26.956171111398355)",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,"(5.431461417111754,42.49138164123865)","(13.001765247991932,40.09777214740544)","(20.44308947173446,37.186152527682054)","(27.436058163388843,33.769454334322496)","(34.310146483688236,30.071792206154768)","(40.93940971457431,26.149092537357493)","(47.32547802777469,22.172887417348125)","(53.608421774162956,19.034409984824517)","(58.973547090640594,15.227247859711726)","(64.29747677632783,10.567600802375567)","(69.98811259087435,7.322087426544632)","(75.12207591086195,6.156201733988016)",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,"(79.23481828445318,57.73392269353632)","(72.86111633344657,54.00947385419947)","(66.99975718864201,50.008537294909665)","(60.50775925559083,46.64470726833816)","(53.974456209220456,43.113384845251936)","(47.4437541555763,39.59376286199556)","(40.936739552948595,36.05371511591394)","(34.651592636424105,32.62858195009414)","(29.275967270648987,28.74783763421255)","(23.63654593876024,24.105607736888942)","(17.19109646663221,20.32713762024473)","(10.052228849370643,17.74749850857597)","(2.462148179037377,15.5783669871868)",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,"(6.425491346325556,44.29773181927315)","(12.54326923208626,44.29221998869379)","(19.173920261773883,43.73381938315607)","(26.247878989711285,43.49630605035899)","(33.105652164639935,42.87816421832379)","(39.897099179355905,42.77079723529177)","(46.40422969832993,44.419288170546935)","(52.11335603309536,46.82916821480843)","(57.68412689051601,49.66488992347916)","(63.233642065955266,53.23311161591788)","(69.70671050734175,56.15680682280296)","(76.65867589078613,58.51715664777744)",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,"(0.0749547900922591,25.55471246646158)","(7.514577603529789,25.934799459359226)","(14.92192062371279,26.512328451349482)","(22.339891975529568,26.832400626681935)","(29.794010373940644,27.052235477328914)","(37.23761733959933,27.101415283276186)","(44.75750165107995,26.82369157941079)","(52.25450397804682,26.986555915926097)","(59.74270493117996,27.642189492627782)","(67.20764829976345,28.05187113519011)","(74.57365144096005,28.326631319844644)",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,"(77.62842425407311,20.617238267133523)","(70.37542096660727,20.01510469305284)","(63.08475515406969,18.923313218538954)","(55.787346231682704,17.743264832068302)","(48.38985249649979,17.008991479219134)","(40.98644250086291,15.953878651151483)","(33.8053846500707,15.155580201049371)","(27.439135293285442,14.102810863244686)","(20.42823667780267,13.749972531493365)","(13.733320656026873,13.478073735847893)","(8.480399908702559,12.811697172659755)","(3.2129320331667053,14.067569031510537)",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,"(74.57450268663588,47.32305213782097)","(67.58824404054258,45.327116009958075)","(60.22451010747637,43.831513701056025)","(52.79433300370209,42.602717101583906)","(45.674285769346156,41.336441672803865)","(39.28694820197633,38.938740551961956)","(32.751313617601,37.15355213452165)","(25.684892250063648,35.9258705792741)","(18.344874302874572,35.33341728031496)","(11.091202322710895,35.51049466711043)","(3.7109854595538367,35.53923391759192)",,,,,,,,,,,,,,,,,
,,,,,,,,,,,"(4.611073315065039,25.80102364747289)","(11.142445738204543,29.01088451942357)","(16.293874662332016,31.047839014672554)","(20.140272353059796,33.30809438859477)","(25.359329558272478,36.36966905340774)","(32.020733086857774,39.29036681217126)","(38.83512420500878,42.56848045820621)","(44.54395104919418,46.37554608487126)","(49.63953119857305,49.6881273282586)","(55.48885222657955,52.8968513372488)","(61.62128175729772,56.038532201246284)","(67.97917586043079,59.127203070624425)","(74.6180035487755,62.05913441329184)",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,"(80.1190434856623,49.504645764285506)","(73.49378340395427,48.44073804600332)","(67.31913725776121,48.045505946735254)","(60.519213385193424,47.72191515910616)","(53.35116098264274,47.43287151397175)","(46.63564763928194,47.85707909243542)","(39.93855298905017,49.200203411596526)","(32.82579673879976,50.211093014666076)","(25.54221336499236,49.787503038729696)","(18.172558484623597,48.64277814762307)","(10.711297451103468,47.086489263497796)","(3.416452781082584,45.067823961893474)",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,"(4.816302514846699,4.7015415990878004)","(11.127581253614732,9.31846667937616)","(18.00324375080159,12.25188074457751)","(25.443905218159486,15.066685375008912)","(32.13121518552208,19.056898941676312)","(38.228287801293774,23.476194051258716)","(43.98084996792886,27.54178431327322)","(50.69016891923142,30.60308055080462)","(57.53769179843657,34.393398448493194)","(63.58543859200508,37.98637027861671)","(69.45027562290431,39.92560828749889)","(75.37140032408055,40.696228917661095)",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,"(2.059459082906598,14.02282852201642)","(8.668365291934446,14.693776038851919)","(14.149676807393504,15.290773472393981)","(18.745073018022765,17.416753618697747)","(24.161728685921226,19.781818477391987)","(30.482265558405707,21.848951386340282)","(37.233888148541496,23.454852862968004)","(44.02816829403555,24.542779465875427)","(50.47318732387568,25.510564745005986)","(57.270773986284205,25.411566660716293)","(65.02951716779074,25.527887372254895)","(72.1964702995027,26.18830714850609)",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,"(76.41931082264281,28.522594686106835)","(69.92391417751476,25.65191615240507)","(64.05617283829145,22.602782072171955)","(57.73061292198768,19.62484566762362)","(51.589426141097626,16.873967477449007)","(44.57390584582381,14.72263845596306)","(37.7154679576084,12.410954689670366)","(30.76492716727701,10.038849592826637)","(23.559205445397104,8.248583380185934)","(16.950372869197192,6.3348349700086715)","(9.888056656344148,4.801629656070673)","(2.573453552520331,4.5522893984090365)",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,"(1.1855697251890043,46.93565116299745)","(8.432558886760082,46.339574577355556)","(15.668728566362404,45.5333699961706)","(22.787751583516478,44.346491703811125)","(29.96344318274748,43.31362607048838)","(37.0772389513989,43.63370466700883)","(43.910171993545326,45.17947003564941)","(51.0030494220582,46.40707728152791)","(57.970083904430076,47.718275926341896)","(64.44474793311876,48.784131427247495)","(70.85286931306088,50.22005840647474)","(77.2919927886172,50.89974675154309)",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,"(74.1000875794799,34.63055867616681)","(66.57980977976554,37.02683580936883)","(59.296871779919236,38.9614868060457)","(52.52357852330321,40.362034264139226)","(46.61628890359484,40.786448835359614)","(40.72932928701751,40.78396079954625)","(34.94377340476275,40.7719043062167)","(29.047259437668018,42.35023007303784)","(23.265720019309526,45.05306140646933)","(18.649977453500583,47.75611548626979)","(13.439303046220283,51.325077239841264)","(7.844164106369615,54.23603116189624)",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,"(0.8009882215561605,8.956095375201748)","(7.770602056688611,10.529022577276875)","(14.695077007040165,11.435245279350305)","(21.303217604278775,12.765284823497279)","(27.91097205209429,14.670104194938835)","(33.93698925738739,16.566304361607898)","(40.17320862050262,18.811251794096993)","(46.02132405697169,20.756231278881966)","(51.759377485866544,21.680730095696074)","(57.36553374635708,22.307791311725538)","(63.8244119430286,22.089200859321885)","(70.59021531201174,22.285447267811964)","(77.13159502096903,24.626769955881123)",,,,,,,,,,,,,,
