,"(79.60091549608575,17.1917045696457)","(72.23731284568213,18.615557092582304)","(64.87229198162787,20.039873804541397)","(57.506216947515696,21.46421958781705)","(50.14086328103298,22.888217233011126)","(42.776420300092255,24.312082776988646)","(35.43687455950378,25.653778017051554)","(28.103065750146072,26.72881680532543)","(20.80289756447972,28.14088072784343)","(13.558732671681659,30.226622191801976)","(6.2051242742724675,31.95518702576695)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"(74.89713861279496,57.84753326423988)","(67.6317956415876,55.98471828765885)","(60.36640216834116,54.12290709840016)","(53.10096597185476,52.261648143614565)","(45.835499928806065,50.40065014778416)","(38.570013552436194,48.53978440647194)","(31.304525064627956,46.67900796890063)","(24.338023302795403,45.3264660859202)","(17.725883783628326,44.420259206732915)","(11.468778346621654,45.57507464042422)","(5.713628051744872,47.445125755482174)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"(3.8985504730656677,15.12059440579755)","(11.044196026473237,18.965277370756763)","(18.217878062963177,22.843981695545278)","(24.89134982795377,26.801317473599436)","(31.465437146394024,30.586460567317076)","(39.242204270445754,33.25663313192869)","(46.942810183569186,36.4621573792162)","(54.17113819118745,40.330176484022104)","(60.530616831758124,44.68117125043221)","(66.44574854919318,49.39626622713578)","(72.14524157435123,54.30259302931834)","(77.72157051930435,59.32709843774518)",,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"(0.6319596939637786,44.675025124676466)","(7.653734067684477,42.0397481668097)","(14.675508441405107,39.40447120894305)","(21.697233891112035,36.76940229775943)","(28.590154051095148,34.396789751467416)","(34.21350920246394,33.349612939055966)","(38.646977256710464,31.947725368477595)","(43.83423333589324,29.10432413599924)","(50.12118961451396,26.265662191640892)","(56.010388154321234,23.10872353702553)","(62.44369248502575,19.97820729705802)","(69.3623113692002,17.499718026845812)","(76.50436493891615,15.429063768516613)",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,"(74.56859559230475,18.418829100787924)","(68.01920032694399,22.007171636261482)","(61.45875931855969,25.599008760658673)","(54.88555343028659,29.191333234417304)","(48.30573718261541,32.78278196352089)","(42.326769906570256,36.27137460128616)","(36.90506823527837,40.3732003115193)","(32.012905307407976,44.899149968833015)","(26.37105633589084,48.46956332085841)","(20.586769941844814,52.40860223704617)","(14.837974219037157,56.8655769783776)","(8.906237619339118,60.63609436250882)","(2.7588680947825512,63.921236889422694)",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"(4.800704080057804,46.57244247719159)","(11.563885096679194,48.66195868921446)","(18.505272767728094,49.4328121212698)","(25.732454842441086,48.43119483876392)","(33.138404933593215,47.937771899136976)","(40.54300407014489,48.09285964345342)","(47.82555875106003,49.1826744889978)","(55.288103766419596,50.80072335856158)","(62.747687030211324,51.30225717539865)","(70.0560224492063,50.416037921938454)","(77.15172699532133,48.943754708737885)",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"(5.862324452148632,43.47469462393596)","(14.042892120058951,41.63087401666478)","(21.909377097122128,40.81096466455789)","(29.370348824314313,40.31703233524239)","(36.11311036311353,40.4745278052243)","(42.051701847039034,41.644637840349986)","(48.007919799985686,43.30193881026128)","(54.65506107332301,44.30724171125477)","(61.73496986526292,43.957241046564505)","(69.07544457798912,43.59337872578457)","(76.4482309506379,43.00812201920798)",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"(77.93271614077311,55.46444152701329)","(70.79949759400252,53.147690517332194)","(63.66627844695102,50.83096043896907)","(56.53305881779558,48.51423918641644)","(49.39585849812927,46.23100202170811)","(42.42118235082005,44.15912317415475)","(35.63576870749614,42.59611733961049)","(28.6242375553607,40.504029800275426)","(21.610856931681937,38.0046070055695)","(14.577967618321445,35.36711646509286)","(7.525983563830928,32.80223081411303)",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,"(5.158195434288962,7.870053480052974)","(12.63832107496457,8.488997922164472)","(20.12984091118609,9.1010416818156)","(27.622977506953234,9.701055404322092)","(35.11069269720569,9.900925292158853)","(42.585800357415486,9.425811355018078)","(50.049130848196384,8.647985047910135)","(57.50269879487705,7.740191572347697)","(64.94897281051183,6.789053158351967)","(72.36239287564138,5.861084585465503)",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,"(1.9381313301855319,23.13584741323629)","(9.392485020176762,22.309627696493195)","(16.8474591232564,21.484045635794878)","(24.2636219787631,20.541340792045126)","(31.68685103981879,19.53810285258984)","(39.12934481078343,18.689093725759374)","(46.57881707104202,17.91366008936698)","(54.031508245669585,17.165981117323426)","(61.485427709127165,16.419481402326536)","(68.94001211575913,15.662132665578552)","(76.39416693502133,15.036540752416814)",,,,,,,,,,,,,,,,,,,,,,,,
