,,,"(5.217772176352369,19.30609644906555)","(9.849783582952657,22.839389927613336)","(15.564973553464391,26.204631665182475)","(21.8923364257282,29.46067138204477)","(28.074138338435503,32.49482723509861)","(32.65208934713138,35.49863893983649)","(37.39097399389002,37.83483949579541)","(42.324752338923595,38.25568875221601)","(47.07920023212729,37.12107503588054)","(52.10142566956587,36.17259221346015)","(57.52250566107789,37.36775821331506)","(62.71131325937884,40.39893745302187)","(68.18428956272454,44.357960665717954)","(73.4037007813696,49.17931504627249)",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,"(4.312737885078675,7.037476744819409)","(12.005427069796097,6.436119036770201)","(19.383202412851173,7.040311922675163)","(26.567916651991194,8.439563822961425)","(33.638695059798856,9.829334683301473)","(40.78493678551708,9.538237531981409)","(47.97245821046577,8.365257926635229)","(55.178391234602984,6.820992189163451)","(62.39414828783285,5.199913639560426)","(69.53816837477211,4.011840665846686)","(76.40138974714156,3.689856592933422)",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,"(78.9258062828556,19.16807421955253)","(71.73142917012741,23.23835795165313)","(64.14022808342443,27.601468787526503)","(57.231385108399905,31.61828095013596)","(50.61229739153794,35.4683815310035)","(44.757201539693895,39.240189465207884)","(38.60838508844208,43.27818577583358)","(32.2107433460898,47.07507239898664)","(26.30714297232248,51.36253712431813)","(20.041420362336094,55.256794391360714)","(14.354626745563625,59.07621977231522)","(7.923151183546881,62.49169970324228)",,,,,,,,,,,,,,,,,,,,,,,
,,,,,"(3.8496375821321784,56.60799123246185)","(10.827623075661013,54.09738703961522)","(17.550038746758677,53.310775605057955)","(23.734375278801195,54.503386833108024)","(29.777496857164692,54.710170767560655)","(35.91412493788237,53.05933336190889)","(41.279070576358464,50.94656678983658)","(46.32681204193619,48.138924576391275)","(52.09620407446675,44.677589288772204)","(57.79109097021145,41.255261689447956)","(62.0393680883664,37.89701640772612)","(67.34544712797539,34.18656232074264)","(73.4786662580083,30.631868299617004)",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,"(6.097501675932127,47.84175985786641)","(12.515776966688216,43.96358449645164)","(18.605550456186887,39.833305782861615)","(24.64191676378566,35.22128934959981)","(31.122445193252496,31.36134475706417)","(38.71822955029013,28.19217442901742)","(45.537223364237036,24.178809952648997)","(52.07163855593235,20.130093891251633)","(58.51289388669764,16.18993558903517)","(64.92298886176546,12.295194588267819)","(70.55941161739133,8.330163331484675)","(76.43239088126182,4.568326250209276)",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,"(75.73037642590519,20.579690888675344)","(70.58298920763959,21.75439664334779)","(64.44778665273648,23.47681644302191)","(57.70280512321753,25.617254832950913)","(51.51212278178641,28.25287601261552)","(44.89500964819187,30.884712571598513)","(38.68358038003504,33.71102710433379)","(33.12686941197914,35.71537099534729)","(26.45069091548158,37.117399236604705)","(19.438393390043657,38.97126470126526)","(12.341252253878759,41.09297571624742)","(5.227971006543007,43.358752765337925)",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,"(3.3816479570332154,11.190644893168136)","(9.282775816718754,16.697988024715528)","(15.274558215598187,21.413944150202084)","(21.299788440271943,25.20413258658499)","(27.314126074665523,28.641283431201245)","(31.802404740072895,31.451912737890364)","(36.325708559338416,35.15951072016486)","(40.497672916517544,39.965504297594855)","(46.00497098999084,44.52186098386871)","(52.12381198210846,48.65773934706376)","(58.46548877169134,52.58694574810321)","(64.90037032653746,56.411276732296145)","(71.37724932023849,60.180176803721125)","(77.86428751239268,63.80667663024194)",,,,,,,,,,,,,,,,,,,,
,,,,,,,,"(0.7560610375918404,6.485899571081822)","(7.055458981502712,10.562107583657557)","(13.355291583224583,14.633792075976238)","(19.655748595289914,18.702886396364256)","(25.955887240606312,22.770113058067032)","(32.24823145024015,26.824121915406167)","(38.4735580806706,30.328198105574373)","(44.80947364142206,33.73772222719158)","(51.0354684914163,37.71198440811042)","(57.60823522596603,41.61686647412651)","(64.13780932451395,45.70717713445163)","(70.39988021110013,50.04075452728384)","(76.01646330693075,54.06955676556362)",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,"(6.20923978738004,50.931150693616786)","(13.181678587751122,49.43974048583141)","(20.07602353550512,47.52439936158684)","(26.54577367580697,44.755448558284186)","(32.674743259101824,42.27915784342488)","(39.086720966892315,41.40721603253375)","(45.67003265274768,41.92316093718997)","(51.60829638292702,43.73179074629018)","(56.86735757828298,45.848047469482694)","(62.80671712767493,47.346653732399105)","(69.26290589752884,48.2185988058028)","(75.91294342035516,48.182932703422416)",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,"(78.11682232240753,40.010504308345524)","(71.08468336478745,37.403014601123125)","(64.0592008404942,34.793012995774795)","(57.549913575816745,31.578478971940804)","(50.77632775325127,28.584754824518143)","(43.879865986527435,25.815670756459603)","(36.85511790264157,23.265567268195028)","(29.770558934604495,20.836139686524817)","(22.660523768218113,18.461729065731056)","(15.539068222045264,16.11391273787081)","(8.570901699659508,14.393534493691305)",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,"(3.2267829094442417,64.52014472166078)","(9.539213672010918,60.329084930854904)","(15.916638087242918,56.569833375751564)","(21.80268708424746,52.90809407932116)","(28.456620115539152,50.056709829459116)","(35.21308076926445,47.09116611278116)","(41.96690650596939,43.936158658287624)","(48.715121907076906,40.70221218585641)","(55.466306525111136,37.611945547376195)","(62.2752476871249,34.644724438508376)","(68.75979035760056,31.617776209636546)","(75.21775049440069,28.998131105427817)",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,"(75.00545853878403,23.442066346219654)","(67.50998609577101,23.64393431596534)","(60.01207167992939,23.850919046118296)","(52.547144133278934,24.730540869478013)","(45.05657313420556,26.261002041881216)","(37.51848548929077,27.28524786307529)","(29.89704570590147,28.01615742342664)","(22.543267562478,28.70458601109942)","(15.15169736340145,29.229271298074963)","(7.705113902747013,28.30895350709813)",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,"(77.74293349066022,6.546424961616399)","(71.47569807194968,9.838825654340596)","(65.76531845521924,13.382637634841343)","(59.41085634065219,16.67814592801551)","(52.537106434131566,18.575498912517617)","(45.52764690871557,19.35336094885864)","(38.58278222273354,20.556475364615146)","(31.843743840390374,21.880690450477207)","(25.705188728165304,23.3003905302936)","(20.046124939174682,24.704342256904948)","(14.881309815738717,26.732090238677134)","(9.69378126486328,30.005201072030665)","(4.31306430602267,34.2326866627445)",,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,"(79.15995690478225,28.409868108645338)","(72.3330651993019,29.154339206262296)","(65.03705025875776,30.075613589533454)","(57.67876525130716,31.208106310038616)","(50.294687736807674,32.278305043974854)","(42.85740124540354,33.27665100312324)","(35.45766675991465,34.49695223789188)","(28.095648366592656,35.87923658583911)","(20.737304001872413,37.34863170314806)","(13.359175012967361,38.67524225344431)","(6.107130143263518,40.04274643534306)",,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,"(76.21207094681895,53.163689267560926)","(69.66133828481941,51.4154501596493)","(62.736847080006726,50.39555539387809)","(55.6432830617652,48.588724974922854)","(48.55363937605784,46.372089744452225)","(41.472130046366935,43.9861604531047)","(34.421255423019204,41.510027848753694)","(27.720380606062584,38.268620738505604)","(20.88333276263993,35.113280294818466)","(13.795314052097114,32.700648103223195)","(6.578235478246718,30.70643328513091)",,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,"(0.4406800009575141,11.705463155216458)","(7.549900376302854,13.147460655479062)","(14.416720893977448,13.958989052902185)","(21.433708021552576,15.144414716049736)","(28.43098849516292,16.44494615009698)","(35.5234646436664,17.866282453255177)","(42.72593976045564,19.41570382476607)","(49.97541199112157,20.92326999012602)","(56.59254418157456,22.29050087558153)","(63.78860912624424,23.421446390432735)","(71.02260980757801,25.123613374935584)","(78.18964093844869,27.302454396532738)",,,,,,,,,
,,,,,,,,,,,,,,,,,,,"(3.0492382644967004,3.5402877770318715)","(9.410094194948517,8.228026123828645)","(15.807821689612947,11.932218994434297)","(22.368814353884538,15.42641985190157)","(28.65712389935507,18.80403192674993)","(35.12663741575765,21.68349380122436)","(41.72397793575193,25.01637343847799)","(48.64408740389112,27.49319477198725)","(55.211163426380416,29.904609279578555)","(61.21560442649439,33.32244983158688)","(67.08607466936908,37.85059043787042)","(72.44588369147667,43.065495985026374)","(78.10768548997456,48.62642161545835)",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,"(0.2999933432220796,46.23951061575024)","(7.843742016460052,46.271253236138435)","(15.631155775946503,46.22367877613528)","(23.300083770578674,46.23283144504338)","(30.842440754906125,46.30662618719896)","(38.092465125652566,47.0688528613)","(45.27941019131621,47.79451591501592)","(52.59003659858537,48.612155913170895)","(60.012450516093274,48.60208011679934)","(67.45505725012927,48.1942178490577)","(73.964155266091,48.24907162935517)",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,"(1.7968944630433823,26.907684043416296)","(9.283954723756413,27.34805735386347)","(16.771013576034697,27.78843158691624)","(23.85107578955275,28.17047098504024)","(30.971833058835788,28.519437612283443)","(38.028989879130044,29.354176837033354)","(43.71490921353062,31.673427295706983)","(48.963859967299925,34.58124807571997)","(55.07887705520096,35.844518716358834)","(60.46682936674305,35.91388576410602)","(66.06578620057049,34.84997026927483)","(72.16144696986136,32.82506552533411)",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,"(74.99656133655358,29.441136911022745)","(67.69248099354085,28.9818965726314)","(60.31762062812028,27.834988443787097)","(52.83170546200214,27.37647070476858)","(45.81819506443707,27.36777981582062)","(38.640811242134674,27.100627141446058)","(31.265661772515383,27.032966985937673)","(24.2292720723035,28.34547497572558)","(16.976598886798197,29.580445333671772)","(9.655420126134654,29.470005554250292)","(2.5602316897810544,28.098680635197585)",,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,"(78.66947535942542,35.94197578441618)","(71.46286155236687,37.64289359953728)","(64.26277489379603,39.51690680362545)","(56.933304041062385,41.047196019809824)","(49.56005057568299,42.389222938167244)","(42.38198663292521,43.30605906643619)","(35.90171009575323,43.45483699961677)","(29.0512048762983,44.71304763200394)","(22.988721758648154,46.53482550030116)","(16.420420286380313,49.09928153827222)","(9.769065170355413,51.72973101284397)","(2.9183730361801254,54.25037614602545)",,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,"(2.474799593757666,12.953632152750584)","(9.975585994393267,13.051280544023282)","(17.497044627749347,13.165157176818909)","(25.04099706866343,13.278853827484614)","(32.565740320942254,13.37758357553614)","(40.07495668034851,13.470034699148092)","(47.5761188051296,13.549402051953109)","(55.077365662909905,13.609665110492099)","(62.52110040702759,13.595594095515313)","(69.80653623662141,13.062838561404737)","(77.18914199155917,13.105811873317908)",,,,,,,
,,,,,,,,,,,,,,,,,,,,,,"(2.5273470201879533,48.164366328658105)","(8.3299236475414,47.433051151601205)","(14.392625424579952,46.51462635210941)","(21.189748044696636,45.372915827872205)","(28.217764475402856,44.369259044187565)","(35.31302636210759,43.79665183933008)","(41.826738624111556,42.843538562213226)","(48.90833970860507,41.595022786563746)","(56.154293614129344,40.16619342120607)","(63.35101817407158,38.664271472399236)","(69.88009592976654,36.70923169510433)","(76.46783847505012,35.23840628721706)",,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,"(78.63730921295894,38.37513083285011)","(72.00528677576544,35.641719581634106)","(64.78508646785517,32.97960707414839)","(57.7096449356009,30.132014627608168)","(51.27658579233814,27.267405475847543)","(44.61001912564786,24.65658962140339)","(37.68849242133588,21.918084507437044)","(31.641411204073894,18.084889682420446)","(25.652923483100835,14.775551683279078)","(18.97001009049763,11.985064975237353)","(12.027041259759525,9.420005842290047)","(4.967949583659077,7.0062802100665)",,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,"(78.77297032308971,13.618090832534744)","(71.58900358738795,15.77230768219051)","(64.40503674018049,17.926520496905212)","(57.225007166658095,20.077768764737822)","(50.67850154027865,21.919317440844097)","(44.360736686591835,23.146546131148856)","(38.64473896753601,24.553780329150076)","(33.75387451687872,25.77825916470338)","(27.766315943819095,27.884413084086667)","(21.69468557516052,30.531558700173495)","(15.847557281527902,33.25653676453047)","(9.250467978471901,35.38821647917605)",,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,"(1.1980212014506277,15.928453049814397)","(8.681851355175162,15.494878562275723)","(16.15291451658432,15.03393542701938)","(23.61906412202962,14.562073598239756)","(31.011127147567898,13.98920459412169)","(38.39424157244117,12.558132721063927)","(45.77353217619171,10.947482102517295)","(53.24873200167094,10.327450652931683)","(60.73584850061354,10.286542125759642)","(68.22475226521581,10.533524251006934)","(75.71363927107525,10.94107116999336)",,,,
,,,,,,,,,,,,,,,,,,,,,,,,"(4.4493752868300716,6.757068786449655)","(10.521614400483696,10.769258119583291)","(16.294744952931207,14.6856239847605)","(22.286003872984587,18.710155995976265)","(28.43528396296093,22.73479831455623)","(34.424947276376614,25.836035740247567)","(39.893795548450754,30.090879793022694)","(45.635830354511626,34.80418045660608)","(51.82038961866241,39.011083557946726)","(57.56477271459965,43.02431516783879)","(63.513899256988495,46.94852936000289)","(69.2416226640344,50.9875844262413)","(74.9655566067715,55.333392626896824)",,,,
,,,,,,,,,,,,,,,,,,,,,,,,"(77.05497923110033,36.892714443800244)","(72.3215700495881,34.39846284290187)","(66.88913619415328,31.713731911070283)","(60.636869634445745,28.848258767086694)","(54.906956967746154,25.624544419910865)","(49.81944828260876,23.272893034739432)","(45.874714954594,20.843042113508716)","(40.5120461788745,18.023308659176497)","(34.86624217743268,15.562877234900313)","(28.337356990417305,13.11924487416832)","(21.48687441577694,10.578643876562321)","(14.517847820395254,8.006533609653465)","(7.505550831174805,5.466056891235411)",,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,"(6.031653945228253,25.581680115649025)","(12.660198214736848,23.98218907815039)","(19.812830103381277,23.51100503609093)","(26.75994366951292,23.454830485141443)","(33.22424777107905,23.226484136283357)","(38.72810277570957,23.218863398220616)","(44.973017265957054,23.246548423124324)","(51.5850531417538,22.354430037045695)","(57.43827789739778,20.95296934734312)","(64.27936315108676,19.816252625658702)","(71.03893009359949,18.559913223077167)","(77.75626469770017,17.264767088120678)",,,
,,,,,,,,,,,,,,,,,,,,,,,,,,"(4.82074808570979,56.27079498016472)","(11.51636949651732,52.891302934662825)","(18.21677748353244,49.51705630687323)","(24.96697865596355,46.2283309919858)","(31.197776864281252,43.27567037830664)","(38.27774142955204,41.64751164740661)","(45.528150459775986,41.1657750427935)","(51.41319878032456,41.364666101724374)","(55.866957826884594,41.18190971164115)","(61.17059359482714,40.801089675620375)","(67.06837005614923,41.01965292018357)","(73.80667334735277,40.73865507154186)",,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,"(4.920088300831062,44.06650448067002)","(12.193579191571025,44.205054242015876)","(19.225454718982977,43.526287289567954)","(24.724600762583712,41.754680700838406)","(30.313244155996813,39.703645198317545)","(36.86668936947239,38.57991594579114)","(43.92917340129581,37.90374395362344)","(50.81595240269765,37.43364050604315)","(56.66306605862538,35.82704792946953)","(61.93322983523239,33.42321027713788)","(68.1414861779214,32.65571754636013)","(74.90994077420498,33.71988187793776)",,
