,"(6.253336260453521,36.69716246544101)","(14.957794919534244,36.621729381211715)","(23.146950527615676,36.05379814422288)","(30.85113739392817,35.11256018085221)","(38.36656430510201,34.00890283003348)","(45.80983823872498,32.83395837364697)","(52.84762339403302,31.51500472578303)","(58.87786787589591,28.990839019061426)","(65.58991688891743,26.93067166306183)","(72.76218690710307,26.201513059958742)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"(76.95861316963763,7.654133416685159)","(69.74166570079659,9.715369694219424)","(62.52433264323331,11.76420131547352)","(55.30667199159967,13.806179348329604)","(48.088801713313096,15.845203809348089)","(40.87081181896543,17.882985022291255)","(33.652756967561,19.92023576295811)","(26.465191041853394,21.93578174453783)","(19.579980427763616,23.098281469514134)","(12.510203314216879,24.802896810243233)","(5.46948545869132,27.095081103351163)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"(3.0323943536509983,34.31340274496419)","(8.77527743811248,34.356223719082244)","(14.254143473631185,34.59951794346067)","(20.819630858942148,35.53990221322144)","(27.8697366866307,36.78226768676819)","(35.111690037762166,38.14504452757875)","(42.43562089294011,39.55071432425355)","(49.48618979652601,41.37318648608514)","(56.79685076464505,43.654965318768085)","(64.22019547118195,45.154807551569604)","(71.67365874505629,46.24586259706795)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,"(5.800291068544048,48.401652511448816)","(13.142776625175161,46.87026767319043)","(20.487043603586734,45.336788101708365)","(27.83847740658038,43.85530798309087)","(35.21501671123617,43.05855111287468)","(42.379223203495954,42.76622129005756)","(49.0121079318601,43.42118366039389)","(55.963550525718226,43.76729398643118)","(63.08660414234298,43.56283486737337)","(70.36215049916501,43.14979626059382)","(77.74964985889453,42.57769894479961)",,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,"(78.48369583377067,44.150585867929465)","(71.08280122682986,45.36580560809643)","(63.68190661988905,46.581025348263395)","(56.28101201294824,47.796245088430354)","(48.88013054189541,49.01148058918796)","(41.49425526429284,50.26650906080402)","(34.10945276130373,51.58404094536398)","(26.703092839251646,52.76007569556803)","(19.31843895280647,54.058974223853646)","(11.952501073092133,55.46446744965404)","(4.598260405582194,56.93283490728806)",,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,"(1.268390851138702,58.788325437410265)","(7.942258929617976,55.37339126306779)","(14.604878777605958,51.97309919348362)","(21.214841434095014,48.6187165974696)","(27.68080285230553,45.33202505034118)","(34.0112419975422,42.02486027825037)","(40.06849565276384,38.59967361071544)","(45.523778901309726,34.92263610820654)","(51.727715973807605,31.79292709478343)","(58.43071013445163,29.132287874445385)","(65.1911117803823,26.096959961411596)","(71.60694006492201,22.67853899799169)","(78.13140126608391,19.736620758211952)",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"(75.53975479306328,33.09125580045009)","(68.06587277744663,32.546062075626324)","(60.639285857899566,32.00054006761329)","(53.93786141869887,31.834275668474685)","(46.81274700098595,31.846825010266443)","(39.680589490228655,30.91803601065534)","(32.70970291623803,29.186112707494118)","(25.32514784877123,27.708159788516937)","(17.978810635107816,27.507431891099287)","(10.493156303731737,27.800524655681343)","(3.000153350427413,27.78215236235218)",,,,,,,,,,,,,,,,,,,,,,,,,
,,,"(78.4849102270135,20.47320297398665)","(71.86625292937345,24.000719887672307)","(65.24754529720683,27.528202927776316)","(58.62809340380376,31.055422578557625)","(52.37956360142397,34.69729511865737)","(46.707166267867265,38.643207465312955)","(41.19093257402055,40.90361466841322)","(36.36232397881994,44.036235123148224)","(30.741182697783277,47.641705309441285)","(24.39167965958758,51.00742740652946)","(17.752483458882352,54.235890270922695)","(11.005969073210604,57.381619357275426)","(4.959137816053208,60.90648692287394)",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"(0.8052965907340661,21.03888412951369)","(8.126174689567433,22.668222603240004)","(15.44705278840085,24.2975610769659)","(22.739974005671847,25.94678979629734)","(29.74741313393048,28.37837813997489)","(36.8963793669051,30.337691604003943)","(43.81714037372881,31.5795150547542)","(52.074577529050885,32.22486073510977)","(59.917137721407826,33.39125818131139)","(67.19291868800971,33.872595463003364)","(74.43540150025696,35.513803518360774)",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,"(74.19827466574641,52.31843614898174)","(66.72385122135226,52.93730137973536)","(59.249491118896565,53.556314901354426)","(51.775518973642306,54.18362639090056)","(44.30098192235735,54.80811937106816)","(36.826396470890984,55.427511448317546)","(29.35208134879241,56.04470393753544)","(21.8799447251407,56.66086014984011)","(14.458762378209498,57.29814779232421)","(7.433263701334694,58.53268172474167)",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,"(4.547454619021684,46.52414893076959)","(11.652493428535998,44.123258969917316)","(18.7465628766796,41.716726471430675)","(25.66730032533267,39.24601945418823)","(31.43673337992064,36.60101019528229)","(35.762399366024916,34.56052566054014)","(40.638896493512206,33.36758230676426)","(45.65724189374819,32.90050943204947)","(51.40526683370532,32.5351549647428)","(57.586323047960796,30.584250193403022)","(63.44379871361749,27.51872891563085)","(70.01154704254171,24.637461460685472)","(76.90549865557738,22.012616395540356)",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,"(74.85137976584548,60.011117747265565)","(67.53136186851059,58.358158197293946)","(60.210954344922946,56.71784996601825)","(52.89024909530555,55.0842296030807)","(45.56938944645489,53.45350202497232)","(38.24843427354787,51.824023928845186)","(30.927397827821743,50.19510854812556)","(23.60702039252879,48.567061941692735)","(16.99740112569984,47.401596949085075)","(10.069964896510415,47.58859460067818)","(2.430115142628291,49.31573939024281)",,,,,,,,,,,,,,,,,,,,,
,,,,"(3.9635229598603288,63.5570985915722)","(9.84629048772343,58.41699411985017)","(15.5991176078333,53.86747455035051)","(21.18681338065076,49.59034611901291)","(26.712598985075434,45.3451253691085)","(32.320435582661446,41.03625335901984)","(37.49882311413606,36.37344475727873)","(42.373900690103206,32.352787325809096)","(45.80401199350789,29.2306625873865)","(48.274317197647065,26.80315108065662)","(51.35074420192873,24.98850430830028)","(55.387067144332136,23.31333513354504)","(60.4503635569783,20.036437452248236)","(66.03943139843227,15.926185482556384)","(71.79472707651611,11.437380292096966)","(77.5994067356927,6.808389933832341)",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,"(74.70698474112241,12.9609784638665)","(68.1517900660582,16.60508130200592)","(61.592792972976376,20.230811808523924)","(55.03437666965642,23.862648830175782)","(48.48932287956849,26.70660496717534)","(42.2051761865194,27.91255545776302)","(35.37082809006676,29.81549917525101)","(29.16905896033082,33.507935087015106)","(23.178250699020367,36.77905800241996)","(16.986887378167317,40.31562592341382)","(11.119526082398314,43.6477291808457)","(5.928768910813109,46.005381562136805)",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,"(75.09455156813709,31.789216014822486)","(68.13425511699799,34.556883013383384)","(61.038687459719526,36.92450112486594)","(54.08032311907762,39.60690565062525)","(47.02742841235473,42.216083439518286)","(39.906042050177945,44.50064237612402)","(32.93390264162869,47.14448225898561)","(25.82172374964315,49.28777100576379)","(18.712908502099545,51.2585127179704)","(11.512860194806372,53.01446133054587)","(4.281773453866454,54.6647456871233)",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,"(5.108083965250559,43.31025082259765)","(13.83224275991256,41.6535159797654)","(22.15635459057159,40.46465736842016)","(29.95308794029912,39.69438625391821)","(37.51615413642515,39.095256234211895)","(44.57998199709915,37.7808107858752)","(51.03188495252844,36.06019042426031)","(57.750580077768056,34.6752025203232)","(65.72911372381144,34.45566115939065)","(73.28275239258565,33.17650371729149)",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,"(75.523425289109,12.916099104782312)","(68.59105050594712,15.778354829227474)","(61.65869398979838,18.640523691018306)","(54.720573521658636,21.476366411416166)","(48.20316289436413,23.58384808818328)","(41.227324252290586,25.298505066841784)","(34.84444476123168,26.751179730791105)","(28.13184733207242,28.886649109712845)","(21.479901113540016,31.89552185977351)","(15.008096672303115,35.200588726014665)","(8.70084640032147,39.15289273369627)",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,"(78.48386704435626,29.12052115495129)","(71.4362257084413,31.40646916983785)","(64.42093501563649,33.68248955519672)","(58.11308994155898,36.55098059358351)","(51.466796214709724,39.55825787638818)","(44.72449282520785,42.149269136425495)","(37.96778254361509,44.90631870497748)","(30.420196074191757,46.488069377824814)","(22.78300817295697,47.90742589992448)","(15.312698295904973,49.418767093159985)","(7.922433309779224,50.83962215705344)",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,"(2.472073170349581,45.55226463375025)","(7.929900994795586,43.92694062072007)","(12.92290113039926,42.228421555310206)","(19.05275650867454,39.81026765690539)","(25.65078599978377,37.121729864901226)","(32.17050471969229,35.21528843061132)","(39.08207710880238,32.945743666335716)","(45.93110641728443,30.178758131244678)","(52.66378891143742,27.131057507409075)","(59.29275189198296,23.88406431115852)","(65.96171782029012,20.661138797180012)","(72.29906611055912,16.752236282653897)","(78.28397365963372,12.807895248981765)",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,"(76.51672404984845,18.85378023348216)","(69.21975254556557,17.15393627349473)","(61.88628612323278,15.206578395186195)","(54.52046723806045,13.617167437683966)","(47.11973017801819,12.250949079006396)","(39.70340836857447,11.081675538557288)","(32.274099517095564,10.041857121755806)","(24.886130808981353,8.785680620658887)","(17.54247874824643,7.293594991367152)","(10.224381349083504,5.725017866420212)","(2.9395495197085024,4.366153611786452)",,,,,,,,,,,,,,,,,
