,"(0.670725568325941,56.938692246420494)","(8.123232406722154,56.09585453373133)","(15.575743356823564,55.253045307796064)","(23.028263440216698,54.41038193666061)","(30.482403899385375,53.942528521269146)","(37.9345274666627,54.294859867439214)","(45.35570127178243,55.01030544151477)","(52.2897578682652,55.20151469548925)","(59.457669460100995,56.029291331464385)","(66.66200382476515,57.40787383344667)","(73.99450407149827,58.66018770644723)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"(80.63008325103652,1.8837406017968688)","(73.23100063565263,4.304287609279644)","(65.81960460641416,6.918504836798104)","(58.38992372126353,8.541196624654127)","(50.9470646109937,9.68748524457457)","(43.496459750046625,10.628215335407722)","(36.041629224867016,11.479811981103305)","(28.58455278181831,12.29187141522863)","(21.126243593757593,13.085586416572887)","(13.667608767912714,13.87017850021481)","(6.828177640515468,14.453330614327642)",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"(80.72132101781031,28.34318602232965)","(73.7543579878082,31.120214622167893)","(66.7874194493291,33.89790533053112)","(59.82041119486968,36.68037718928765)","(52.851226805903636,39.48411718790817)","(45.872167700228715,42.31294952825473)","(38.68022654650829,44.99072022185522)","(31.541340783575144,48.00083327538544)","(24.483859252044265,51.45569826558578)","(17.86292817841776,55.4010538082794)","(11.088378365526523,58.72818379828974)","(4.52479112520981,61.46386781770283)",,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,"(2.455762665775643,39.71500225813559)","(10.445566939968923,37.84965568046216)","(19.511435133794222,35.796522210212416)","(27.570334106358224,33.38762755825666)","(35.0683924192978,30.66871993852626)","(42.28490406609182,27.71341645644027)","(49.24309818482821,24.574692327886996)","(56.070557301498496,21.354945335586887)","(62.8443394373463,18.09445422460277)","(69.59492613918594,14.811950390700613)","(76.32632129396683,11.69875741393727)",,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,"(0.8649373195078556,37.24836356851622)","(7.16210097928097,38.19507670343689)","(11.720377025756845,39.29542215914677)","(17.43192105813132,40.99693213119383)","(24.10945704029772,42.11065261792907)","(31.54538501806869,41.2886334919327)","(39.57971592417186,40.405952862828165)","(48.06971878657514,40.55671896544963)","(56.85955167557999,41.036884723967745)","(64.9727297816468,43.02633809075285)","(72.0043582239293,45.33639382725443)","(78.25018034633196,48.62100745740746)",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,"(78.73671294010727,64.91160445673913)","(71.53346529608041,63.96851141149768)","(64.32576379067713,62.48271994763322)","(57.274610009590845,59.97938405104608)","(50.32093074206054,57.31443719061971)","(43.851946776437636,55.29872014234207)","(36.9903651977734,53.220407391699936)","(30.765949593450934,51.76310063675078)","(25.535668297065737,51.32219427359507)","(20.274229522384267,51.96379671777804)","(13.63001327449615,53.22732175086821)","(6.6601642994809005,54.49995804144553)",,,,,,,,,,,,,,,,,,,,,,,,,,
,,"(79.11501132189566,14.988872427031444)","(72.83169556690288,19.083835613448393)","(66.54833008010814,23.177612504132448)","(60.26505066530936,27.262229194468812)","(53.98609008235841,31.301452893118903)","(47.742915490029425,35.16791089360133)","(41.65225057188415,38.64735426937329)","(36.11120265613819,41.86683585599427)","(30.97900825896363,45.32794803893931)","(25.698774746707628,48.752478119457706)","(20.769371453686226,51.651139771289095)","(17.205193903982156,53.93547377764744)","(15.128453964220238,56.87478000449663)","(11.351046732142102,60.40881787981174)","(5.842439703820169,63.78240671802934)",,,,,,,,,,,,,,,,,,,,,,,,
,,,"(4.061971085387258,13.994144057978776)","(10.216533228638687,18.280159812999095)","(16.37311091855663,22.554973321332746)","(22.606822553561354,26.380250051187634)","(29.089748019600336,28.380160564071232)","(34.40497474030527,30.457942147059867)","(40.140363217618436,32.80527058050456)","(46.69363888103152,33.27592516482001)","(53.372981159502466,33.39358227090021)","(59.476279328594465,34.06225422580888)","(64.73640905802095,36.604508450795976)","(68.93715630735204,39.89880280321786)","(72.50853412360821,44.33726634702104)","(75.9714920585681,49.5923812246871)",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,"(75.9372657900621,4.884485087510098)","(68.48654529349768,6.4525893012204225)","(61.025138559406926,7.562401402915046)","(53.55433016878442,8.368741094115114)","(46.07681471984058,9.006396345481551)","(38.594543683748746,9.5434281783204)","(31.10780921498909,9.987099363406935)","(23.61815054378372,10.215749928573842)","(16.487557865698168,10.642781158408026)","(9.13429976700552,11.36639678241545)",,,,,,,,,,,,,,,,,,,,,,,,
,,,"(78.94885053161784,61.85199441468782)","(71.9587378678616,57.75289724998166)","(64.91511886515747,53.880734831223684)","(57.7346503820381,51.21265281312734)","(50.47844910093305,49.132057309440825)","(43.709466604297624,47.48046683843327)","(38.594334376582715,46.71235173160893)","(34.33709122943838,46.71978962267111)","(31.006345752644325,47.21319263261182)","(27.937954522965608,48.16942687299261)","(24.105081696363282,49.06123004836735)","(19.071628185298945,48.34571588800798)","(14.849841342075099,48.09945847557273)","(10.541446544865185,48.61755262153493)","(5.672881057641011,47.1757199108642)",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,"(4.3378768090094315,39.821903058364356)","(11.567671486013388,41.81691406797533)","(18.797465643919832,43.81192507181764)","(25.870829146584178,45.59194345920736)","(32.091965883559034,46.57483987008328)","(38.89684859276241,47.357462484785856)","(45.97811638736172,49.13501442758256)","(52.978582864769336,51.4948116608782)","(59.29794378131311,54.72606393901789)","(65.95495700697599,57.919376973544814)","(72.58402818902097,60.8207851804307)",,,,,,,,,,,,,,,,,,,,,,,
,,,"(0.5841810504869137,27.646756104381577)","(7.885154496473152,29.330560637816557)","(15.103060848179823,30.819942060767268)","(21.197153656835866,31.81031878080072)","(26.34730076546669,34.27712771786633)","(32.35301188084061,36.78277790653959)","(38.75766663529304,37.98726606003267)","(44.638008302634375,38.039242773681735)","(48.98076266679108,37.29690777401033)","(52.864870581984135,36.14503794827001)","(57.56731081257189,36.274801450616934)","(62.32618914689859,38.35077295318895)","(65.49764046025746,41.53512614625578)","(68.4978099305094,45.314262810828545)","(73.07740522070188,47.67530138587083)",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,"(0.8220370802478916,31.045746172367338)","(8.295101419668327,31.680812609037353)","(15.768165759088761,32.315879045707376)","(23.241230098509295,32.95094548237739)","(30.71415198194146,33.5859136778279)","(38.002222877884094,33.699369852276355)","(45.395626813261785,33.44642852513728)","(52.85476142042774,33.96118838540775)","(59.95989721959906,35.114218752316845)","(66.56307193819106,35.46736553909243)","(73.78127497596081,36.19551233014208)",,,,,,,,,,,,,,,,,,,,,,
,,,,"(5.509833049800958,58.58413346287584)","(11.434760419467214,53.975903582004385)","(17.36009296532486,49.37745004149947)","(23.237213941063057,45.53261946744855)","(28.498461299921395,43.699860217484165)","(32.201852832190895,42.888354587948925)","(35.00299163508459,41.632020737118964)","(38.47314965750433,39.08141114575703)","(41.89616128563793,34.82151090081096)","(45.9220892477715,29.38964815512735)","(51.036244031866545,24.31743135420307)","(56.45059710504658,19.186261527380278)","(61.377245531429274,14.0789238420067)","(66.67005982029336,9.006198078454496)","(72.64197725983149,4.693013319846823)",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,"(74.65688278910261,36.15851432304605)","(67.19439195616744,36.90766755734343)","(59.73201257463018,37.65673890107852)","(52.5795641431533,38.1642205669807)","(46.09436612195641,38.91798720961233)","(40.19932326879751,40.5551152541324)","(35.37629912215353,42.620662011495384)","(29.474154020378375,44.27465749973667)","(22.875592578094654,45.06853899341101)","(16.6029001772599,46.44003722787849)","(9.717639295572408,46.378543267510885)","(3.2910960146770316,45.87366461211517)",,,,,,,,,,,,,,,,,,,,,
,,,,,,"(75.69195042301307,60.69020214236771)","(69.3707362970415,56.58703339526479)","(63.04700595557473,52.52997292636838)","(56.892660146672924,48.24533728232758)","(50.76245284771385,43.95542227329156)","(44.79983961301588,40.954459153000904)","(39.19015346981729,39.29346153683247)","(33.70894139296285,38.15203769619152)","(28.81885215696478,36.18761425346447)","(23.9211826950109,35.39493082918456)","(18.747597855327374,33.458446640590154)","(13.606149083313838,29.716141344387186)","(8.731760630907857,24.79529193104339)","(4.226346738898067,19.0961229477388)",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,"(4.572308286450671,58.1194989927794)","(11.398261601985332,55.005690147522955)","(18.219011469836406,51.89367379766087)","(24.12639882349145,48.46415702637502)","(29.239694069660192,44.38946800271744)","(34.51565092824768,40.334068766738625)","(39.50083898086757,37.02147489568854)","(44.93200987550982,34.19071875931441)","(51.128644444506705,31.957532190343137)","(57.490537488467496,30.620238955485576)","(64.27835682074448,28.915751192784004)","(71.27407326089403,26.76068365771325)","(78.30641087429045,24.361288676194906)",,,,,,,,,,,,,,,,,,,,
