,"(6.197297811316783,42.14180516239891)","(13.4882364120725,43.90027447407684)","(20.7791854602241,45.65873984396059)","(28.070220073358513,47.41718922211103)","(35.36128127612322,49.17566050010212)","(42.65228468974536,50.93414477368352)","(49.93634377498346,52.69727623258354)","(56.82360756810118,54.280931099252484)","(63.768078021331505,55.28492288653149)","(70.70687953431803,55.90144709954963)","(77.32761994998752,56.73335368170839)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"(2.051273464049798,51.542571158121646)","(9.12453127233124,49.04908773467895)","(16.197090813914546,46.55548728676773)","(23.26944832245191,44.06145001834452)","(30.34242686863253,41.5674768108003)","(37.41489019934108,39.07374831516874)","(43.621638652142174,36.4428822523376)","(49.52111480878873,32.98640912005706)","(55.834290749564445,30.24944408148093)","(62.14239490590229,28.48538778744406)","(69.11730183049086,26.71322635965847)","(76.28032842105478,24.900206430304358)",,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"(77.47382086431882,57.801186110521)","(71.17706296566938,53.726244603305695)","(64.88026208167615,49.651641508021214)","(58.58335902241457,45.57722278654285)","(52.28111054592312,41.53148919385771)","(45.60898824961388,38.75878129114857)","(37.99277985153646,37.0906968259666)","(30.52409954080842,34.995552805154595)","(23.665533160557505,31.634813486083303)","(17.8056922352072,27.03473413306584)","(12.447149383077694,21.84705189594437)","(7.353378860858424,16.371250109571882)",,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,"(1.8717369535306636,56.85738702486138)","(9.067987486689638,54.757883242309966)","(16.261987023523172,52.66032245581319)","(23.456426938342283,50.55978830626891)","(30.674273602453805,48.54432519799953)","(37.943339350830065,46.72423394186413)","(44.692629092209664,45.45340816854691)","(51.717825592062354,44.63759826849249)","(58.90195006032325,43.11733525376498)","(65.95965322817072,41.25529809112639)","(72.4178172275391,39.68435095118498)",,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"(79.43501905143661,20.56362259315079)","(72.91426510164177,24.26899274015883)","(66.39351115184694,27.974362887166873)","(59.872755633154014,31.67973131642176)","(53.3562383048161,35.35363785059678)","(47.191202314023045,37.725369897671385)","(42.566924122377145,39.11522370970945)","(38.20753341021018,41.071774879568665)","(32.66445873003937,43.306706031702014)","(25.773528256385873,46.304470694270805)","(18.950898487388773,49.93161070117337)","(12.04890824167784,54.17792915677501)","(6.01202343226996,59.11045104512917)",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"(0.07318702205338597,28.494145828217622)","(7.391889157132842,30.133230651552303)","(14.710591461721211,31.772315528880473)","(22.029299057319086,33.41140232508994)","(29.347670743926777,35.050410711803536)","(36.11370966470575,36.58831451824262)","(42.45799735804297,37.33393350823333)","(49.383170375255546,38.00373403737717)","(56.50607430935489,39.4954378126573)","(63.24823183441339,41.48739970428381)","(69.58098436171959,44.28326512881021)","(75.31015583679132,47.84250038239136)",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"(74.02573843161822,63.076645389404796)","(66.74097618082179,60.31820301701372)","(59.424126946517156,58.30421594203209)","(52.312149444207925,57.08796098127003)","(44.971661063415276,56.23698677519542)","(37.663359897147004,54.80441027405901)","(30.41158922671936,53.015577440421346)","(23.7137557172853,51.625131022982885)","(18.787202808389363,50.768795320121995)","(13.178034798792533,49.422446878567776)","(6.510409551147096,47.8070843699813)",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,"(6.369183951602518,18.192378375019015)","(13.776079987092158,17.0067753207468)","(21.184140007459412,15.819397062959677)","(28.594019974180505,14.630589973100918)","(36.00949092862825,13.441496177568247)","(43.43404140452539,12.250614628151808)","(50.86494605161551,11.05291492644007)","(58.28793400683608,9.851291520081647)","(65.2286928569433,8.028540955654822)","(72.4557770138017,6.6759977955184375)",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"(76.50630758689525,41.48767286001595)","(69.01708161422364,41.09054232708256)","(61.53717001799922,40.68974321946574)","(54.181384214872864,40.27293327352246)","(47.709055938165235,39.505154283476124)","(42.88373239669116,38.93060065318737)","(38.854251685683316,38.4200188946813)","(34.50107143223566,37.351292960034044)","(29.04027787431245,35.37109717246342)","(23.144128543543697,33.97515550769392)","(16.90489261167249,32.63038960525857)","(10.137082297984382,30.955168772129092)","(4.130069554106258,28.420555407762265)",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,"(80.55474916913715,28.18094141949829)","(73.13137072229055,27.088967952898276)","(65.69300165327073,25.97007428911551)","(58.23606921931081,24.828311645319076)","(50.77548673648954,23.596589826904353)","(43.32417266169671,22.374687464299456)","(36.308717523454284,22.01871849509372)","(28.98465525850565,21.392325608760107)","(21.594380741027855,20.343981081386758)","(14.201030339377692,19.09831711877294)","(6.818698726119152,17.7459126142029)",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,"(1.8288525436638512,27.41793844178945)","(9.139672563456747,25.779806263591517)","(16.443252655407736,24.153814960451324)","(23.737329269386453,22.540617390172542)","(31.017537408039683,20.943393438770208)","(38.26730517712308,19.37078838621655)","(45.15293383008996,17.19367099334654)","(52.78735415165378,15.879832689299027)","(59.85642793569259,14.673558353900962)","(66.70307994373839,12.782465692373465)","(73.78306969090058,11.15123277515047)",,,,,,,,,,,,,,,,,,,,,,,,
,,,,"(75.21503651753972,56.73330461171425)","(68.4090809396276,53.582452546621404)","(61.60286983154719,50.434072702324514)","(54.805858816200185,47.352092028602485)","(48.24516554886466,45.01533726242202)","(42.09058761669267,43.99056786724485)","(36.71843128294074,43.19628475076336)","(32.93587822016565,42.87916765030182)","(27.91291759096344,42.10128809544677)","(22.330035963058993,40.36849419515277)","(17.2413237984849,38.18910456581864)","(12.336668097863146,37.07261345019325)","(8.292515047593563,37.4825683741194)","(4.128370864401606,37.572339036739834)",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,"(76.82447342800917,34.30938401194126)","(69.70973594715397,32.50367048932295)","(62.73186433132455,30.876181739378904)","(56.19563532225261,29.2361982764144)","(49.83730446897403,26.91129436713721)","(43.16604732362158,24.943225874026766)","(36.61294806121806,23.228571579845855)","(29.966568183266304,21.389512982831818)","(23.120062985806882,19.42243407010547)","(16.12539191307051,17.413591326416874)","(9.035872083867693,15.394686661917767)",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,"(5.412709608474769,7.549238454574758)","(12.82723069247438,8.702205850179025)","(20.238259316883696,9.839102083107782)","(27.61282898272286,10.948234706665271)","(34.89497767064682,12.017706682045192)","(41.862927410983026,12.628345951277964)","(47.62331212900886,11.793999250939883)","(53.22714137468733,11.522765292433728)","(59.19561114702111,12.30116160652427)","(65.46289090045579,13.923958197125435)","(72.16535139306887,16.02988986313125)",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,"(77.70906428109295,61.7072819489744)","(70.55408757349296,59.3673056630459)","(63.61807824793808,57.24189775557847)","(56.674155693726064,55.87889498694175)","(49.55693451897798,53.94622273134867)","(42.44493837700135,51.723600861468384)","(35.340255472950155,49.37886288481903)","(28.249862187402233,46.990309004794604)","(21.294850118410547,45.318039591401025)","(14.282898452783888,43.1952053040762)","(7.841012606343867,41.132108937561725)","(2.611572272224501,39.83560444102957)",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,"(5.458193249052322,44.91621179650949)","(11.956131652727377,41.17073515075041)","(18.45411228166737,37.424679867054934)","(24.357019004788263,33.75048008307275)","(30.435641034174164,30.04880930323897)","(36.85098709536062,26.375715004827715)","(43.19322808397168,22.52309373673604)","(49.12299741971487,17.907520227011847)","(55.49641491060204,13.977735404713034)","(62.09316808051217,10.435494060724821)","(68.79665441641932,7.0903544525924636)","(75.55473370502804,4.0640486586969775)",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,"(77.06545337298861,59.50970077662809)","(70.2940383467149,57.9773163804684)","(63.17391371732772,56.324850428721085)","(56.074112974402766,54.16558299493743)","(48.99637416545956,51.779515917982025)","(41.93573287627107,49.285305853963415)","(34.888505425298064,46.73461099731051)","(27.871060526614862,44.29783985539415)","(21.1213170603528,43.59977399759017)","(15.029105611718013,44.25020555523973)","(9.492515434219595,46.250061998837225)","(4.735484637288801,49.676742360401164)",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,"(75.3985357641667,43.87687378853623)","(68.62553380131214,40.97220199893593)","(62.71480592426599,37.50586007020931)","(56.50174974558708,33.57957778162552)","(49.77413608492988,30.451423699702485)","(42.78338449491696,28.085701337099284)","(35.542252349922435,26.447848341081297)","(28.439328254006067,24.040806845492124)","(21.452755290561967,21.30370239681293)","(14.534055296847361,18.480922184668632)","(7.55722243199674,16.3740008619657)",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,"(4.426227547539276,48.89660933017436)","(11.44772068164151,46.28139619661208)","(18.228514792954474,43.39530916098687)","(24.488397267020634,41.405135362310126)","(31.143841795784763,38.920203625989345)","(38.03476163953934,36.278301091789245)","(44.955317150342545,33.936255506329545)","(52.09648846496749,32.316678348789665)","(59.11756193233025,29.788767992991716)","(66.03702453188797,26.973718313688522)","(72.20741583211014,24.262229148646014)",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,"(76.57920772862109,38.95974605271622)","(70.39779273456567,41.39807989660166)","(64.07932422518054,43.07731824015253)","(57.22789654741864,45.12009831945772)","(50.22515266044355,47.423500856327784)","(43.17559738204156,49.842673061047265)","(36.11414478527693,52.318029779267725)","(29.156956852167085,54.93936855521695)","(22.587024075522997,58.34012486252624)","(16.075640014844073,61.38327527701877)","(9.697844566192568,64.21392165381278)","(2.9384261598392616,64.93270685011841)",,,,,,,,,,,,,,,,
,,,,,,,,,,,"(76.89954808253762,3.2092056018964343)","(70.57722105140351,8.270112940188179)","(64.23495040518142,12.656477614870187)","(58.84931634132447,17.436541765624252)","(53.43800250690645,22.59029811184248)","(47.78311494342971,26.40378300897759)","(43.58946511507434,29.544219736061606)","(38.67937685987765,31.951001014929407)","(34.06421595093517,34.95515038502563)","(29.787533668880975,37.76783156030725)","(24.07218852937792,40.66418167330159)","(17.689023917892015,43.59163398276165)","(10.918027230180003,46.23125265433356)","(4.274785485516137,49.493395020978596)",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,"(3.5112432963396873,35.30002281984367)","(11.098147628840785,34.955069180891066)","(18.427571046604314,34.07199712327137)","(25.9833823804668,33.218963816839086)","(33.440814912860546,32.554885964280814)","(40.041379416971886,31.708522595688272)","(47.08326555024105,30.153548810293422)","(54.404973935109126,29.169388840413248)","(61.775317757914834,28.839332840065367)","(68.53202247865667,29.261362828089972)","(75.73534454172332,29.485485990934404)",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,"(80.35147174874027,48.01082909111622)","(73.66116242082933,45.97817913561764)","(66.96213793458394,43.50906901083243)","(59.935757450716444,41.30831387696469)","(52.79401232652294,39.263901122545136)","(45.61176415747391,37.507310412856945)","(38.72278574365443,36.25089383982501)","(32.267779332082284,34.34200822868757)","(25.330925552952337,32.22034083981247)","(18.22707732535177,30.113255845999085)","(11.059639761340774,28.019649187299898)","(3.8681859440777777,25.938693941506628)",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,"(5.859842891574711,33.37276985272365)","(10.87458999065612,34.049556666597816)","(16.734454947759623,34.28453631163764)","(23.521171347892253,35.10181078668666)","(30.56315443986,36.19194130057848)","(36.84396710637914,38.04687081206999)","(43.22540613418284,40.67235585060164)","(50.302905843469645,42.27203291900541)","(57.63824783852905,43.2242712123728)","(64.8759987161991,43.77353454791566)","(71.50225902099523,43.30990865436898)","(77.75518978594894,41.77016395781938)",,,,,,,,,,,,,,
