,,"(6.666259101612036,20.714675448529988)","(14.073213656192234,21.892395375543934)","(21.480168225874905,23.07011532083108)","(28.887460121360284,24.207924126653552)","(36.29702982701245,24.269052412614933)","(43.68071241097504,23.518468446627562)","(50.87698194161093,23.66860471099608)","(58.1484413416339,23.003907729485682)","(65.28878189890958,21.735181818166875)","(72.42241211329271,20.851797789297084)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"(77.10318169662582,47.39879828439776)","(69.60930034881963,47.09590829594609)","(62.115419001013436,46.79301830749441)","(54.62153765320723,46.490128319042725)","(47.12765630540104,46.18723833059104)","(39.63377495759484,45.88434834213865)","(32.18324307894679,45.51931725257906)","(24.986242292624613,45.294867583716254)","(18.410065194810166,46.72617517121475)","(12.026553829423756,49.91834017455868)","(6.906046991550814,54.43980218787424)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,"(2.319305412503293,43.96766996222808)","(9.567134818929969,45.89613279449605)","(16.814964225356558,47.82459562676402)","(24.06279363178314,49.753058459032)","(31.271655888718904,51.73761889905683)","(38.40374535402323,54.05193616719402)","(45.623422124500415,56.07964891474037)","(52.87885444307294,57.97206445313663)","(59.95669089732879,60.160855570899976)","(66.99369951102926,62.580963992038086)","(74.26037574236896,63.708955870610204)",,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"(79.26313595076054,14.507064799147312)","(72.57253980050025,18.7442590062371)","(65.87846533681733,22.55862382766996)","(59.16960229848069,26.083174212081296)","(52.449313841384686,29.483288336772407)","(45.72372195955903,32.82932513489642)","(38.996583630928654,36.15812989197813)","(32.56010863589377,39.261679462919986)","(26.3968614674054,41.09418830254225)","(20.04518845039201,43.84729943315048)","(14.459892042086306,47.547838810761036)","(9.654813296097046,51.91152932210126)","(3.502358579130677,55.17853081850379)",,,,,,,,,,,,,,,,,,,,,,,,,,
,,"(79.35773276264644,10.083206188181508)","(72.38899326982265,10.625909868173594)","(66.28663312000475,13.182757286275375)","(61.12467623536979,16.895916072316354)","(55.453411518837015,18.86294120918108)","(49.49063713289768,18.76384702039406)","(44.508510895160484,17.02279419520486)","(38.83254861072131,14.050771599047893)","(32.55447219197467,10.749768847930932)","(25.713570310401717,8.619137498439024)","(18.45768861642895,7.855396498847108)","(11.106534399982008,7.7861761227533)","(4.25451170081863,7.324008820367098)",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,"(5.105630765480836,7.981049570977037)","(11.737300916742086,11.52319181456165)","(18.370297300283827,15.038345558095907)","(25.00409512879918,18.542327827766446)","(31.637934058014565,22.04167809071844)","(38.09259378229243,25.761858429113694)","(44.439749044029156,30.010641745867993)","(51.006387140577985,33.038700597693335)","(57.68675997380516,36.23586064326031)","(63.929199337491234,40.001925021843824)","(70.31159262364964,43.95050852380709)","(76.234828663619,48.31638661292446)",,,,,,,,,,,,,,,,,,,,,,,,,,
,,"(78.08308832263018,5.745285478600136)","(71.67374736489496,8.999061596847264)","(64.33485683628805,10.26753330162975)","(56.39957706638208,10.91346066475343)","(49.45928416278791,13.403168135549475)","(43.44671427136849,17.490222869056105)","(37.76789559367779,21.277640691397337)","(32.38882914408672,24.630262083553653)","(27.46964655614573,29.40915891737051)","(22.507631169571248,33.922547173007096)","(18.521171002480013,38.67951638487041)","(14.395174311806123,43.026707557448844)","(9.01033061676794,46.11139660152795)","(3.2270493981078126,49.3739025363941)",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"(4.7322942018074,31.694717987384536)","(11.862087479188387,34.432280551597344)","(19.23462863262444,36.96478626390189)","(26.378180864215082,39.60713843031158)","(33.19139161214923,41.97689800809549)","(39.90690233276042,45.497770409245355)","(46.72711446676938,48.91968648836453)","(52.743301578145406,52.243574684215375)","(58.87297361406921,55.086287575147956)","(65.51547244955374,58.091255315783144)","(72.23942884668942,61.23197774290402)","(78.47617777742605,64.20137095563312)",,,,,,,,,,,,,,,,,,,,,,,,
,,,,"(80.27346918617707,25.614493262282004)","(73.00817018572499,27.47601420071036)","(65.74290831437234,29.33753688489191)","(58.477770051708795,31.199049485889347)","(51.21373562340838,33.062492352735724)","(44.018845658544336,35.06350528201295)","(36.852060806259274,37.5376068048079)","(29.99621688588194,40.0148785613377)","(23.135358177942848,42.43166567338641)","(17.217479931568512,45.41464630040653)","(12.800856229025097,49.64764811200919)","(9.181033796986217,53.40564163077953)","(5.869304896018608,55.65496016594446)",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"(0.29326013664558304,37.055408719448664)","(7.186140545990947,39.07872473874397)","(13.813019047901198,41.5774371499288)","(20.40373763235308,43.78855460960226)","(26.413494061696724,45.17714055424)","(32.76747090733334,46.89852723348981)","(39.1787325484017,48.50179164781557)","(45.44025169222057,49.63679766539244)","(50.93711609006078,50.94907920217671)","(57.309052993376866,51.48630914583392)","(64.3714687106067,52.07101061249587)","(71.69487085148063,52.68152372788451)",,,,,,,,,,,,,,,,,,,,,,,,
