"(61.177486938059154,-50.90254800788312)","(61.345820640527926,-50.76515725672452)","(61.58093971963535,-50.570473968211076)","(61.88060567105326,-50.31600276872932)","(62.24097558556129,-49.99788325791333)","(62.655420683801275,-49.61048340440306)","(63.112727652985356,-49.146509230087645)","(63.59412865056012,-48.59855022931957)","(64.07164958671187,-47.965019286364324)","(64.51853188346495,-47.25747893960444)","(64.92198235288878,-46.4804562232535)","(65.29882204105293,-45.64615440720792)","(65.6810135790621,-44.772453434772274)","(66.10017642606915,-43.87898393715139)","(66.57554120576768,-42.98407059268001)","(67.10190303550422,-42.089989809955995)","(67.60210898043526,-41.133660840631066)","(68.06417962578445,-40.0980806697051)","(68.50028207415949,-38.97963621177196)","(68.93600517059525,-37.784892629041636)","(69.38013672333315,-36.53413267793138)","(69.83635473971012,-35.24387419171325)","(70.30538192629132,-33.92655976222082)","(70.78507425860926,-32.59146714566282)","(71.26871226346766,-31.24691502543523)","(71.73711948862154,-29.906318537336052)","(72.14774289950115,-28.59830476561359)","(72.4861673455736,-27.34037686919415)","(72.75773056080561,-26.139530332887357)","(72.96952722482311,-25.003110972463)","(73.13094303813281,-23.938654780239425)","(73.25255048589726,-22.952538498015358)","(73.3411446389924,-22.047953715571364)","(73.3967100392101,-21.222075005643433)","(73.42028356790064,-20.41398589198343)","(73.3914974040754,-19.53868981210907)","(73.30111211156368,-18.600725425144006)","(73.14803004278652,-17.60102154294871)","(72.93474790625324,-16.53717179622189)","(72.65909519397897,-15.413199172694071)","(72.301688047103,-14.261654443288037)","(71.85764777394907,-13.118957009295409)","(71.35035174970048,-12.003062205912268)","(70.80879939901222,-10.914738366621686)","(70.23714700163283,-9.859333513142035)","(69.62211003922452,-8.862559211169867)","(68.96161453311414,-7.941060271270778)","(68.26528137731236,-7.094389381605705)","(67.55357074122968,-6.295223373729028)","(66.83514844643301,-5.540594324602125)","(66.10959774618894,-4.850999879092218)","(65.36342164328859,-4.233491404566082)","(64.57037271848924,-3.689385251715726)","(63.71015702225095,-3.2015708470531443)","(62.7990170796066,-2.770656630595779)","(61.88094231984745,-2.4140073071647343)","(60.96616628729375,-2.1452653893458624)","(60.05920445667498,-1.9641572272500751)","(59.16351876809991,-1.8703123994187503)","(58.2797395599776,-1.8636316747941617)","(57.413216461186,-1.943212331256101)","(56.55848467430941,-2.109780860176294)","(55.682626728957544,-2.3543313782556616)","(54.74599350873927,-2.576146996579623)","(53.801615442095596,-2.7131774259232215)","(52.889245856616014,-2.7692783514819554)","(52.0278328219235,-2.7537788736284083)","(51.21659829828446,-2.666094461131859)","(50.447669742723974,-2.5013072644726404)","(49.72857114646427,-2.2678681427565253)","(49.053789804632906,-2.0044228629875134)","(48.417227020637874,-1.7194024586730952)","(47.81187670029118,-1.4039270723510158)","(47.227226951545646,-1.0499118478289469)","(46.672979058535745,-0.6683501794967174)","(46.16115181777762,-0.27546410359982637)","(45.691381602647866,0.13030548673128364)","(45.26448804609541,0.5456391994495211)","(44.87970749010814,0.9734125134065881)","(44.53512586341201,1.4189971089872921)","(44.2303906177262,1.883198888799619)","(43.967526559970345,2.3603273689404163)","(43.74840105664427,2.840998149757466)","(43.57326891322505,3.322375534254963)","(43.44213533474304,3.804098210457823)","(43.35500126057937,4.286026220432266)","(43.31186697669202,4.768088098737498)","(43.31768261087119,5.250235247641353)","(43.405448212493965,5.73239328903541)","(43.58121316884244,6.21426771679637)","(43.84496610089136,6.695022290251745)","(44.19649916885531,7.170202317546086)","(44.63508079184937,7.63285562806705)","(45.15988816026686,8.07801525754744)","(45.770782187644414,8.508321563537947)","(46.43826487306921,8.979408583669828)","(47.0805282952115,9.531861933603809)","(47.6848692934403,10.163715348073264)","(48.249232556406255,10.873926370514868)","(48.77157590128697,11.661452763015308)","(49.248368248886294,12.524220443805136)","(49.67236825062252,13.45726354965869)","(50.03569919837094,14.453930407302355)","(50.33290085463935,15.50860389172486)","(50.56096760528056,16.617703828278376)","(50.71814008704565,17.778929183740853)","(50.80320262305084,18.990560807245696)","(50.81870818677988,20.24881988892235)","(50.77475334275455,21.54541845667477)","(50.68088763640712,22.87299332247205)","(50.54510479758426,24.225608972573536)","(50.374093693481214,25.59846079079677)","(50.17345125249324,26.98764642497612)","(49.947862274688354,28.390033943347856)","(49.701248650917194,29.80306797182839)","(49.43689608288086,31.224670661100724)","(49.15755770854301,32.65316105802275)","(48.865539916429704,34.087190675882354)","(48.5627790924589,35.52565846633912)","(48.250902048209994,36.96766944288006)","(47.931272732542006,38.412508455960015)","(47.60503797579559,39.859596400974596)","(47.273163231783386,41.308463447806325)","(46.93646073356489,42.758731252093355)","(46.59561315496258,44.21009735828579)","(46.25119613862206,45.662317015160355)","(45.90369479068685,47.11519307760299)","(45.55351708781779,48.56856798668798)","(45.20100646529219,50.02231504698557)","(44.84645161282379,51.47633231490162)","(44.49009434592173,52.93053784258548)","(44.1321361408684,54.384865574406675)","(43.77274341672867,55.83926182835127)","(43.412051429743585,57.29368241800355)","(43.05016680016078,58.7480901272325)","(42.687168367201416,60.202452331253184)","(42.32310557363579,61.65673845308939)","(41.95799235340591,63.1109166449972)","(41.59179081855121,64.56494814304932)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"(53.651187663215715,-68.24196914359318)","(53.70719062199964,-68.14702259970196)","(53.78557956698848,-68.01419641745224)","(53.8862081684421,-67.8434046830211)","(54.008925543761336,-67.634559344381)","(54.153525040650486,-67.38754122681618)","(54.31977654781585,-67.10221944873504)","(54.503193512106975,-66.77817967300997)","(54.675239924177674,-66.41369719149833)","(54.83072017468121,-66.00845646362399)","(54.970696405104256,-65.56204615691873)","(55.09711805922079,-65.0737848203849)","(55.21324187821642,-64.54279072219657)","(55.32283169291243,-63.94943162454425)","(55.43687482478251,-63.26860617365388)","(55.574154235090695,-62.50330993941914)","(55.752817755092956,-61.660853727307845)","(55.97042044817368,-60.76934915170903)","(56.221608778460855,-59.849040264709586)","(56.53268511311051,-58.89039559993908)","(56.9215380247703,-57.890690961619356)","(57.391085269653374,-56.85597607221884)","(57.940791245383195,-55.79261708058064)","(58.55983234909608,-54.70885568677106)","(59.23494907744847,-53.61315614273813)","(59.95129848340076,-52.51359838575895)","(60.687528854469754,-51.41028897586506)","(61.419403534441415,-50.29997514644933)","(62.125118502372885,-49.177257651409604)","(62.79344294923747,-48.03851795170117)","(63.42949807380825,-46.88843940551068)","(64.05105187472186,-45.74528555710728)","(64.67435546621437,-44.637358399601716)","(65.30151073606763,-43.601223610818714)","(65.91869847206348,-42.6521782147842)","(66.49638583359378,-41.7707490929225)","(67.00353344254532,-40.923420559312746)","(67.47306317250829,-40.10414493626467)","(67.9027821040342,-39.32822023773267)","(68.27987721321185,-38.62194917049054)","(68.60504684831587,-37.98664255622918)","(68.868405517276,-37.402215211459776)","(69.08615785045126,-36.81471811949238)","(69.25111813676844,-36.191305066481064)","(69.37418595948064,-35.53612573292469)","(69.46206206863846,-34.853464448420766)","(69.4973226656476,-34.12036288426657)","(69.48338798580917,-33.31502198971339)","(69.44205721587015,-32.42659455876182)","(69.39270476886816,-31.45317843387797)","(69.34618526337036,-30.409043088947417)","(69.30682190779801,-29.301643687473256)","(69.27394754710453,-28.145429936676543)","(69.24405396029121,-26.956978263362355)","(69.21071593142763,-25.753412712067107)","(69.16509825023775,-24.5515970708554)","(69.09499246520595,-23.36947337706484)","(68.98844276238437,-22.223366499174265)","(68.83598714947524,-21.126934435494146)","(68.63609066099782,-20.088484222685867)","(68.40000730796396,-19.109971281869413)","(68.14632601544848,-18.175695517219847)","(67.85538636334844,-17.25800984623288)","(67.51632801017506,-16.35409145483091)","(67.09711837362902,-15.471917007543617)","(66.5966242151866,-14.611084763059054)","(66.04672417264665,-13.763895885063995)","(65.45510569969936,-12.930635129111671)","(64.822312274294,-12.11562338870861)","(64.12676677312585,-11.33811651891073)","(63.3856572323221,-10.592330532581773)","(62.6108213140002,-9.874762387804061)","(61.80531169565435,-9.18865868716226)","(60.9749045549983,-8.538608883140233)","(60.1286997965613,-7.929292143908024)","(59.26913893295171,-7.361457727334523)","(58.41522556013515,-6.836082588173235)","(57.58879377106609,-6.34383414126006)","(56.8010621347235,-5.871877349930488)","(56.055717866192644,-5.411238483408517)","(55.35411332285793,-4.953311219486115)","(54.69582026568928,-4.488505595454756)","(54.08035181676493,-4.013702570872228)","(53.5082862106167,-3.5318849641475984)","(52.978755904846366,-3.0390627990327967)","(52.4902605231821,-2.5304517598928724)","(52.04151568690356,-2.003016629048867)","(51.63042470748251,-1.4529421094048944)","(51.25350786941884,-0.8752662094649233)","(50.90699621608528,-0.26585481779616843)","(50.5874395762173,0.3782940624104425)","(50.29183673337394,1.0593257423495723)","(50.01790616565511,1.7786398356957163)","(49.7648512654927,2.5366770925445548)","(49.53759591865474,3.329961935360704)","(49.34854536248591,4.140073800004504)","(49.1984462735429,4.933902825545928)","(49.08533494001841,5.680051426972852)","(49.01032089181442,6.34752499496432)","(48.9606714764691,6.930864751567947)","(48.928517190848936,7.427985084463671)","(48.91260784481355,7.838699832798715)","(48.92669590670862,8.194527454037022)","(48.982327199720636,8.607755855803621)","(49.06884757735768,9.103324936585995)","(49.18210853746657,9.682723854292256)","(49.31947860250392,10.34674880740275)","(49.47814980549941,11.096146638714279)","(49.654980799859594,11.931640813371978)","(49.84689695585814,12.853819597010318)","(50.05185511433432,13.863020052793125)","(50.26950070726234,14.955308182077138)","(50.498239975586145,16.117215110392163)","(50.736464787397104,17.335580960245785)","(50.98252261258934,18.600104535506656)","(51.23497622354676,19.902503971357937)","(51.49263931992601,21.235977344877753)","(51.754563491259304,22.594787575887917)","(52.019952890328014,23.97436356262793)","(52.28813939800331,25.371017271425398)","(52.55860942594957,26.781620897017934)","(52.830938060271755,28.203633395459736)","(53.10476671789914,29.635005073309372)","(53.37980500086803,31.07405192580513)","(53.655829705374046,32.51936792816364)","(53.932651037566394,33.96981819739259)","(54.2101120907575,35.424477365823456)","(54.48809110293658,36.882579007923326)","(54.76648807405354,38.3434975060772)","(55.04522052969292,39.80672254120233)","(55.32422195353081,41.27183589879487)","(55.60343904885465,42.738494549761974)","(55.88282855578471,44.20641786506086)","(56.16235536874236,45.67537626353377)","(56.44199100100484,47.14518192607357)","(56.72171233150501,48.61568120016808)","(57.00150058061788,50.08674838737175)","(57.28134047089927,51.558280662327256)","(57.56121953585207,53.03019391790733)","(57.84112754480084,54.50241936877973)","(58.121056014405525,55.974900776873035)","(58.400997775732804,57.44759218840676)","(58.680946555632815,58.92045609524541)","(58.960896498070916,60.393461956933336)","(59.24084144023983,61.86658505496392)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"(66.16555971055614,-55.86073786312185)","(66.1980006663946,-55.754663159739934)","(66.24319152952086,-55.60647628653851)","(66.30125459069508,-55.41621449781498)","(66.37230137436396,-55.18391219361356)","(66.43889190734643,-54.942099051014694)","(66.47834807871268,-54.73464731103214)","(66.49121790003295,-54.562253414855206)","(66.47636344875511,-54.42395021697962)","(66.4325707627984,-54.295129198948466)","(66.38702950892456,-54.126537516843314)","(66.3505166920273,-53.91491177436702)","(66.32600594055808,-53.661045750514596)","(66.31553660417373,-53.36562044832826)","(66.31863716886284,-53.02834291078183)","(66.3364667199674,-52.64960750569614)","(66.37026805005969,-52.22987734056363)","(66.4213122230591,-51.76966977785179)","(66.49515169173057,-51.26050419856411)","(66.59102966900544,-50.70714200727239)","(66.7074950113358,-50.11489543983985)","(66.85099003952274,-49.474879151956586)","(67.0213892674859,-48.78930699236274)","(67.21509503668645,-48.06641733372706)","(67.43395233338943,-47.30517121367751)","(67.67914234550175,-46.505567594149184)","(67.94977745085518,-45.67008177986851)","(68.24525508572435,-44.79838153691781)","(68.56187966170202,-43.89904416393222)","(68.88615298717517,-42.996941002104776)","(69.20297217406223,-42.11720430413307)","(69.48381762801361,-41.23612586980108)","(69.72151789971537,-40.34647746541311)","(69.90735350540076,-39.44821058999729)","(70.00984570298247,-38.53440798239291)","(70.05185109887678,-37.60407118992527)","(70.05455299996835,-36.654356974241566)","(70.02354178694874,-35.676733627650485)","(69.96364127199293,-34.65988311029243)","(69.86524511227069,-33.570802775840896)","(69.73370688445,-32.4062268285903)","(69.58297981539533,-31.184849729032216)","(69.42658441203977,-29.923094689788314)","(69.27532942001851,-28.63188798042707)","(69.13493260714239,-27.31763452768352)","(69.00834440908167,-25.985260895985984)","(68.89604537968157,-24.639543920709414)","(68.79671971458399,-23.285180397757152)","(68.70960474103757,-21.927130182185934)","(68.63720992410936,-20.571757723421385)","(68.58769098419502,-19.229155748724814)","(68.56427831025576,-17.915313061756482)","(68.50854928071938,-16.623652118299365)","(68.40499473795053,-15.359906219573517)","(68.24380248478172,-14.145716244922538)","(68.05705113054705,-12.96976350061082)","(67.85611211203987,-11.835238966565985)","(67.64910687810678,-10.74422066375365)","(67.43814747350982,-9.69701225241478)","(67.22022978148867,-8.693208830195081)","(66.99139914093516,-7.732011071351291)","(66.75063339502199,-6.813159268959029)","(66.49663083151938,-5.936221974516151)","(66.22243050532654,-5.098115404816795)","(65.91629619661165,-4.289112340693978)","(65.56816047114705,-3.489355834059265)","(65.17663408259983,-2.683293372932753)","(64.74273628732112,-1.8767535342279185)","(64.28971348811952,-1.1042708955694673)","(63.835473014860156,-0.37574726477516973)","(63.60731984588337,-0.03282599232112029)","(63.5978512455884,-0.0746300728816801)","(63.57791945889179,-0.159171172375135)","(63.54663759545304,-0.2862199309946356)","(63.50238094651242,-0.4553025460247846)","(63.44228250308497,-0.6653993699704435)","(63.36099675136233,-0.9139084331897528)","(63.248182266618244,-1.1906044694910145)","(63.09382184783736,-1.4624368283006688)","(62.89973218235096,-1.7154342241885794)","(62.66590830054179,-1.949558582134229)","(62.39097782055242,-2.1681156956269074)","(62.073490959353336,-2.3777669426152572)","(61.713630648090394,-2.5764406858684694)","(61.31011149578275,-2.7700168224940906)","(60.86263906473572,-2.9625051267840834)","(60.371468616267165,-3.15924919518691)","(59.837782800232134,-3.3651523824895557)","(59.277551489893355,-3.5507931476707277)","(58.71834631940628,-3.693298358552877)","(58.16531048498415,-3.7922714316809687)","(57.61336292654077,-3.847309192459845)","(57.06168549862718,-3.858417087629315)","(56.52070996902289,-3.827408200532611)","(55.99456786819665,-3.755183961984501)","(55.47303535608924,-3.6394975851535403)","(54.94279106403184,-3.481062933569838)","(54.38847865268424,-3.2869116904986355)","(53.81072536843122,-3.056567419348525)","(53.228117695915614,-2.7829638707851316)","(52.64766304587127,-2.46542507809642)","(52.074884440283185,-2.1049064366066226)","(51.52055162186974,-1.7049294488500268)","(50.9977855314317,-1.2750561822314235)","(50.51511085226299,-0.8278747675919915)","(50.07558851679506,-0.3725315003351358)","(49.679869738047614,0.08684911134630414)","(49.32808163891644,0.5486164487152635)","(49.02018813636854,1.0132874256368785)","(48.75590121207927,1.4836688455797165)","(48.53457056152581,1.9634289723647882)","(48.35506637193732,2.4567223068012463)","(48.215755286442985,2.9678221272438767)","(48.114635240711806,3.5007011626602056)","(48.049497848994406,4.05885028248476)","(48.01804413843908,4.645273946023034)","(48.020520049706555,5.2643202668001035)","(48.07903007923815,5.939647446311903)","(48.20139181600531,6.675499297507375)","(48.391894790430996,7.466930209132368)","(48.614751900832246,8.323734661702556)","(48.81210312805464,9.264537453887634)","(48.97725379285015,10.287195827258397)","(49.10396457933955,11.388952699969039)","(49.18623075596265,12.564206120144878)","(49.22371062522131,13.799990484899887)","(49.21918701349916,15.082906383752277)","(49.17871910874476,16.403310715973742)","(49.10793961671861,17.753971540792925)","(49.011678293746385,19.129176923132096)","(48.89401263437413,20.52433824835422)","(48.75836238938074,21.93573552399403)","(48.6075892990571,23.360348352689915)","(48.44408787584965,24.795717535450766)","(48.2698624224784,26.239837507317493)","(48.08659143029291,27.69107282552463)","(47.8956812038271,29.148091361985475)","(47.69831073360442,30.609807797458984)","(47.495469077552926,32.07533800228858)","(47.2879864904997,33.54396196390631)","(47.076560374063504,35.01509354621135)","(46.86177693527565,36.48825571157024)","(46.644129244218924,37.96306033792074)","(46.42403229820892,39.43919175069858)","(46.20183559042453,40.91639328735383)","(45.977833596709885,42.39445633705947)","(45.75227452398536,43.87321140019927)","(45.52536760488142,45.352520795502016)","(45.29728917373768,46.8322727106472)","(45.06818771711225,48.31237634754772)","(44.83818805564189,49.79275795853164)","(44.60739478160487,51.273357606038566)","(44.3758950455426,52.75412650752064)","(44.14376075231175,54.235024849801775)","(43.91105018575218,55.71601997332386)","(43.677809018904455,57.19708483533523)","(43.444070553307654,58.67819665804076)","(43.20985478677338,60.1593356407559)","(42.97516529098243,61.6404835252165)","(42.73998098697983,63.12162150411105)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
