,"(35.189755856669315,1.4782395832627113)","(35.06486678865483,2.9576284776107324)","(35.02795666510811,4.437180185753403)","(35.07902810346485,5.915970365406645)","(35.218076227766105,7.393225967262422)","(35.44509370881476,8.868410644409007)","(35.7600726167353,10.341170035477475)","(36.11807482414975,11.811821211079163)","(36.39782653812786,13.283343683480847)","(36.58958720200804,14.75611853367726)","(36.69335513135938,16.230022953096885)","(36.70912940891182,17.704984087561442)","(36.63691036409246,19.18102805453906)","(36.476700689802286,20.658350256404514)","(36.228510036868535,22.13746810900669)","(35.89803620290014,23.61975025476734)","(35.53052224571394,25.106647020490122)","(35.17017107956552,26.600150531237617)","(34.83912379029925,28.102592105710876)","(34.54322431636583,29.61321462189528)","(34.27735040231661,31.12572751233113)","(34.04020462604987,32.63852855160324)","(33.8302447792943,34.150287209102)","(33.64606724907683,35.65962198821025)","(33.486945624926044,37.16509849459393)","(33.35279235616012,38.66513914860037)","(33.24401694801179,40.15801707720123)","(33.16110870325104,41.642012196907416)","(33.10401736898053,43.11571687869903)","(33.07153538987282,44.578444899454475)","(33.061114736021004,46.03038746109039)","(33.06879502883449,47.472731214190304)","(33.09051828367637,48.906935993108895)","(33.12167797995441,50.33498866429848)","(33.15808575873943,51.758728039571494)","(33.19608641892595,53.17981212138928)","(33.23270696070556,54.59959224401391)","(33.26575274773184,56.01900538763465)","(33.293564299056634,57.438707042651814)","(33.31537711115806,58.85887009881721)","(33.330234538978466,60.27978573335993)","(33.33859961485182,61.7009481418356)","(33.34139182597099,63.121494037354175)","(33.339205891262466,64.54079910563661)","(33.33315840698608,65.95786504360436)","(33.324290371088985,67.37173487324857)","(33.31388337207406,68.78130572445492)","(33.30324664508505,70.18551952676525)","(33.293726724369265,71.58346089258966)","(33.286694612083735,72.97447697812271)","(33.28300423823879,74.3584361445117)","(33.28337128203217,75.73551632087303)","(33.28735823972683,77.10597176012905)","(33.29339050402644,78.47092206212724)","(33.29910612190285,79.831760297472)","(33.301490420846605,81.18983495669482)","(33.29379025308425,82.5425700384566)","(33.326508997822785,83.86945461194841)","(33.439838701087496,85.16107049979924)","(33.63217554147215,86.41396851483029)","(33.901503593499804,87.62428932590467)","(34.24534095050146,88.78783496505791)","(34.66061878383298,89.90005385715266)","(35.143450246572506,90.95594410366621)","(35.68896908270163,91.95015486537777)","(36.291187260689284,92.87715711230854)","(36.94300201279261,93.73157066327921)","(37.634965501781544,94.50781883056877)","(38.35834343382569,95.20194119501987)","(39.10498246734852,95.81126429711043)","(39.86672422272161,96.3339581597435)","(40.635558475039495,96.76899734938601)","(41.40378840466728,97.11609218787181)","(42.164111570616015,97.37559088177048)","(42.9097082935509,97.5483728371838)","(43.63432296781351,97.63572954382633)","(44.33098840427884,97.6397210642416)","(45.0167032463452,97.56036909438407)","(45.7202424215096,97.39488934283037)","(46.438873117804505,97.1427224514164)","(47.17006106058732,96.80346090697384)","(47.922019403887745,96.3940690640064)","(48.743307505174094,96.01288663572333)","(49.634618119306325,95.68475974180133)","(50.58978692487884,95.4171133418729)","(51.6067013184557,95.21215986313342)","(52.68803053299386,95.06707373220131)","(53.84061727753435,94.97313883186791)","(55.06424467742459,94.91160317468322)","(56.343329071245634,94.85997564591328)","(57.66509463465383,94.80583166137278)","(59.020176060400715,94.74325599459831)","(60.40155454995684,94.67039540656636)","(61.80390800686623,94.58824011484658)","(63.22307488545225,94.49829297932631)","(64.65586535686785,94.40328663340628)","(66.09989230969485,94.30684651379367)","(67.5533700971919,94.21324155417635)","(69.01500440769857,94.12684762738908)","(70.48385692549428,94.0516191748727)","(71.95927752812639,93.99092973144421)","(73.44071702137876,93.94625225102317)","(74.92761227513223,93.91678414432141)","(76.41942626245046,93.90049226989161)","(77.91543555034518,93.89289421421333)","(79.41469682018307,93.88793058163365)","(80.91658219911645,93.88152835145183)","(82.42041305462422,93.86946785853338)","(83.92588130100435,93.84968595192804)","(85.43290447369989,93.82130000645758)","(86.9414312461943,93.78347194796365)","(88.4517197994393,93.73650528076129)","(89.96425638702772,93.68130957609242)","(91.47959318108819,93.61842078716862)","(92.99835905550198,93.54829097018302)","(94.52114284144288,93.47069379351157)","(96.04838839346462,93.38458834131119)","(97.58046870918344,93.28843319290044)","(99.11722469009527,93.17928844903324)","(100.65837968508724,93.05405304717283)","(102.20335200536753,92.90927275988196)","(103.7512593681918,92.74126572815186)","(105.29923393681109,92.54423897427499)","(106.83339657573443,92.29978731795407)","(108.35253711061671,92.00789353763719)","(109.85788423425218,91.67184555297058)","(111.35048507188331,91.29459107379188)","(112.83043795369622,90.87825289191926)","(114.29714182436796,90.42458495162067)","(115.7496014816377,89.93534317291207)","(117.18677080739796,89.4124803223595)","(118.60788170675256,88.85818735542613)","(120.01261530334646,88.2747772251549)","(121.40106370390797,87.66454704059589)","(122.77352067967846,87.02979044148633)","(124.13015974332231,86.37319968363033)","(125.47042270251717,85.6992520794077)","(126.79127197616394,85.01869181382249)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"(16.098465289792983,1.479014460728563)","(16.21750575081378,2.957924253184616)","(16.248665280792437,4.4330269124899235)","(16.192460386581566,5.898102478372069)","(16.05018352198508,7.34524531494916)","(15.824067301949885,8.765926584924285)","(15.517338600702377,10.151553901179767)","(15.135274979776263,11.492097961636992)","(14.702551119743523,12.768072613489814)","(14.320298831779878,13.997746745383978)","(14.02561968752507,15.227092887002938)","(13.818484724256944,16.46526366235929)","(13.698730072045176,17.7138554819896)","(13.666310019078626,18.97324653554219)","(13.721149003823115,20.244028496915945)","(13.863074091494498,21.527435991704618)","(14.091670592934358,22.826009825469665)","(14.405492003199516,24.14493500153811)","(14.786638157213886,25.487362073810402)","(15.201270359030863,26.847967474780937)","(15.628143101870346,28.22281164237477)","(16.056182806729588,29.609179387169085)","(16.47996365844234,31.004935268045575)","(16.897081482355883,32.40828179594586)","(17.306981402576746,33.81790817998825)","(17.71009993420954,35.232913393860734)","(18.107013225005332,36.65243970925252)","(18.498423485336573,38.07587026855798)","(18.885189105376636,39.50295493929339)","(19.26786186314557,40.93335486156875)","(19.646593051963336,42.366463726016114)","(20.021929579139012,43.8021274365407)","(20.394160078470147,45.24004808091033)","(20.7631871689504,46.679700231037636)","(21.129087183248735,48.120765020330865)","(21.491757953129014,49.56310134639695)","(21.85085163813035,51.00683829828061)","(22.205780968353757,52.451968136024895)","(22.555657671549888,53.89882866128076)","(22.899197659895766,55.348268864988206)","(23.23476990590594,56.80151523267661)","(23.56063208938142,58.26000039056912)","(23.87803968754795,59.72279960825469)","(24.19308743675949,61.18439359252228)","(24.505538779105095,62.64463246290962)","(24.815147227308955,64.10304675677398)","(25.12205718236006,65.5585018960523)","(25.426592262664315,67.0087894755408)","(25.728769387705025,68.45098734634131)","(26.027811938334246,69.8817196687219)","(26.321941278278477,71.29732110080289)","(26.60821083828832,72.69351547058551)","(26.882646570668204,74.06605537169844)","(27.140495020674948,75.41016212159283)","(27.376975819926272,76.72073730689792)","(27.58846772366397,77.99234023315898)","(27.77442959997074,79.2197206259465)","(27.938383029574677,80.39740654756281)","(28.09180876483083,81.52317160283928)","(28.254082206849127,82.59919281924084)","(28.448976172003402,83.62961124436197)","(28.699470778733453,84.61580747311194)","(29.021983308940943,85.55566416479137)","(29.41562444203931,86.44451295345013)","(29.869978653192337,87.26984133805475)","(30.3828667204705,88.02946895744911)","(30.95220529058997,88.72160162373957)","(31.575578345962217,89.34429121265948)","(32.25058998425476,89.89573478953248)","(32.975157470237924,90.37446525608541)","(33.74759856259492,90.77936178504609)","(34.56703489784676,91.10985830461757)","(35.433452648991405,91.36594635150033)","(36.34780507687053,91.54824029409235)","(37.311790334248194,91.65787346492792)","(38.32734234884824,91.69620627806947)","(39.39627537586996,91.66458430629254)","(40.5199046998818,91.56402831424181)","(41.69761685514071,91.39878957889017)","(42.91926855128278,91.20687360342791)","(44.17055298941974,91.02569740703196)","(45.434764308500206,90.83143210770736)","(46.69501747239579,90.5876665489883)","(47.94352064579884,90.26608046052507)","(49.1865641504915,89.86913110522296)","(50.437968536146,89.42963098034903)","(51.70953481466477,88.98998881276438)","(53.00708354243051,88.58486534529743)","(54.33123986207675,88.23447560190957)","(55.67981466847542,87.94721427919497)","(57.049537354530536,87.72347998214329)","(58.43697994271938,87.55889583152347)","(59.83900725123576,87.44700154983369)","(61.25281815291877,87.37992150811317)","(62.676037042096425,87.35018567042502)","(64.10658972487848,87.34988889136288)","(65.54261015526382,87.37081888528222)","(66.98242186860921,87.40480321616387)","(68.42448886032736,87.44382013360163)","(69.8673950605373,87.48049638098026)","(71.30982367048988,87.50881248619575)","(72.75062487700127,87.52497765099405)","(74.18890102586239,87.52794098194487)","(75.62394877878951,87.5187998502775)","(77.05529787987263,87.50122850941315)","(78.48268481558529,87.47957744451006)","(79.90605740206438,87.45895287561771)","(81.32510856514011,87.44237423060115)","(82.73957080791652,87.43295872279815)","(84.14876239546886,87.43091119381566)","(85.55186450500301,87.43579245837871)","(86.94748741902023,87.44493991894987)","(88.33432791713412,87.45692828536092)","(89.71069244810272,87.46936982510461)","(91.07472021998846,87.48047581174814)","(92.42433873013911,87.48894790098846)","(93.75745120106734,87.49446753521039)","(95.07195906669045,87.4977522700431)","(96.3659535710086,87.50077703048639)","(97.6376729925802,87.50630145307315)","(98.8850961813477,87.516900275528)","(100.10673361759963,87.53620412726863)","(101.30264548538082,87.56999515606756)","(102.47110816662459,87.6207783481261)","(103.61255714984276,87.69370420361527)","(104.7264101324444,87.79298433313748)","(105.81118190197566,87.92277533808672)","(106.87068394957676,88.09175513407766)","(107.91276121219354,88.31023509633324)","(108.9486041034934,88.58738478343781)","(109.9916496560318,88.92912882916954)","(111.05401558396913,89.33599217371501)","(112.14430292502783,89.80345546538842)","(113.266178895475,90.32377210381377)","(114.41871194670755,90.88838128737686)","(115.59819545871953,91.48951305225864)","(116.79975917044557,92.1208011406921)","(118.0186877009875,92.77727521461566)","(119.25095088219429,93.45502993532742)","(120.49323071481967,94.15098804966105)","(121.7428491466311,94.86272893231343)","(122.9976128111592,95.58827800025698)","(124.25577089049538,96.32606476060111)","(125.51583375656419,97.07489698925534)","(126.77612276478894,97.83338287295068)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"(33.576100804367115,1.4947472463983933)","(33.303611069495304,2.9923723906367528)","(32.94321220355527,4.49354470391469)","(32.494914596497765,5.998635390809134)","(31.958721777682868,7.507825583671785)","(31.33463216514848,9.021151183985438)","(30.62265935645073,10.538880984885814)","(29.8842298669962,12.062624878276129)","(29.229739701109384,13.592023135792843)","(28.66233652378545,15.133444247254054)","(28.179382771137508,16.698768804986788)","(27.772374925160758,18.307094829768)","(27.419221305281695,19.983193272925217)","(27.086630422144452,21.743704475997433)","(26.74823272341378,23.591661168740075)","(26.408258963890493,25.507204769432633)","(26.128577187127128,27.405916031701018)","(25.918629300745778,29.25119436242303)","(25.779035403813793,31.043642235694055)","(25.71203496048519,32.78637058022992)","(25.718708274362996,34.480981090560846)","(25.798370794104382,36.12646182015168)","(25.943253757205923,37.721212282792884)","(26.121690385062465,39.278425866970295)","(26.304788957838454,40.81252848582438)","(26.475230185668917,42.33315483542021)","(26.62395111293438,43.84660337251737)","(26.74686003366331,45.35705917399132)","(26.843079137410566,46.8671333768615)","(26.913863505604528,48.37829458700494)","(26.964792334625614,49.88935438267185)","(27.00422091363678,51.39698161425419)","(27.034733559995388,52.901260507445436)","(27.05887472902382,54.40218441504592)","(27.079256477027386,55.899440596075436)","(27.09848296705347,57.39253429855961)","(27.11906066993152,58.880846552809665)","(27.1433492266736,60.36365918799707)","(27.17342380776507,61.84019111143265)","(27.210876303405147,63.309694909155326)","(27.25662258383478,64.77150524751517)","(27.310895629059956,66.22506617045518)","(27.3730714120008,67.6700130995198)","(27.441856496952433,69.1061094596618)","(27.515277151422435,70.53327392459644)","(27.590978071071902,71.95144579852268)","(27.665749323962686,73.36082303035452)","(27.737197475487175,74.76097462404682)","(27.80295208724704,76.15118508147839)","(27.86010745971911,77.53070906252444)","(27.907052055350942,78.89744714988265)","(27.941636454997646,80.24887525875363)","(27.961746051460263,81.58137154696519)","(27.965729354906138,82.8892161885606)","(27.95206689535849,84.16389666265182)","(27.918644140895886,85.39311229595974)","(27.860317013380616,86.56117751444671)","(27.79371436001366,87.65873444026894)","(27.791034427308293,88.70083721162366)","(27.854177892583415,89.68459226357643)","(27.979195081595055,90.60580236047198)","(28.163414803061663,91.46191803589659)","(28.40511331109717,92.2514043203256)","(28.703499495619603,92.97358527549281)","(29.058546280727914,93.62843790476202)","(29.47091098305387,94.21652199213504)","(29.94166851768956,94.73877707643764)","(30.472794603592128,95.19718322312079)","(31.07502587072264,95.6045292175614)","(31.755085600325152,95.97254493917008)","(32.50467904732812,96.31600402242404)","(33.303967230310185,96.6431256296622)","(34.13522778061688,96.9469358576467)","(34.98273466847264,97.20898036820992)","(35.83001182510474,97.40672610694362)","(36.66020015517067,97.52256463940653)","(37.461155888403106,97.55554305626177)","(38.22578113833671,97.50841983470976)","(38.95049389407388,97.38288801868507)","(39.634497584559874,97.17935494546361)","(40.27868253009685,96.89735968536213)","(40.885056463672996,96.53591966999625)","(41.458803830086765,96.0928180161663)","(42.0101102409498,95.56481024766268)","(42.555107330655744,94.94940379915224)","(43.11783261116439,94.24889251042516)","(43.74068592175924,93.5374825301144)","(44.440491972879464,92.86874370170369)","(45.21602517923212,92.24482268450384)","(46.06631719747171,91.66731986841548)","(46.990569902656325,91.13749835441394)","(47.98809444691217,90.65641085105219)","(49.058253616639185,90.22500245378468)","(50.199829397713565,89.84360335332275)","(51.4044009263122,89.50741171135414)","(52.6606821761035,89.2092956110354)","(53.95941579972053,88.94309238488007)","(55.293045711080524,88.70352714964898)","(56.655109276115645,88.48616135071403)","(58.040288457841044,88.28724273487029)","(59.4443042859967,88.10359767974444)","(60.86360010410373,87.93251354489692)","(62.29504126314606,87.7716441409928)","(63.73608308846843,87.61891285443538)","(65.1846391883872,87.47244902772862)","(66.63872766493078,87.33052120804835)","(68.09657882105269,87.1915059241676)","(69.55670136025327,87.05387018018014)","(71.01768541392084,86.91611445156579)","(72.47801645270914,86.77680688563775)","(73.93631619548576,86.63455607261827)","(75.39138174350731,86.48815886626765)","(76.84192169907406,86.33674235907083)","(78.28681394091934,86.17985765935848)","(79.72521401368398,86.01762027357859)","(81.1565725132009,85.85089434413776)","(82.58035038952804,85.68129042576054)","(83.99640283353583,85.5112620521332)","(85.40494191080944,85.34385950233116)","(86.8058608610045,85.18235964641255)","(88.19932569620276,85.03071536007741)","(89.58505590311123,84.89207384252146)","(90.96289209410682,84.76944327712133)","(92.33181425247729,84.66424687748133)","(93.69034713194421,84.57622918135661)","(95.03576915202692,84.5019067985588)","(96.36407264322017,84.43440819721795)","(97.67099695431013,84.36485330970648)","(98.9529906836749,84.28346627411258)","(100.21016379834842,84.18393406474998)","(101.44820794045366,84.06804209819221)","(102.67749480987065,83.94809873079467)","(103.91024141092839,83.84362772290275)","(105.15584916556257,83.7698288907594)","(106.4211474530965,83.7354271319903)","(107.70946387739829,83.73796559214632)","(109.02293006116287,83.7667494563143)","(110.36234836986736,83.80398080078965)","(111.7280300928785,83.84072487861418)","(113.11993779384578,83.87377221472933)","(114.53768744258063,83.90074984513738)","(115.98030511161986,83.9251876620059)","(117.44679319384582,83.94951285445265)","(118.9359043902664,83.97645204134963)","(120.44699509219312,84.00474503351217)","(121.97892884627107,84.03405732682289)","(123.53034210360258,84.06442219469092)","(125.09747300783822,84.09467563620069)","(126.66931483036946,84.12917994323116)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"(18.451185629769853,1.5149671552830846)","(18.63932372615427,3.0988898201195516)","(18.822772385685404,4.769576236797914)","(18.996108927618234,6.527561462090405)","(19.163883565700168,8.373286654865082)","(19.33408914697456,10.299845086340795)","(19.488074991904718,12.24366579452569)","(19.571637426825717,14.191762161557397)","(19.599400453336372,16.137734727003032)","(19.622777414351486,18.04538797307537)","(19.663199172960777,19.891214201356544)","(19.717854590128393,21.678905973338498)","(19.782975530363657,23.41687629899453)","(19.85532493901181,25.113724109937618)","(19.93133060845121,26.77753972011051)","(20.005464753528756,28.416441694837925)","(20.06836871725802,30.03922371635199)","(20.107276236235407,31.654808939235544)","(20.10906258627316,33.27110065181431)","(20.066501521927066,34.89288367163449)","(19.98304480612623,36.51991843196659)","(19.872118727768395,38.14810526482829)","(19.753170574606735,39.771538914619555)","(19.643982392866707,41.385325249111034)","(19.55651799795146,42.986725743812926)","(19.496587402203012,44.57494871705455)","(19.465904718094208,46.1504198174259)","(19.46372043639996,47.71419156597565)","(19.487943708756656,49.26761385616022)","(19.53590042563112,50.81209582397533)","(19.604639423646084,52.34902986748911)","(19.691266362118107,53.879709503839344)","(19.792971812543282,55.40534298152711)","(19.907124779046214,56.92704017541635)","(20.03124931400777,58.44585313491221)","(20.16303154583212,59.96277026123266)","(20.300309982009562,61.478730544666746)","(20.441159765192708,62.994642133854335)","(20.584041832828532,64.51130314592046)","(20.727717019453927,66.02943935184108)","(20.871468869240623,67.54963005789294)","(21.015104032487454,69.07230992804575)","(21.159067213959272,70.5976821146365)","(21.304348310523345,72.12574806672342)","(21.452409658277155,73.65634576584287)","(21.605175101636767,75.18911567657354)","(21.764638877039957,76.72368596669818)","(21.932885340957206,78.25969096584961)","(22.112708834850977,79.79641575703928)","(22.30647335228766,81.33349631015456)","(22.51702746741309,82.87040432131212)","(22.74784687274636,84.40645953400357)","(23.010317141717582,85.93488116201259)","(23.317289074592907,87.44746516099443)","(23.674841309025688,88.9419380699587)","(24.09490885669085,90.41110775093946)","(24.576183382593882,91.82379844986579)","(25.110512959413377,93.16628915872587)","(25.69573920643689,94.43700079892508)","(26.32944658616996,95.63428198917664)","(27.008919123347447,96.75641262255277)","(27.731020134493658,97.80157331520819)","(28.492105188851017,98.76786068480803)","(29.28776484343139,99.65325422939398)","(30.112405098761013,100.45560144308735)","(30.959065640178558,101.17280694502334)","(31.820333839232088,101.80328239957319)","(32.69011526692651,102.34619531819952)","(33.564469110648304,102.80123552390533)","(34.441147115400085,103.16830915713594)","(35.31867623819194,103.44738823690507)","(36.19645378453826,103.63846773731166)","(37.0742942652126,103.74154727597492)","(37.95209051460969,103.75662683683701)","(38.829714794659886,103.68370658748495)","(39.706970298522265,103.52278717591392)","(40.583449918143884,103.27387156908796)","(41.45771497605083,102.9369939805656)","(42.32361369099763,102.51259850894454)","(43.157224596294846,102.01301829058599)","(43.90974916393226,101.50663850532578)","(44.58285756441542,101.0371186773886)","(45.17949548914654,100.61107175816026)","(45.70625820295693,100.2245695034123)","(46.25345617188052,99.9076809308655)","(46.85599107655304,99.65852989691287)","(47.53120030753344,99.45742338020321)","(48.290988613602686,99.27781291681302)","(49.13824966099711,99.0975864813413)","(50.06822542458062,98.90519042009174)","(51.07244935578895,98.6975244476908)","(52.14185116313387,98.47601392055638)","(53.267479221628385,98.24328958396876)","(54.44130772175478,98.00104677567425)","(55.6563448890343,97.75020158698803)","(56.90659931165043,97.4917213471982)","(58.186846243648,97.22653971883744)","(59.492603430446714,96.9555265269349)","(60.820018007847864,96.67951389812816)","(62.165747329550726,96.39931963505654)","(63.52704235301297,96.1155953046761)","(64.90163275615173,95.8289060712633)","(66.28755057781122,95.53991467953074)","(67.68315988237477,95.24929104095318)","(69.08743544216908,94.95744081701466)","(70.49933887892632,94.66512340458627)","(71.9180604222636,94.37311191217495)","(73.34314940789143,94.0821075141915)","(74.77432137266801,93.7929153235564)","(76.21136362898142,93.50634361718811)","(77.6541763824246,93.22327561451459)","(79.10267184516906,92.94459054936281)","(80.55663924929313,92.67103064666529)","(82.0157481463581,92.40323563019578)","(83.47940308612102,92.14163886946025)","(84.94670287081762,91.88651139934622)","(86.41632220114644,91.63789740501933)","(87.88633483034027,91.39579263768665)","(89.35396335752274,91.16038555493974)","(90.81533026768382,90.93214564240458)","(92.26510084061003,90.71232798573891)","(93.69577370334224,90.50313018447751)","(95.09659764951579,90.30807347517937)","(96.45245074324748,90.13165326550234)","(97.74074176979538,89.97400103436468)","(98.94521642119318,89.83517879443957)","(100.06604021236733,89.72202392211304)","(101.10431598985241,89.63768300189435)","(102.06191975237229,89.58782500280736)","(102.94845730718961,89.56970389008549)","(103.79444774599685,89.57464149170262)","(104.63375495143339,89.59325345100616)","(105.49451143642541,89.61776828622308)","(106.3949124519742,89.64206025289317)","(107.34540966032382,89.66156487178252)","(108.35119915731553,89.67902063946559)","(109.41120584295354,89.69875234491029)","(110.52006416589356,89.724747957697)","(111.66972915818407,89.757961698928)","(112.85071451516872,89.79526846704736)","(114.05296756975874,89.83315223606107)","(115.26721758779411,89.86412283163133)","(116.483288992722,89.88113890370401)","(117.69061614474299,89.87662766769685)","(118.87891809948057,89.84643847044669)","(120.03677218163244,89.78721422918726)","(121.15271358129588,89.69294483074452)","(122.2152876203357,89.5563420085689)","(123.21504200458708,89.36738343249678)","(124.15691208426338,89.11563084904873)","(125.08723345235354,88.7801023156363)","(126.00958112306047,88.3569900039567)","(126.91600562084759,87.8474005987407)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
