-0,-0,-0.483,-0.1082,-0.1382,-0.6261,0.6566,0.2412,0.0619,0.7012,-0.0544,-0.7604,4.1581,2.6218,-1.4945,-0.129
-0,-0,-0.0869,-0.2817,0.1244,0.4596,-0.4858,-0.051,-0.0437,-0.5535,0.6861,0.092,4.2225,2.5574,-1.4945,-0.129
-0,-0,-0.0374,0.0624,0.187,0.218,-0.033,-0.3465,-0.4885,0.0062,0.7338,-0.053,4.287,2.4929,-1.4945,-0.129
0,0,-0.0224,-0.1396,0.2495,-0.0236,0.1271,-0.3642,0.0111,0.4072,-0.4913,0.0634,4.3515,2.4284,-1.4945,-0.129
0.0445,0.015,-0.0116,0.0672,0.2346,0.0919,-0.2994,-0.031,-0.3953,-0.0188,0.3131,-0.2654,4.416,2.3639,-1.4945,-0.129
0.181,0.1071,-0.0095,0.2621,-0.2762,-0.0983,0.1918,0.3035,-0.1879,-0.3112,-0.3893,-0.0991,4.4768,2.3031,-1.4722,-0.1215
-0.1885,-0.1144,-0.2158,-0.0757,-0.236,0.1018,-0.052,0.4036,-0.5284,0.2317,-0.5883,0.3254,4.5107,2.2692,-1.3817,-0.0679
0.1376,0.042,-0.1664,0.103,0.2493,0.0473,0.3019,-0.1526,-0.0151,0.3633,0.4242,0.3973,4.5732,2.2067,-1.4759,-0.1251
-0.1334,0.0272,0.253,-0.056,0.287,0.0157,-0.1699,0.3255,0.2316,-0.3093,0.4237,0.2415,4.6252,2.1547,-1.407,-0.1041
-0,-0,0.1189,0.0252,-0.2317,-0.4069,0.2948,-0.4248,-0.3726,0.4162,0.6391,-0.1396,2.4866,4.2933,-1.46,-0.3443
0,0,0.1372,-0.0398,-0.3311,-0.1235,0.5124,-0.0522,-0.392,0.558,0.6619,-0.2173,2.6587,4.1212,-1.46,-0.3443
0,0,0.155,-0.1049,-0.3786,0.1548,0.6314,0.3267,0.6848,-0.295,-0.4114,0.6999,2.8308,3.9491,-1.46,-0.3443
0,-0,0.1727,-0.1701,-0.4043,0.4316,0.7076,-0.3726,0.8384,-0.109,-0.4309,0.8417,3.003,3.7769,-1.46,-0.3443
0.0319,-0.0772,0.1904,-0.2352,0.1673,-0.3215,-0.0631,-0.4887,-0.5355,0.4237,-0.4217,0.7081,3.1751,3.6048,-1.46,-0.3443
0.1977,-0.128,-0.0352,-0.015,0.2326,-0.0879,-0.2703,-0.0786,0.2003,-0.2809,-0.1848,-0.3466,3.3665,3.4134,-1.4441,-0.3829
0.0205,-0.0242,0.065,0.1008,0.0047,-0.1913,-0.0843,0.3149,0.1906,-0.3298,0.2461,0.3597,3.5899,3.19,-1.3452,-0.4468
-0.1571,0.3662,-0.2713,-0.1466,0.3014,-0.2203,0.197,-0.3566,-0.2423,-0.3906,0.1358,0.5268,3.8193,2.9606,-1.3349,-0.4589
-0.001,0.3646,-0.2202,-0.124,-0.2891,0.1998,-0.0681,0.4088,0.4401,-0.1218,0.1997,-0.4265,3.9572,2.8227,-1.4134,-0.2758
0.0149,0.0911,-0.1892,-0.1312,-0.363,0.4353,-0.7964,-0.5865,0.3473,-1.3507,-0.9383,-1.2733,1.0392,5.7407,1.1939,-0.9645
0.0143,0.0458,-0.0446,0.244,-0.2441,0.6537,-0.6897,-0.3764,0.4757,-0.7154,-1.0222,-0.4412,1.4987,5.2812,1.2014,-0.919
0.0253,0.1108,0.6005,-0.0916,-0.5868,-0.1778,0.0964,0.6077,-0.125,0.8922,-0.8922,-0.1463,1.9467,4.8332,1.2085,-0.8961
0.0913,0.7394,0.1984,-0.3578,-0.4902,-0.0069,-0.71,0.0495,-0.7328,0.0529,-0.0301,-0.7348,2.367,4.4129,1.2212,-0.8406
0.0554,0.8771,0.2596,0.1593,0.0606,-0.3631,-0.4163,-0.0208,0.4276,-0.1489,0.5413,0.1355,2.6024,4.1775,1.2669,-0.4709
-0.1225,0.8068,0.1457,-0.2063,-0.3564,-0.254,0.4274,0.2081,0.3023,0.3787,0.4893,0.0699,2.6186,4.1613,1.2946,-0.0324
-0.0574,0.5332,-0.0022,-0.1167,0.1099,0.1546,-0.2678,0.1571,0.234,-0.2097,0.0563,-0.3965,2.433,4.3469,1.2334,0.3711
0.0428,0.2908,-0.0584,0.1328,-0.2903,-0.0877,0.3196,0.0243,-0.3774,-0.0427,0.3723,0.1587,2.1142,4.6657,1.2047,0.6377
-0.0389,0.1627,-0.0544,0.0328,0.0665,0.2662,0.3089,-0.0994,-0.2413,-0.2984,-0.3239,0.2946,1.7226,5.0573,1.2261,0.7831
0.0527,-0.0412,-0.4497,-0.0543,0.3087,0.4323,-0.5123,0.1821,0.1112,-0.5501,0.5119,0.2536,1.2903,5.4896,1.2067,0.8645
0.0282,-0.0505,0.3853,0.2206,-0.4451,-0.1664,0.0646,-0.4815,0.4314,0.3164,0.5188,0.1665,0.8683,5.9116,1.233,0.844
-0.0017,-0.0011,0.0044,-0.088,0.156,-0.0231,-0.267,-0.1786,0.0459,0.4973,0.0227,0.5293,2.8164,3.9635,1.4988,0.058
-0.0951,-0.037,0.0238,0.0552,0.1091,-0.3154,-0.1095,-0.4127,0.0466,0.4702,0.0237,0.4736,2.7877,3.9922,1.498,0.0574
-0.3774,-0.0661,0.0506,0.1656,0.2484,0.1449,-0.002,0.3737,-0.3632,0.149,0.0484,0.4316,2.7682,4.0117,1.4505,0.039
-0.1249,0.1687,0.154,0.2309,0.1047,0.291,-0.2937,-0.1034,0.3247,-0.1075,-0.3458,-0.2405,2.7651,4.0148,1.2618,0.006
-0.1422,-0.3108,0.1487,-0.1953,-0.2096,-0.1304,0.2402,-0.1485,0.2214,0.2166,0.2905,0.2297,2.7199,4.06,1.1994,0.0904
0.2972,0.0025,-0.0572,0.0824,-0.2923,-0.1345,-0.0625,0.3436,-0.1407,-0.3604,0.3434,0.1964,2.7524,4.0275,1.1283,-0.065
-0.1386,0.2261,-0.1106,0.2525,0.0106,0.3555,0.3108,-0.2211,-0.3566,0.1628,-0.2767,-0.2832,2.7843,3.9956,1.2769,-0.0638
0.2585,-0.0372,-0.1371,0.0833,-0.0775,-0.2791,0.0672,0.2913,-0.32,0.0303,-0.1881,-0.3167,2.7596,4.0203,1.2076,0.0493
0.2295,0.0668,0.0667,-0.0025,-0.0986,-0.0356,0.1045,0.0897,-0.0066,-0.1635,0.0058,0.2668,2.7442,4.0357,1.3369,0.0307
-0,-0,-0.4159,0.463,-0.5583,0.3742,0.1253,0.6727,-0.2517,-0.6836,0.7775,-0.1272,3.3436,3.4363,-1.4007,0.5368
